tetra_id,rank_block,block_type,points,ranks,suits
10,0-1-8-9,single,1 6 18 30,0 1 9 8,1 2 2 2
19,0-1-8-9,single,2 5 17 29,0 1 8 9,2 1 1 1
16,0-2-6-7,single,1 14 26 38,0 7 2 6,1 2 2 2
24,0-2-6-7,single,2 13 25 37,0 6 2 7,2 1 1 1
13,0-3-4-5,single,1 10 22 34,0 4 3 5,1 2 2 2
22,0-3-4-5,single,2 9 21 33,0 3 4 5,2 1 1 1
8,0-3-7-8,single,0 15 19 35,0 7 3 8,0 3 3 3
33,0-3-7-8,single,3 28 32 36,0 3 8 7,3 0 0 0
5,0-4-6-9,single,0 11 27 31,0 4 9 6,0 3 3 3
30,0-4-6-9,single,3 16 20 24,0 6 4 9,3 0 0 0
44,1-2-3-4,single,5 11 26 28,1 4 2 3,1 3 2 0
50,1-2-3-4,single,6 19 20 25,1 3 4 2,2 3 0 1
36,1-3-7-9,single,4 9 14 27,1 3 7 9,0 1 2 3
58,1-3-7-9,single,7 22 24 37,1 3 9 7,3 2 0 1
37,1-4-6-8,single,4 10 13 35,1 4 6 8,0 2 1 3
57,1-4-6-8,single,7 21 32 38,1 4 8 6,3 1 0 2
45,1-5-6-7,single,5 15 16 34,1 7 6 5,1 3 0 2
53,1-5-6-7,single,6 31 33 36,1 6 5 7,2 3 1 0
62,2-3-6-8,single,8 17 22 31,2 8 3 6,0 1 2 3
66,2-3-6-8,single,9 16 23 30,3 6 2 8,1 0 3 2
61,2-4-7-9,single,8 15 18 21,2 7 9 4,0 3 2 1
70,2-4-7-9,single,10 23 29 36,4 2 9 7,2 3 1 0
88,2-5-8-9,single,24 26 33 35,9 2 5 8,0 2 1 3
89,2-5-8-9,single,25 27 32 34,2 9 8 5,1 3 0 2
75,3-5-6-9,single,12 19 29 38,5 3 9 6,0 3 1 2
78,3-5-6-9,single,13 18 28 39,6 9 3 5,1 2 0 3
72,4-5-7-8,single,11 12 30 37,4 5 8 7,3 0 2 1
81,4-5-7-8,single,14 17 20 39,7 8 4 5,2 1 0 3
