line_id,is_rainbow,is_monochrome,present_sector_count,sum_m_mod3,count_m0,count_m1,count_m2,has_sec0_m2,has_sec0_m1,has_sec0_m0,has_all_m2,m0,m1,m2,m3,eq_m01,eq_m02,eq_m03,eq_m12,eq_m13,eq_m23,r2,intercept,coef_delta_coh,coef_flux_coh,coef_flux_def_mass,coef_mu,coef_lambda,mean_abs_delta,max_abs_delta,w33_cards,proj_quartet_str,type,line_type
25,0,1,1,2,0,0,1,0,0,0,1,,,2.0,,0,0,0,0,0,0,0.9836541684312106,-0.0220399524916134,-3.673038789480017,3.06237615365064,0.1136544968535866,-0.0058161470062788,-0.0862509099492174,0.0034588123174124,0.0051054071053595,1♢ 3♢ 5♡ 9♢,sec2_m0 sec2_m1 sec2_m2,monochrome,monochrome12
26,1,0,4,1,1,2,1,0,1,0,0,1.0,1.0,2.0,0.0,1,0,0,0,0,0,0.7357984213725168,0.0847894778799043,-2.954550478158197,2.2623408183704266,-0.1289961745139438,0.0058741998528393,-0.0734870453508382,0.0125386202470556,0.017897822848079,2♠ 2♡ 2♢ 2♣,sec0_m1 sec1_m1 sec2_m2 sec3_m0,rainbow,rank_spread
27,0,1,1,2,0,0,1,0,0,0,1,,2.0,,,0,0,0,0,0,0,0.7077907923171531,-0.1324289513700869,-4.95657769941479,3.4117401468470336,0.2940638169987643,-0.0160981239434865,-0.0239251478734697,0.0023438753185715,0.0050210485016579,1♡ 4♠ 7♠ 9♠,sec1_m0 sec1_m1 sec1_m2,monochrome,monochrome12
28,1,0,4,1,2,0,2,1,0,0,0,2.0,2.0,0.0,0.0,1,0,0,0,0,1,0.5157386966054909,0.0850598565366923,3.6403018813784014,-2.4213725955184477,-0.2216296765634885,0.0117996372066899,0.0458970445515484,0.0004476633038703,0.0010297282723104,1♠ 2♡ 7♡ 10♡,sec0_m2 sec1_m2 sec2_m0 sec3_m0,rainbow,other
29,0,1,1,2,0,0,1,0,0,0,1,,2.0,,,0,0,0,0,0,0,0.747732338213597,0.8010810923841782,24.118613110488173,-14.346298710064085,-2.010399221416444,0.1080977272614149,0.2548469229688804,0.003347516264404,0.0063616550868808,2♢ 3♣ 8♢ 9♠,sec1_m0 sec1_m1 sec1_m2,monochrome,monochrome12
30,1,0,4,1,0,1,3,1,0,0,0,2.0,2.0,1.0,2.0,1,0,1,0,1,0,0.9836541684312106,-0.0220399524916134,-3.673038789480017,3.06237615365064,0.1136544968535866,-0.0058161470062788,-0.0862509099492174,0.0034588123174124,0.0051054071053595,5♠ 5♡ 5♢ 5♣,sec0_m2 sec1_m2 sec2_m1 sec3_m2,rainbow,rank_spread
31,0,1,1,2,0,0,1,1,0,0,1,2.0,,,,0,0,0,0,0,0,0.248986548308891,0.0752299392825942,3.081648637918687,-2.018238640658019,-0.1993656857479968,0.0106780937115242,0.0421994918890806,0.0003705151227652,0.0016876820748357,1♠ 3♡ 5♣ 9♣,sec0_m0 sec0_m1 sec0_m2,monochrome,monochrome12
32,1,0,4,1,1,2,1,0,1,0,0,1.0,2.0,1.0,0.0,0,1,0,0,0,0,0.5505740923794296,0.5095493207201198,12.214948453537415,-7.688868921122027,-1.0895791097899228,0.0634455919297251,-0.0369472378271368,0.01023791022497,0.033452068909785,1♢ 4♢ 6♣ 8♡,sec0_m1 sec1_m2 sec2_m1 sec3_m0,rainbow,other
33,0,1,1,2,0,0,1,0,0,0,1,,2.0,,,0,0,0,0,0,0,0.8378448126017246,-0.554015502342264,-21.216034238551597,14.648334870680188,1.2657183764992868,-0.0645712629925804,-0.1424166396259887,0.0069999206963728,0.0176463190264914,5♢ 6♣ 9♠ 10♡,sec1_m0 sec1_m1 sec1_m2,monochrome,monochrome12
34,0,1,1,2,0,0,1,0,0,0,1,,,,2.0,0,0,0,0,0,0,0.9211987523970508,-0.0712182346041969,-2.2601810584797724,1.1945441422430063,0.217066761684428,-0.011302570875281,-0.0571651845744193,0.0015838462187076,0.0046781717076296,1♣ 4♣ 7♣ 9♡,sec3_m0 sec3_m1 sec3_m2,monochrome,monochrome12
35,1,0,4,1,1,2,1,0,1,0,0,1.0,2.0,0.0,1.0,0,0,1,0,0,0,0.8290934024176411,0.0387869723360304,-7.062258168573112,5.410544773999291,0.0488193029616273,-0.0016153113582381,-0.1721230596799783,0.0154435083393667,0.0217918512394685,1♣ 2♣ 5♢ 8♣,sec0_m1 sec1_m2 sec2_m0 sec3_m1,rainbow,other
36,1,0,4,1,1,2,1,0,0,1,0,0.0,1.0,2.0,1.0,0,0,0,0,1,0,0.9846064390296864,0.25412336706423,2.361794744097834,0.558939385588274,-0.5507272837375236,0.0304100946851925,-0.0609992236086206,0.0028638058953718,0.0058803413492629,1♣ 3♣ 6♡ 10♢,sec0_m0 sec1_m1 sec2_m2 sec3_m1,rainbow,other
37,0,1,1,2,0,0,1,0,0,0,1,,,,2.0,0,0,0,0,0,0,0.9027076564157778,-0.0115342693598656,-0.1269767889662581,-0.1006644053120203,0.0552353565709152,-0.0022979657820183,-0.0251747171029826,0.0013504470492692,0.0036507167601405,5♠ 6♢ 9♡ 10♣,sec3_m0 sec3_m1 sec3_m2,monochrome,monochrome12
38,0,1,1,2,0,0,1,0,0,0,1,,,2.0,,0,0,0,0,0,0,0.9777003659274645,-0.0270125663857649,4.203817139102474,-4.855766962447438,0.1020604785835649,-0.0181611406706305,0.0760213323388973,0.0053258998396303,0.0136780502256659,2♠ 4♡ 9♢ 10♢,sec2_m0 sec2_m1 sec2_m2,monochrome,monochrome12
39,1,0,4,1,0,1,3,1,0,0,0,2.0,2.0,2.0,1.0,1,1,0,1,0,0,0.5809262756859102,0.1247629049132294,8.340107940303634,-4.784802092023403,-0.4382159699224015,0.0310584516605342,0.1276859301419583,0.0194527024535411,0.0276845319912482,2♠ 3♡ 6♣ 7♣,sec0_m2 sec1_m2 sec2_m2 sec3_m1,rainbow,other
