seed,variant,total_cost,cover12_count
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,25,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,26,46,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,27,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,28,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,29,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,30,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,31,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,32,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,33,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,34,32,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,35,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,36,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,37,32,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,38,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,39,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,0,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,1,32,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,2,36,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,3,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,4,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,5,32,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,6,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,7,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,8,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,9,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,10,32,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,11,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,12,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,13,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,14,32,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,15,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,16,43,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,17,39,306
