mu,line_id,mean_prob,std_prob,max_prob,min_prob,mean_density,std_density,mask_size,stability_prob,stability_density,type
0.5,26,0.2522194623753518,0.15794865540707215,0.40418415958035325,0.0,0.031527432796918976,0.01974358192588402,8,1.5968446209844347,1.59684455021516,rainbow
0.5,27,0.04447071555032564,0.03383046590214514,0.09110571820700389,0.0,0.02223535777516282,0.01691523295107257,2,1.3145167543491934,1.3145167154931907,monochrome
0.5,28,0.33035836543237224,0.16082223160961867,0.5420089507735542,0.0,0.04129479567904653,0.020102778951202334,8,2.054183430187088,2.054183340776046,rainbow
0.5,29,0.03959429216919161,0.03312770700447527,0.07354092434081011,0.0,0.019797146084595804,0.016563853502237633,2,1.1952016772136111,1.1952016411350017,monochrome
0.5,30,0.33341732725930995,0.1584538071441765,0.5237645465769242,0.0,0.041677165907413743,0.019806725893022063,8,2.104192579303205,2.104192486346478,rainbow
0.5,31,0.21043640242410888,0.139769294926672,0.43128616032019934,0.0,0.10521820121205444,0.069884647463336,2,1.5055982147503368,1.5055982039783127,monochrome
0.5,32,0.21592595352563995,0.13351916950644707,0.3400070615628826,0.0,0.026990744190704994,0.016689896188305884,8,1.6171906454078353,1.6171905606235015,rainbow
0.5,33,0.04903386360170404,0.03707611177501593,0.09412717970232468,0.0,0.02451693180085202,0.018538055887507964,2,1.3225190002859726,1.3225189646155944,monochrome
0.5,34,0.027762584078760925,0.023079199463107637,0.050548608260370984,0.0,0.013881292039380462,0.011539599731553819,2,1.2029265971817233,1.2029265450600501,monochrome
0.5,35,0.22007245002771617,0.1363551465119362,0.33769601350533074,0.0,0.02750905625346452,0.017044393313992025,8,1.6139651054130653,1.613965022557703,rainbow
0.5,36,0.4462029207134582,0.264956557876751,1.0,0.2128834816323209,0.05577536508918227,0.03311956973459387,8,1.6840606724554306,1.6840606279635169,rainbow
0.5,37,0.04470894250956233,0.0320919266786575,0.07702236168406068,0.0,0.022354471254781166,0.01604596333932875,2,1.3931522891750652,1.393152245763767,monochrome
0.5,38,0.07497119900615903,0.050382932082914986,0.11650243028783955,0.0,0.03748559950307952,0.025191466041457493,2,1.4880276795870389,1.4880276500526795,monochrome
0.5,39,0.36220404911073284,0.17278695324664253,0.562618916398682,0.0,0.045275506138841605,0.021598369155830317,8,2.096246505935334,2.096246421011533,rainbow
0.75,0,0.03267611412511099,0.01712164997838963,0.0531492569418984,0.0,0.016338057062555495,0.008560824989194814,2,1.908467481690503,1.9084673702253545,monochrome
0.75,1,0.21940405570601393,0.12127975921883667,0.3068187105314458,0.0,0.02742550696325174,0.015159969902354584,8,1.8090739568591017,1.809073852443353,rainbow
0.75,2,0.4146069774347002,0.2935993730428461,1.0,0.16308122409932885,0.051825872179337526,0.036699921630355764,8,1.4121521164217297,1.412152082753182,rainbow
0.75,3,0.4095954451815709,0.28631825321911697,1.0,0.16898582276339447,0.051199430647696366,0.03578978165238962,8,1.430560011965255,1.4305599769904684,rainbow
0.75,4,0.22234033947810442,0.141163632650811,0.35142530402025873,0.0,0.027792542434763052,0.017645454081351375,8,1.5750539549590792,1.575053876855556,rainbow
0.75,5,0.19928788130251637,0.13698328037714833,0.3453063289964808,0.0,0.024910985162814547,0.01712291004714354,8,1.4548336066926906,1.4548335323490582,rainbow
0.75,6,0.31143851315294596,0.15040766292951052,0.5037160989721051,0.0,0.038929814144118245,0.018800957866188815,8,2.0706292818888774,2.070629185521419,rainbow
0.75,7,0.43644280414422026,0.27639113560748035,1.0,0.21192778585901575,0.05455535051802753,0.034548891950935044,8,1.579076700871341,1.5790766608789712,rainbow
0.75,8,0.33887790459517747,0.1587095908977256,0.5283226040046153,0.0,0.042359738074397184,0.0198386988622157,8,2.13520746001007,2.135207365835223,rainbow
0.75,9,0.3037850108983092,0.34978020036632473,1.0,0.0685823931108154,0.1518925054491546,0.17489010018316237,2,0.8685025902313871,0.868502587748392,monochrome
0.75,10,0.9999999999999996,5.965834842859474e-16,1.0000000000000004,0.9999999999999984,0.04166666666666665,2.5138531440839215e-17,24,999999403.4168711,41666665.619227864,hub
0.75,11,0.4102200441680568,0.2953266009384323,1.0,0.16534099953678227,0.0512775055210071,0.03691582511730404,8,1.3890385812706998,1.389038548346914,rainbow
0.75,12,0.038305831587378644,0.023373943569019767,0.07098211568371512,0.0,0.019152915793689322,0.011686971784509883,2,1.638826149958012,1.6388260798446395,monochrome
0.75,13,0.4618342141023057,0.2605731738639898,1.0,0.253659385908543,0.05772927676278821,0.03257164673299873,8,1.772378197960581,1.7723781503476714,rainbow
0.75,14,0.31582544641958943,0.15022262647407542,0.5023959346460891,0.0,0.03947818080244868,0.018777828309259427,8,2.10238265519682,2.1023825572310333,rainbow
0.75,15,0.414014944955118,0.2928376974309205,1.0,0.17767758178616544,0.05175186811938975,0.03660471217886506,8,1.4138034384694593,1.413803404673866,rainbow
0.75,16,0.22613524026516563,0.141302655926705,0.35041329636605223,0.0,0.028266905033145703,0.017662831990838124,8,1.6003608508399392,1.60036077155958,rainbow
0.75,17,0.3120305456325282,0.14574548479821076,0.4837176763307331,0.0,0.039003818204066024,0.018218185599776344,8,2.1409276858464374,2.1409275830199728,rainbow
0.75,18,0.4697820301275255,0.2572180763495972,1.0,0.2392104461470484,0.05872275376594069,0.03215225954369965,8,1.8263958543202334,1.8263958046162208,rainbow
0.75,19,0.2739545094123534,0.1783531777906646,0.43585379403815494,0.0,0.03424431367654417,0.022294147223833074,8,1.5360225776177352,1.5360225173319713,rainbow
0.75,20,0.37100049911241473,0.176828648062716,0.568501511446891,0.0,0.04637506238905184,0.0221035810078395,8,2.098079135247092,2.09807905219181,rainbow
0.75,21,0.41695122872720847,0.2819008275428625,1.0,0.17453530564327185,0.05211890359090106,0.03523760344285781,8,1.4790706039511046,1.4790705672236713,rainbow
0.75,22,0.36426931455326295,0.17104489075617157,0.5683912394758817,0.0,0.04553366431915787,0.021380611344521447,8,2.1296708180711836,2.129670730914561,rainbow
0.75,23,0.2521186827028334,0.15991872309024935,0.39383420779981915,0.0,0.03151483533785417,0.01998984038628117,8,1.576542610235881,1.5765425412270901,rainbow
0.75,24,0.1035363529505323,0.07328478212154013,0.213323953034931,0.0,0.05176817647526615,0.036642391060770066,2,1.4127946968038514,1.4127946775257065,monochrome
0.75,25,0.02887316210164455,0.024004300594974985,0.05334712405940265,0.0,0.014436581050822276,0.012002150297487493,2,1.2028328334155243,1.202832783306473,monochrome
0.75,26,0.25152665022325116,0.15741604621609584,0.40160358996530465,0.0,0.031440831277906395,0.01967700577701198,8,1.597846310280954,1.5978462392276918,rainbow
0.75,27,0.04488575704299198,0.03406139911475388,0.09146698721587122,0.0,0.02244287852149599,0.01703069955737694,2,1.3177895474575478,1.3177895087689002,monochrome
0.75,28,0.33093008856995776,0.16100384316598917,0.5427715437661099,0.0,0.04136626107124472,0.020125480395748647,8,2.055417311830025,2.055417222466193,rainbow
0.75,29,0.03924798834431913,0.03285062539876809,0.07282411408755808,0.0,0.019623994172159567,0.016425312699384045,2,1.1947409424677196,1.1947409060988268,monochrome
0.75,30,0.3338663723420482,0.15871341216202253,0.5242035574217632,0.0,0.041733296542756024,0.019839176520252817,8,2.10358006730799,2.1035799745303256,rainbow
0.75,31,0.21064124858187128,0.13997781630629044,0.4317100276521144,0.0,0.10532062429093564,0.06998890815314522,2,1.5048187822571892,1.5048187715067802,monochrome
0.75,32,0.21439252345288465,0.1324265537355328,0.3373653155735802,0.0,0.02679906543161058,0.0165533192169416,8,1.6189541733608106,1.618954087783725,rainbow
0.75,33,0.0493068942755968,0.037357162009992846,0.094886498289728,0.0,0.0246534471377984,0.018678581004996423,2,1.319877911028936,1.3198778756976162,monochrome
0.75,34,0.02763037790602037,0.022998340675994367,0.05063406261520663,0.0,0.013815188953010185,0.011499170337997184,2,1.2014074012501916,1.201407349011323,monochrome
0.75,35,0.21877945671952814,0.1354403271390932,0.33510554013612676,0.0,0.027347432089941018,0.01693004089238665,8,1.6153198956727874,1.615319812187766,rainbow
0.75,36,0.44672957195193747,0.26476584456094165,1.0,0.21328377678852228,0.05584119649399218,0.03309573057011771,8,1.6872628378689911,1.6872627932603692,rainbow
0.75,37,0.045045067382935566,0.03238084965499518,0.07770205097970795,0.0,0.022522533691467783,0.01619042482749759,2,1.3911020393772997,1.391101996416662,monochrome
0.75,38,0.07606619480328872,0.05135376448063087,0.11907417446567284,0.0,0.03803309740164436,0.025676882240315436,2,1.4812194216211594,1.4812193927777166,monochrome
0.75,39,0.3636447155667772,0.17330752554508735,0.5629520285670135,0.0,0.04545558944584715,0.02166344069313592,8,2.0982626826202617,2.0982625978701157,rainbow
