mu,lambda,st_flux_22,st_flux_8,st_flux_17,st_noflux_22,st_noflux_8,st_noflux_17,winner_flux,winner_noflux,winner_changed
1.25,0.42,5.24112444222065,13.955664072951238,2.613620053254327,5.2377079691898345,13.986438195861046,2.6121226331986334,8,8,False
1.25,0.43,5.25005130559999,13.573855140893055,2.5537458901908403,5.248167645711347,13.599762524521065,2.552283617193666,8,8,False
1.25,0.44,5.210709786882498,12.994641138869522,2.5006256786690977,5.210382460792326,13.01570995397637,2.4991965693302367,8,8,False
1.25,0.45,5.125246629058015,13.650833113213592,2.4537638799375148,5.126365126558777,13.680578672375368,2.4523662832065,8,8,False
1.25,0.46,4.999806765824198,14.19738948954448,2.412714199032675,5.002153545934877,14.22976614637778,2.4113467799225625,8,8,False
1.25,0.47,5.031465180622965,14.494304496862867,2.377071880170143,5.023346750160655,14.528460027554114,2.375733605809896,8,8,False
1.25,0.48,5.1450388583695155,14.498411367560296,2.3464669564680807,5.138020297432118,14.533192620804314,2.3451570836171327,8,8,False
1.25,0.49,5.218851905190884,14.211834808159407,2.3205583158517333,5.213179395563814,14.24602125071916,2.3192763789942608,8,8,False
1.25,0.5,5.248694376958637,13.681135019863634,2.2990284807141834,5.244516611078055,13.713696732415093,2.2977742798373804,8,8,False
1.25,0.51,5.233947773916397,12.979156850429373,2.2815790296731517,5.231293099221405,13.009409366669805,2.280352616824112,8,8,False
1.25,0.52,5.177613454657248,12.182014237891106,2.267926616268708,5.176393145032794,12.209630891067098,2.2667282799907102,8,8,False
1.25,0.53,5.085584196642853,11.353036171387611,2.2577995619211753,5.085618989135893,11.377967739469222,2.2566298087062777,8,8,False
1.25,0.54,4.965452727941214,11.028503031488997,2.250935018720674,4.966511515586011,11.05520863781542,2.249794550696146,8,8,False
1.25,0.55,4.994480348382255,10.648560886620157,2.2470767111011036,4.989485536781364,10.675962390141612,2.2459663993065737,8,8,False
1.25,0.56,5.090656452175803,10.149733289559725,2.2459732733609985,5.086331169756155,10.176678916061176,2.244894126182769,8,8,False
1.75,0.4,5.273164854920123,13.48301271371007,2.7284659308803314,5.2778781894906395,13.513143143511751,2.7271059059142893,8,8,False
1.75,0.41,5.091618131062286,13.741322096599546,2.6530254016772292,5.0884124154113,13.769911973347295,2.651699742084374,8,8,False
1.75,0.42,5.156860007757788,13.699927028152407,2.585482770446499,5.1546855927530935,13.725321181066928,2.584189134364286,8,8,False
1.75,0.43,5.179973431496334,13.38986193495677,2.525217452358639,5.178956534384371,13.411188270269383,2.523953818258615,8,8,False
1.75,0.44,5.1575582767608825,12.879144582312573,2.471677328209527,5.157733290822736,12.896361443293975,2.4704419745109583,8,8,False
1.75,0.45,5.090253053454688,13.233185297865859,2.4243685886581323,5.0915539875688,13.259509375655293,2.4231600769325006,8,8,False
1.75,0.46,4.982612142731048,13.768921775187717,2.382846943164966,4.984887108958296,13.797499035385446,2.381664104154542,8,8,False
1.75,0.47,4.930558311494998,14.079791495475385,2.346709962494523,4.924054137451165,14.109853960251337,2.345551884200924,8,8,False
1.75,0.48,5.053039950994063,14.123160015237483,2.315590373102819,5.047310367807703,14.153685343643865,2.314456390212781,8,8,False
1.75,0.49,5.139670422468008,13.894982271209686,2.2891501631173745,5.134924453815269,13.924895588580014,2.288039847029741,8,8,False
1.75,0.5,5.185435319027187,13.431469174397629,2.2670753947871685,5.1818189738145275,13.459866247842552,2.2659885434945726,8,8,False
1.75,0.51,5.1884397897699195,12.79538047584801,2.249071648506282,5.186012788600707,12.821664197600594,2.2480082755759856,8,8,False
1.75,0.52,5.150208090327836,12.05614843028833,2.234860049560265,5.148938351370042,12.080041594882598,2.2338203714611065,8,8,False
1.75,0.53,5.075270950556913,11.274363163122755,2.2241738509193776,5.075047844987528,11.295837631404849,2.2231582719669776,8,8,False
1.75,0.54,4.970212491293583,10.983927589714993,2.216755563613104,4.970872842978185,11.007248779713434,2.215764657865568,8,8,False
