line_id,mean_delta,mean_abs_delta,max_abs_delta,std_delta,mean_flux,mean_noflux,card_basis,var_q,sumsq_q,var_q_r,line_type,type,proj_quartet_str,rainbow_m_tuple_SHDC,var_q_class
27,-0.0008769584525988,0.0023438753185715,0.0050210485016579,0.0026273172106309,4.25737716742977,4.2582541258823685,1♡ 4♠ 7♠ 9♠,0.3333333333335494,1.3333333333341975,0.333333,monochrome12,monochrome,sec1_m0 sec1_m1 sec1_m2,,mid(1/3)
0,0.0017218626309966,0.0019869504069128,0.0062537484785396,0.0020371429929762,5.302175899888412,5.300454037257414,2♡ 3♠ 8♡ 9♡,0.1111111111113452,0.4444444444453808,0.111111,monochrome12,monochrome,sec3_m0 sec3_m1 sec3_m2,,low(1/9)
2,-0.0007053049323084,0.0016091061982513,0.0050210485016579,0.0019482855683611,4.569301992115265,4.570007297047574,7♠ 7♡ 7♢ 7♣,0.11111111111145322,0.4444444444458129,0.111111,rank_spread,rainbow,sec0_m0 sec1_m0 sec2_m0 sec3_m1,"0,0,0,1",low(1/9)
34,-0.0009410817321979,0.0015838462187076,0.0046781717076296,0.0018131731449545,4.893305050316538,4.894246132048737,1♣ 4♣ 7♣ 9♡,0.3333333333333333,1.3333333333333333,0.333333,monochrome12,monochrome,sec3_m0 sec3_m1 sec3_m2,,mid(1/3)
37,-0.0007076825627595,0.0013504470492692,0.0036507167601405,0.0014943657241329,4.867836803654685,4.868544486217444,5♠ 6♢ 9♡ 10♣,0.11111111111129118,0.44444444444516473,0.111111,monochrome12,monochrome,sec3_m0 sec3_m1 sec3_m2,,low(1/9)
17,0.0012889051225446,0.0012889051225446,0.0016876820748357,0.0001845025703878,2.40408393119885,2.4027950260763054,1♠ 1♡ 1♢ 1♣,1.0,4.0,1.0,rank_spread,rainbow,sec0_m2 sec1_m0 sec2_m1 sec3_m1,"2,0,1,1",high(1)
10,-0.0001938621121947,0.0008676125495143,0.0020660800230141,0.001038069938995,4.930122608312845,4.930316470425041,9♠ 9♡ 9♢ 9♣,0.11111111111129118,0.44444444444516473,0.111111,rank_spread,hub_transversal,sec0_m0 sec0_m1 sec0_m2 sec1_m0 sec1_m1 sec1_m2 sec2_m0 sec2_m1 sec2_m2 sec3_m0 sec3_m1 sec3_m2,,low(1/9)
28,-0.0003112894170259,0.0004476633038704,0.0010297282723104,0.0004290360536528,2.524301763618852,2.524613053035877,1♠ 2♡ 7♡ 10♡,0.3333333333335494,1.3333333333341975,0.333333,other,rainbow,sec0_m2 sec1_m2 sec2_m0 sec3_m0,"2,2,0,0",mid(1/3)
31,4.995338799049395e-05,0.0003705151227652,0.0016876820748357,0.0005068308801907,2.4317367255421467,2.431686772154156,1♠ 3♡ 5♣ 9♣,0.3333333333335494,1.3333333333341975,0.333333,monochrome12,monochrome,sec0_m0 sec0_m1 sec0_m2,,mid(1/3)
20,-0.0002230112587192,0.0003427119548401,0.0007707470028974,0.0003487565888603,2.8900931480550787,2.8903161593137976,1♠ 4♡ 6♢ 8♢,0.3333333333335494,1.3333333333341975,0.333333,other,rainbow,sec0_m2 sec1_m1 sec2_m2 sec3_m2,"2,1,2,2",mid(1/3)
