a,b,c,outer_quad,hol_mod12,cover_mask,cover_size,cover12
3,16,21,11 13 29 36,3,4095,12,1
14,16,21,11 13 29 36,9,4095,12,1
9,14,25,11 15 28 35,9,4095,12,1
9,14,39,11 15 28 35,3,4095,12,1
9,25,39,11 15 28 35,9,4095,12,1
14,25,39,11 15 28 35,3,4095,12,1
9,21,23,11 17 24 37,9,4095,12,1
9,21,34,11 17 24 37,3,3647,9,0
9,23,34,11 17 24 37,9,4095,12,1
21,23,34,11 17 24 37,3,4095,12,1
3,23,25,11 18 22 38,3,4088,9,0
3,23,30,11 18 22 38,9,4088,9,0
3,25,30,11 18 22 38,3,4088,9,0
23,25,30,11 18 22 38,9,4088,9,0
9,16,30,11 19 26 33,9,4095,12,1
9,16,32,11 19 26 33,3,4095,12,1
9,30,32,11 19 26 33,9,4088,9,0
16,30,32,11 19 26 33,3,4095,12,1
3,32,34,11 20 27 31,3,4095,12,1
3,32,39,11 20 27 31,9,4095,12,1
3,34,39,11 20 27 31,3,4095,12,1
32,34,39,11 20 27 31,9,4095,12,1
2,14,18,12 13 30 35,3,4095,12,1
2,14,19,12 13 30 35,9,4095,12,1
2,18,19,12 13 30 35,3,4095,12,1
14,18,19,12 13 30 35,9,4095,12,1
8,14,27,12 15 29 34,9,4095,12,1
8,14,37,12 15 29 34,3,4095,12,1
8,27,37,12 15 29 34,9,4095,12,1
14,27,37,12 15 29 34,3,511,9,0
8,19,23,12 16 24 38,9,4095,12,1
8,19,36,12 16 24 38,3,4095,12,1
8,23,36,12 16 24 38,9,4095,12,1
19,23,36,12 16 24 38,3,4095,12,1
2,23,27,12 17 22 39,3,4095,12,1
2,23,28,12 17 22 39,9,4095,12,1
2,27,28,12 17 22 39,3,4095,12,1
23,27,28,12 17 22 39,9,4095,12,1
8,18,28,12 20 25 33,9,3647,9,0
8,18,32,12 20 25 33,3,4095,12,1
8,28,32,12 20 25 33,9,4095,12,1
18,28,32,12 20 25 33,3,4095,12,1
2,32,36,12 21 26 31,3,4095,12,1
2,32,37,12 21 26 31,9,4095,12,1
2,36,37,12 21 26 31,3,4095,12,1
32,36,37,12 21 26 31,9,4095,12,1
12,13,30,2 14 18 19,3,4095,12,1
12,13,35,2 14 18 19,9,4095,12,1
12,30,35,2 14 18 19,3,4095,12,1
13,30,35,2 14 18 19,9,4095,12,1
8,13,26,2 15 16 20,3,4095,12,1
8,13,39,2 15 16 20,9,4095,12,1
8,26,39,2 15 16 20,3,4095,12,1
13,26,39,2 15 16 20,9,4095,12,1
12,17,22,2 23 27 28,3,4039,9,0
12,17,39,2 23 27 28,9,4039,9,0
12,22,39,2 23 27 28,3,4039,9,0
17,22,39,2 23 27 28,9,4039,9,0
8,21,22,2 24 25 29,3,3591,6,0
8,21,35,2 24 25 29,9,3647,9,0
8,22,35,2 24 25 29,3,3647,9,0
21,22,35,2 24 25 29,9,3647,9,0
12,21,26,2 32 36 37,3,4095,12,1
12,21,31,2 32 36 37,9,4039,9,0
12,26,31,2 32 36 37,3,4095,12,1
21,26,31,2 32 36 37,9,4095,12,1
