p,q,k_mod12
10,39,11
11,0,0
11,1,1
11,2,11
11,5,2
11,6,5
11,7,1
11,8,11
11,10,9
11,12,3
11,13,10
11,15,4
11,17,1
11,18,11
11,19,11
11,20,1
11,22,2
11,24,8
11,26,1
11,27,11
11,28,11
11,29,1
11,31,6
11,33,0
11,35,1
11,36,11
11,37,11
11,38,1
12,0,0
12,1,11
12,3,1
12,5,10
12,6,1
12,7,11
12,9,1
12,10,3
12,11,9
12,13,6
12,15,0
12,16,1
12,17,11
12,20,11
12,21,1
12,22,10
12,24,4
12,25,1
12,26,11
12,29,11
12,30,1
12,31,2
12,33,8
12,34,1
12,35,11
12,38,11
12,39,1
13,4,0
13,5,5
13,6,6
13,7,4
13,8,0
13,9,8
13,10,10
13,11,2
13,12,6
13,22,3
13,23,11
13,24,11
13,25,8
13,26,4
13,27,0
13,28,2
13,29,6
13,30,10
13,31,9
13,32,1
13,33,1
13,34,6
13,35,2
13,36,10
13,37,0
13,38,4
13,39,8
14,1,4
14,2,0
14,3,8
14,4,0
14,5,1
14,6,10
14,7,10
14,8,6
14,9,2
14,16,0
14,17,8
14,18,4
14,19,8
14,20,0
14,21,4
14,22,11
14,23,3
14,24,11
14,25,10
14,26,6
14,27,2
14,31,1
14,32,9
14,33,1
14,37,10
14,38,2
14,39,6
15,1,10
15,2,6
15,3,2
15,4,0
15,5,9
15,6,2
15,10,4
15,11,8
15,12,0
15,16,2
15,17,10
15,18,6
15,19,6
15,20,10
15,21,2
15,22,11
15,23,11
15,24,3
15,28,4
15,29,8
15,30,0
15,31,1
15,32,1
15,33,9
15,34,4
15,35,0
15,36,8
16,0,0
16,2,1
16,3,11
16,4,11
16,6,11
16,7,11
16,9,1
16,10,1
16,12,11
16,14,0
16,15,10
16,17,9
16,18,3
16,20,11
16,21,1
16,22,10
16,24,0
16,25,11
16,27,1
16,28,1
16,30,11
16,31,0
16,32,10
16,34,1
16,35,11
16,37,11
16,38,1
17,0,0
17,1,11
17,3,1
17,4,3
17,6,3
17,7,1
17,8,11
17,11,11
17,12,1
17,14,4
17,15,2
17,16,3
17,18,9
17,19,11
17,20,1
17,22,2
17,24,4
17,25,1
17,26,11
17,29,11
17,30,1
17,31,4
17,32,2
17,35,1
17,36,11
17,37,1
17,39,11
18,0,0
18,1,1
18,2,11
18,4,7
18,6,7
18,8,1
18,9,11
18,10,11
18,11,1
18,14,8
18,15,6
18,16,9
18,17,3
18,19,1
18,21,11
18,22,6
18,24,8
18,26,1
18,27,11
18,28,11
18,29,1
18,31,8
18,32,6
18,34,11
18,36,1
18,38,11
18,39,1
19,0,0
19,2,1
19,3,11
19,4,5
19,5,4
19,7,1
19,8,11
19,10,11
19,11,1
19,14,4
19,15,6
19,17,1
19,18,11
19,20,3
19,21,9
19,22,4
19,23,6
19,25,1
19,26,11
19,28,11
19,29,1
19,31,6
19,33,4
19,34,11
19,36,1
19,37,1
19,39,11
20,0,0
20,1,1
20,2,11
20,4,1
20,5,0
20,7,11
20,9,1
20,11,11
20,12,1
20,14,0
20,15,2
20,16,1
20,17,11
20,19,9
20,21,3
20,22,0
20,23,2
20,25,11
20,27,1
20,29,11
20,30,1
20,31,2
20,33,0
20,35,1
20,36,11
20,37,11
20,38,1
21,0,0
21,1,11
21,3,1
21,4,9
21,5,8
21,8,1
21,9,11
21,10,1
21,12,11
21,14,8
21,15,10
21,16,11
21,18,1
21,19,3
21,20,9
21,22,8
21,23,10
21,26,1
21,27,11
21,28,1
21,30,11
21,31,10
21,33,8
21,34,1
21,35,11
21,38,11
21,39,1
22,4,0
22,5,1
22,6,2
22,7,0
22,8,8
22,9,4
22,10,6
22,11,10
22,12,2
22,13,9
22,14,1
22,15,1
22,16,2
22,17,10
22,18,6
22,19,8
22,20,0
22,21,4
22,31,3
22,32,11
22,33,11
22,34,4
22,35,0
22,36,8
22,37,10
22,38,2
22,39,6
23,1,0
23,2,8
23,3,4
23,4,0
23,5,9
23,6,6
23,7,6
23,8,2
23,9,10
23,13,1
23,14,9
23,15,1
23,19,6
23,20,10
23,21,2
23,25,8
23,26,4
23,27,0
23,28,4
23,29,8
23,30,0
23,31,11
23,32,3
23,33,11
23,34,6
23,35,2
23,36,10
24,1,6
24,2,2
24,3,10
24,4,0
24,5,5
24,6,10
24,10,0
24,11,4
24,12,8
24,13,1
24,14,1
24,15,9
24,16,0
24,17,8
24,18,4
24,25,10
24,26,6
24,27,2
24,28,2
24,29,6
24,30,10
24,31,11
24,32,11
24,33,3
24,37,0
24,38,4
24,39,8
25,0,0
25,2,1
25,3,11
25,4,3
25,6,11
25,7,11
25,9,1
25,10,1
25,12,11
25,13,4
25,14,2
25,16,1
25,17,11
25,19,11
25,20,1
25,23,4
25,24,2
25,26,9
25,27,3
25,29,11
25,30,1
25,31,2
25,33,4
25,34,11
25,36,1
25,37,1
25,39,11
26,0,0
26,1,11
26,3,1
26,4,7
26,6,3
26,7,1
26,8,11
26,11,11
26,12,1
26,13,8
26,14,6
26,17,1
26,18,11
26,19,1
26,21,11
26,23,8
26,24,6
26,25,3
26,27,9
26,28,11
26,29,1
26,31,6
26,33,8
26,34,1
26,35,11
26,38,11
26,39,1
27,0,0
27,1,1
27,2,11
27,4,11
27,6,7
27,8,1
27,9,11
27,10,11
27,11,1
27,13,0
27,14,10
27,16,11
27,18,1
27,20,11
27,21,1
27,23,0
27,24,10
27,25,9
27,26,3
27,28,1
27,30,11
27,31,10
27,33,0
27,35,1
27,36,11
27,37,11
27,38,1
28,0,0
28,2,1
28,3,11
28,4,9
28,5,4
28,7,1
28,8,11
28,10,11
28,11,1
28,13,10
28,15,8
28,16,11
28,18,1
28,19,1
28,21,11
28,23,8
28,24,10
28,26,1
28,27,11
28,29,3
28,30,9
28,31,8
28,32,10
28,34,1
28,35,11
28,37,11
28,38,1
29,0,0
29,1,1
29,2,11
29,4,5
29,5,0
29,7,11
29,9,1
29,11,11
29,12,1
29,13,6
29,15,4
29,17,1
29,18,11
29,19,11
29,20,1
29,23,4
29,24,6
29,25,1
29,26,11
29,28,9
29,30,3
29,31,4
29,32,6
29,34,11
29,36,1
29,38,11
29,39,1
30,0,0
30,1,11
30,3,1
30,4,1
30,5,8
30,8,1
30,9,11
30,10,1
30,12,11
30,13,2
30,15,0
30,16,1
30,17,11
30,20,11
30,21,1
30,23,0
30,24,2
30,25,11
30,27,1
30,28,3
30,29,9
30,31,0
30,32,2
30,35,1
30,36,11
30,37,1
30,39,11
31,4,0
31,5,9
31,6,10
31,7,8
31,8,4
31,9,0
31,10,2
31,11,6
31,12,10
31,13,3
31,14,11
31,15,11
31,16,0
31,17,8
31,18,4
31,19,6
31,20,10
31,21,2
31,22,9
31,23,1
31,24,1
31,25,10
31,26,6
31,27,2
31,28,4
31,29,8
31,30,0
32,1,8
32,2,4
32,3,0
32,4,0
32,5,5
32,6,2
32,7,2
32,8,10
32,9,6
32,13,11
32,14,3
32,15,11
32,16,2
32,17,10
32,18,6
32,22,1
32,23,9
32,24,1
32,28,2
32,29,6
32,30,10
32,34,4
32,35,0
32,36,8
32,37,0
32,38,4
32,39,8
33,1,2
33,2,10
33,3,6
33,4,0
33,5,1
33,6,6
33,10,8
33,11,0
33,12,4
33,13,11
33,14,11
33,15,3
33,19,8
33,20,0
33,21,4
33,22,1
33,23,1
33,24,9
33,25,8
33,26,4
33,27,0
33,34,6
33,35,2
33,36,10
33,37,10
33,38,2
33,39,6
34,0,0
34,2,1
34,3,11
34,4,7
34,6,11
34,7,11
34,9,1
34,10,1
34,12,11
34,13,6
34,15,8
34,16,11
34,18,1
34,19,1
34,21,11
34,22,8
34,23,6
34,25,1
34,26,11
34,28,11
34,29,1
34,32,8
34,33,6
34,35,9
34,36,3
34,38,11
34,39,1
35,0,0
35,1,11
