line_id,mean_delta,mean_abs_delta,max_abs_delta,std_delta,mean_flux,mean_noflux,card_basis
23,0.004546578511083726,0.004551378777072315,0.012012411846269444,0.0034560537340298674,8.135085761211357,8.130539182700275,4♠ 4♡ 4♢ 4♣
24,0.010319501724717722,0.010319501724717722,0.014364230876283912,0.0025164100331355574,7.0302061741073,7.019886672382583,2♣ 4♢ 9♣ 10♠
25,0.003458812317412455,0.003458812317412455,0.005105407105359561,0.0013014614718993396,6.001772025525501,5.998313213208087,1♢ 3♢ 5♡ 9♢
26,0.012538620247055654,0.012538620247055654,0.01789782284807906,0.0017530535991905614,7.2339244791639965,7.22138585891694,2♠ 2♡ 2♢ 2♣
27,-0.0008769584525988893,0.0023438753185715654,0.005021048501657965,0.0026273172106309264,4.25737716742977,4.2582541258823685,1♡ 4♠ 7♠ 9♠
28,-0.00031128941702593773,0.00044766330387043,0.001029728272310404,0.00042903605365280213,2.5243017636188516,2.5246130530358775,1♠ 2♡ 7♡ 10♡
29,0.002050628705746804,0.0033475162644040655,0.006361655086880802,0.0031559143968820143,9.222600070643994,9.220549441938248,2♢ 3♣ 8♢ 9♠
30,0.003458812317412455,0.003458812317412455,0.005105407105359561,0.0013014614718993396,6.001772025525501,5.998313213208087,5♠ 5♡ 5♢ 5♣
31,4.995338799049395e-05,0.000370515122765257,0.0016876820748357169,0.0005068308801907067,2.4317367255421467,2.431686772154156,1♠ 3♡ 5♣ 9♣
32,0.000987691913310626,0.010237910224970097,0.03345206890978503,0.012955470800808045,7.198124968487173,7.197137276573864,1♢ 4♢ 6♣ 8♡
33,-0.0012504701564998188,0.006999920696372897,0.017646319026491497,0.008401729108601326,13.208642509945607,13.209892980102108,5♢ 6♣ 9♠ 10♡
34,-0.0009410817321979792,0.0015838462187076803,0.00467817170762963,0.0018131731449545123,4.893305050316538,4.894246132048737,1♣ 4♣ 7♣ 9♡
35,0.015443508339366788,0.015443508339366788,0.021791851239468585,0.003638799323112304,8.112213224538447,8.09676971619908,1♣ 2♣ 5♢ 8♣
36,0.0013566683086913937,0.0028638058953718904,0.005880341349262963,0.002984068271220372,8.723966546990479,8.722609878681787,1♣ 3♣ 6♡ 10♢
37,-0.0007076825627595942,0.0013504470492692953,0.0036507167601405044,0.0014943657241329937,4.867836803654685,4.868544486217444,5♠ 6♢ 9♡ 10♣
38,0.005325899839630405,0.005325899839630405,0.013678050225665928,0.0038760882121164847,7.841723453151175,7.836397553311545,2♠ 4♡ 9♢ 10♢
39,-0.01945270245354121,0.01945270245354121,0.027684531991248207,0.0031003062089962306,11.115514938254476,11.134967640708018,2♠ 3♡ 6♣ 7♣
