mu,lambda,line_id,stability_flux,stability_noflux,delta_stability
0.75,0.41,6,9.453321811184324,9.448645031801373,0.0046767793829509685
0.75,0.41,7,5.821084205944639,5.811999439566979,0.009084766377659648
0.75,0.41,8,14.31338423506322,14.350436159510576,-0.037051924447355944
0.75,0.41,9,9.011090168229083,9.031078754728522,-0.01998858649943891
0.75,0.41,10,5.479972221033534,5.478654978001965,0.001317243031568438
0.75,0.41,11,5.632149541176224,5.627557900588455,0.004591640587769064
0.75,0.41,12,5.634808523594288,5.626262351534381,0.008546172059907597
0.75,0.41,13,7.121582330611044,7.113367836383023,0.008214494228021785
0.75,0.41,14,5.698282268366178,5.689561815719393,0.008720452646785226
0.75,0.41,15,9.237033453911257,9.213510122238189,0.023523331673068526
0.75,0.41,16,10.135235888049857,10.12991142290189,0.005324465147968027
0.75,0.41,17,2.708707517408211,2.707062772382924,0.0016447450252869977
0.75,0.41,18,9.011090168233448,9.031078754732919,-0.019988586499470884
0.75,0.41,19,11.068827290681593,11.066597087627226,0.0022302030543670526
0.75,0.41,20,3.0720312696360232,3.0725640999454145,-0.000532830309391219
0.75,0.41,21,10.751194363057932,10.727474120583045,0.023720242474887243
0.75,0.41,22,5.266932859895698,5.261289838101551,0.005643021794146996
0.75,0.41,23,9.30268159465603,9.291660459681129,0.01102113497490187
0.75,0.41,24,9.900809110581095,9.888353634963396,0.012455475617699108
0.75,0.41,25,5.632149541176224,5.627557900588455,0.004591640587769064
0.75,0.41,26,9.70994315647084,9.697074627695638,0.012868528775202392
0.75,0.41,27,4.967613906935847,4.972333083745434,-0.004719176809586223
0.75,0.41,28,2.77670186829487,2.776198423210251,0.0005034450846190808
0.75,0.41,29,10.096438178705114,10.091146591748267,0.005291586956847283
0.75,0.41,30,5.632149541176224,5.627557900588455,0.004591640587769064
0.75,0.41,31,2.721822193964676,2.721820065394357,2.128570318671308e-06
0.75,0.41,32,8.076643454557384,8.085420808436098,-0.008777353878713257
0.75,0.41,33,13.091854534443948,13.104912473398327,-0.013057938954379011
0.75,0.41,34,5.479972221033534,5.478654978001965,0.001317243031568438
0.75,0.41,35,11.462241994745948,11.447399999379465,0.014841995366483118
0.75,0.41,36,9.453321811184324,9.448645031801373,0.0046767793829509685
0.75,0.41,37,5.479972221033534,5.478654978001965,0.001317243031568438
0.75,0.41,38,8.571469721681954,8.558767350451262,0.012702371230691512
0.75,0.41,39,12.003768770142097,12.028313925104868,-0.02454515496277132
0.75,0.42,0,5.469168640533718,5.468361012195537,0.0008076283381814875
0.75,0.42,1,4.998543675851522,4.991725957460432,0.006817718391090466
0.75,0.42,2,5.09973098173174,5.100720420062661,-0.0009894383309205779
0.75,0.42,3,10.39469683434515,10.411085413511532,-0.016388579166383366
0.75,0.42,4,6.220949634543524,6.224462596261983,-0.003512961718459273
0.75,0.42,5,5.71286285546935,5.7082744930210785,0.0045883624482714325
0.75,0.42,6,9.424948567667753,9.420415926398599,0.004532641269154425
0.75,0.42,7,5.729358416508384,5.720352613821507,0.009005802686877118
