triad_id,w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,cover12,mask_hex
69,2,27,28,C00,C37,C05,12,1,0xfff
70,2,32,36,C00,X35,C15,9,0,0x1ff
71,2,32,37,C00,X35,C09,12,1,0xfff
72,2,33,34,C00,C07,C19,12,1,0xfff
73,2,33,38,C00,C07,X36,12,1,0xfff
74,2,34,38,C00,C19,X36,12,1,0xfff
75,2,36,37,C00,C15,C09,12,1,0xfff
76,3,5,7,C30,C13,C27,12,1,0xfff
77,3,5,12,C30,C13,C03,12,1,0xfff
78,3,6,8,C30,C08,C02,12,1,0xfff
79,3,6,10,C30,C08,C28,9,0,0xe3f
80,3,7,12,C30,C27,C03,12,1,0xfff
81,3,8,10,C30,C02,C28,12,1,0xfff
82,3,14,16,C30,C16,C14,12,1,0xfff
83,3,14,21,C30,C16,C10,9,0,0x1ff
84,3,15,17,C30,C26,C06,9,0,0xe3f
85,3,15,19,C30,C26,F35,12,1,0xfff
86,3,16,21,C30,C14,C10,12,1,0xfff
87,3,17,19,C30,C06,F35,12,1,0xfff
88,3,23,25,C30,C25,C34,12,1,0xfff
89,3,23,30,C30,C25,C18,12,1,0xfff
90,3,24,26,C30,C24,C12,12,1,0xfff
91,3,24,28,C30,C24,C05,12,1,0xfff
92,3,25,30,C30,C34,C18,12,1,0xfff
93,3,26,28,C30,C12,C05,9,0,0x1ff
94,3,32,34,C30,X35,C19,12,1,0xfff
95,3,32,39,C30,X35,C21,9,0,0xe3f
96,3,33,35,C30,C07,C29,12,1,0xfff
97,3,33,37,C30,C07,C09,12,1,0xfff
98,3,34,39,C30,C19,C21,12,1,0xfff
99,3,35,37,C30,C29,C09,12,1,0xfff
100,4,13,22,C01,C31,C23,12,1,0xfff
101,4,13,31,C01,C31,C20,12,1,0xfff
102,4,14,23,C01,C16,C25,12,1,0xfff
103,4,14,32,C01,C16,X35,12,1,0xfff
104,4,15,24,C01,C26,C24,12,1,0xfff
105,4,15,33,C01,C26,C07,12,1,0xfff
106,4,16,25,C01,C14,C34,9,0,0xe3f
107,4,16,34,C01,C14,C19,12,1,0xfff
108,4,17,26,C01,C06,C12,12,1,0xfff
109,4,17,35,C01,C06,C29,12,1,0xfff
110,4,18,27,C01,C33,C37,12,1,0xfff
111,4,18,36,C01,C33,C15,12,1,0xfff
112,4,19,28,C01,F35,C05,12,1,0xfff
113,4,19,37,C01,F35,C09,12,1,0xfff
114,4,20,29,C01,C32,C11,12,1,0xfff
115,4,20,38,C01,C32,X36,12,1,0xfff
116,4,21,30,C01,C10,C18,12,1,0xfff
117,4,21,39,C01,C10,C21,12,1,0xfff
118,4,22,31,C01,C23,C20,12,1,0xfff
119,4,23,32,C01,C25,X35,12,1,0xfff
120,4,24,33,C01,C24,C07,12,1,0xfff
121,4,25,34,C01,C34,C19,12,1,0xfff
122,4,26,35,C01,C12,C29,12,1,0xfff
123,4,27,36,C01,C37,C15,12,1,0xfff
124,4,28,37,C01,C05,C09,12,1,0xfff
125,4,29,38,C01,C11,X36,9,0,0xe3f
126,4,30,39,C01,C18,C21,12,1,0xfff
127,5,7,12,C13,C27,C03,12,1,0xfff
128,5,8,11,C13,C02,C17,12,1,0xfff
129,5,9,10,C13,C04,C28,9,0,0xfc7
130,5,13,23,C13,C31,C25,12,1,0xfff
131,5,13,33,C13,C31,C07,12,1,0xfff
132,5,14,24,C13,C16,C24,12,1,0xfff
