mu,lambda,flux_def_mass_mean,flux_def_mass_std,flux_coh_mean,flux_coh_std,noflux_def_mass_mean,noflux_def_mass_std,noflux_coh_mean,noflux_coh_std,delta_def_mass_mean,delta_coh_mean
1.25,0.4,0.4654382654717103,0.29388469557377844,0.0016335684750739558,0.0021494913882598547,0.46502978225911257,0.29422418187476,0.004711864357199789,0.005327537861960732,0.00040848321259773224,-0.0030782958821258333
1.25,0.41,0.4654170376608773,0.29392924531772985,0.0018055997513284014,0.0024259926466936362,0.4650104645080248,0.29426734104943963,0.004926927878379169,0.005532157137225518,0.0004065731528524741,-0.003121328127050768
1.25,0.42,0.46539655345323067,0.29397391651688637,0.0019997165070321956,0.0027036567468183116,0.4649919604791511,0.2943105609862864,0.005141951708649076,0.005732996646436996,0.0004045929740795762,-0.00314223520161688
1.25,0.43,0.46537688991499265,0.29401864518781823,0.0022134434549620444,0.0029821576237263362,0.4649743477211897,0.2943537769107217,0.005356483234466022,0.0059295584532931735,0.0004025421938029794,-0.0031430397795039772
1.25,0.44,0.465358125628168,0.2940633655971633,0.0024327880146299886,0.003270685240535864,0.46495770518170826,0.294396922401846,0.005570077848210275,0.0061213812097384674,0.000400420446459715,-0.0031372898335802865
1.25,0.45,0.4653403406947995,0.2941080102412803,0.0026570273471216523,0.0035674800697218048,0.46494211320592943,0.29443992937767266,0.005782300966570051,0.006308043466609302,0.0003982274888700843,-0.003125273619448399
1.25,0.46,0.4653236167327731,0.2941525098342335,0.0028854112521827036,0.0038708720645712438,0.46492765352743415,0.2944827280884058,0.005992729971463227,0.006489166721222171,0.00039596320533896723,-0.0031073187192805236
1.25,0.47,0.4653080368626501,0.29419679330465,0.003117166042028189,0.004179258841178521,0.464914409250284,0.2945252471182832,0.006200956064509334,0.006664418172777091,0.00039362761236610977,-0.0030837900224811453
1.25,0.48,0.46529368568504975,0.2942407878019533,0.003351498489867417,0.004491091457958423,0.4649024648221103,0.2945674133964614,0.006406586026595807,0.006833513156244953,0.00039122086293946756,-0.0030550875367283898
1.25,0.49,0.4652806492481264,0.29428441871244426,0.003587599833041113,0.004804865846267492,0.4648919059977385,0.2946091522173979,0.006609243874654534,0.006996217225256037,0.0003887432503879018,-0.0030216440416134206
1.25,0.5,0.46526901500476886,0.29432760968565197,0.0038246498105799897,0.0051191183639797905,0.46488281979299134,0.2946503872711258,0.006808572408372051,0.007152347854435522,0.00038619521177751803,-0.0029839225977920615
1.25,0.51,0.46525887175916214,0.29437028267134124,0.004061820715008205,0.005432424321213234,0.4648752944283351,0.29469104068379226,0.007004234640199657,0.0073017757317128595,0.00038357733082705625,-0.0029424139251914517
1.25,0.52,0.46525030960243924,0.2944123579675065,0.004298281438335841,0.0057433986261780905,0.464869419262108,0.29473103306876985,0.007195915102700066,0.00744442561142322,0.00038089034033123026,-0.0028976336643642252
1.25,0.53,0.4652434198371783,0.29445375427964204,0.004533201492403363,0.006050697922773363,0.46486528471310823,0.29477028358861146,0.007383321027967232,0.007580276699634603,0.0003781351240700892,-0.002850119535563869
1.25,0.54,0.46523829489058066,0.2944943887915164,0.0047657549840640955,0.006353023754722289,0.46486298217237987,0.29480871002806036,0.007566183394573463,0.00770936254417955,0.00037531271820079315,-0.0028004284105093676
1.25,0.55,0.465235028216213,0.29453417724762593,0.004995124526105923,0.006649126408837133,0.4648626039041017,0.29484622887827483,0.00774425783823747,0.007831770403500514,0.0003724243121112636,-0.002749133312131547
1.25,0.56,0.4652337141842615,0.2945730340474461,0.005220505065329677,0.0069378091749088605,0.4648642429355257,0.2948827554323716,0.00791732542315848,0.007947640070795372,0.0003694712487358198,-0.002696820357828803
1.75,0.4,0.4930694880562874,0.2763264875717041,0.0018445317908699671,0.0015411642991030115,0.4926474992797968,0.27668510064747454,0.004624988556402031,0.005157957016026245,0.0004219887764906338,-0.002780456765532064
1.75,0.41,0.49302999674074877,0.2763793279159265,0.0019000266671781872,0.0014956829031138122,0.49261065805714144,0.2767357853924314,0.0048154677524485994,0.0053342489573703755,0.00041933868360732873,-0.002915441085270412
1.75,0.42,0.49299192439279554,0.27643163807800175,0.0019528560944765691,0.0014904725226809513,0.4925753011511848,0.27678588108233876,0.0050043057397340125,0.005505683589236413,0.00041662324161073627,-0.0030514496452574433
1.75,0.43,0.49295538424970986,0.2764833292153611,0.0020027637443340513,0.0015331071467633791,0.49254154120234755,0.27683529916394156,0.005191067943140648,0.005671857392243014,0.0004138430473623056,-0.0031883041988065965
1.75,0.44,0.49292048889575313,0.276534312554889,0.002049500039106093,0.0016261072793642495,0.492509490115046,0.27688395123424914,0.005375333244213749,0.005832409678544387,0.0004109987807071058,-0.0033258332051076564
1.75,0.45,0.4928873502334699,0.27658449939543256,0.0020928236021981184,0.0017667485343665097,0.49247925902569534,0.2769317490463546,0.005556695887830758,0.005987025384827763,0.00040809120777457464,-0.0034638722856326397
1.75,0.46,0.49285607945274434,0.27663380111391883,0.0021325026969858515,0.0019488471741613061,0.4924509582686828,0.2769786045186633,0.005734767292959968,0.0061354375607330005,0.00040512118406155206,-0.0036022645959741164
1.75,0.47,0.4928267869970593,0.2766821291756041,0.0021683166447154056,0.002165014470864542,0.49242469733980115,0.2770244297480306,0.0059091777593365015,0.006277429521677312,0.00040208965725813117,-0.003740861114621096
1.75,0.48,0.4927995825264644,0.2767293951489493,0.002222195302838988,0.0023852028416793355,0.4924005848566479,0.27706913702729474,0.006079578062470581,0.0064128366343221615,0.0003989976698164921,-0.003857382759631593
1.75,0.49,0.4927745748767558,0.2767755107255893,0.0023556538650556912,0.0025456123889152104,0.4923787285155306,0.277112638867645,0.006245640930024509,0.006541547702221854,0.0003958463612251939,-0.003889987064968818
1.75,0.5,0.4927518720144461,0.27682038774581447,0.0024880200046303274,0.0027292164000917957,0.4923592350444596,0.27715484802623447,0.006407062393244702,0.006663505918618042,0.0003926369699864818,-0.003919042388614374
