lambda,mu,c1,c1_hat,c2,c2_hat,c3,c3_hat,c4,c4_hat,c5,c5_hat
0.44,1.25,22.4924829246998,23.403657676040222,-2.1907633511700944,-2.497187880484425,4.536592819848405,4.880513944701242,1.8582538223634186,1.087426772662532,2.569450476162544,1.5956371426571625
0.44,1.75,19.105577016498323,19.116591406541126,-17.373198762256266,-16.571903340826047,-2.5324979879165945,-2.3468903580116756,-1.7797722084724426,-2.006844021356926,0.16131360972054165,0.4545074170709782
0.45,0.75,25.721144079075444,25.62489363779991,4.716916019348321,5.058874171824648,8.598221205316944,8.3417266993251,0.6042687758110711,0.6734927088800404,0.15561111916172934,0.32838774940115467
0.45,1.25,22.850566684346646,23.870034737961483,-0.473814233587273,-0.9712794251845764,2.796165548289992,3.295425129958213,1.5665870854608357,0.8793092902453665,3.023510188207969,1.953384068574323
0.45,1.75,19.580488163423894,19.521730396082113,-15.482557158746651,-14.520215803446305,-3.883089970864579,-3.8977424637033984,-1.15326057427283,-1.5958863893555701,0.9680640988983955,0.79514790534596
0.46,0.75,26.32904360940636,26.05172744898963,5.906302827955243,5.942205502574577,7.082104688357185,6.821704419496032,-0.2890716984987941,-0.11205107192644448,0.0145862584343103,0.5840697603091272
0.46,1.25,23.503635814740015,24.23563047677093,1.068426153140413,0.4378309876452491,1.4581670456795357,1.8096395591804515,1.088710945721742,0.7128406238574243,3.072523764261132,2.1919596418401195
0.46,1.75,19.956707287110707,19.826088062511282,-13.470801228288547,-12.58532630853658,-5.399179063189651,-5.349291325429854,-0.5072857439896803,-1.1432799413249768,1.583392488001149,1.0166170409695816
0.47,0.75,26.74219228611645,26.377779937067533,7.0435658771274445,6.708738790854401,5.6624080886975765,5.400985383632202,-1.0716003834513288,-0.8559460367037559,-0.16691935096132324,0.7205804185657927
0.47,1.25,24.199996858000183,24.500444892468558,2.248668193582559,1.730143358004966,0.34752576060935664,0.42315723236792646,0.841863562118622,0.5880207734986271,2.797478818559673,2.311363862454609
0.47,1.75,20.039398121304178,20.029664405828633,-11.45875616191333,-10.767234856096955,-6.87333325270102,-6.701536943191072,0.07331722319313053,-0.6490246772652171,2.0425786038931757,1.1189148239418927
0.48,0.75,26.991216983433965,26.603051102033618,7.771547215866361,7.35847403666417,4.200930405848205,4.0795695917335815,-1.7851309005808296,-1.5581921854518725,-0.35136470228724864,0.7379197241711513
0.48,1.25,24.706842537082068,24.66447798505436,3.274782065471363,2.9056576858946386,-0.7955951364032129,-0.8640218504793875,0.5490387312572275,0.5048497391690461,2.3428471243183635,2.31159673041779
0.48,1.75,20.169438010488427,20.132459426034163,-9.53738517789213,-9.065941446127397,-7.980939387188329,-7.95447931698708,0.38485242886222554,-0.11312059717627676,2.180752743839557,1.1020412542629003
