triad_id,w33_points,n12_points,cover_size,cover12,cover_symbols,bitmask
286,13 29 36,C31 C11 C15,12,True,0123456789ab,4095
287,13 30 35,C31 C18 C29,12,True,0123456789ab,4095
288,14 16 21,C16 C14 C10,12,True,0123456789ab,4095
289,14 17 20,C16 C06 C32,12,True,0123456789ab,4095
290,14 18 19,C16 C33 F35,9,False,0126789ab,4039
291,14 22 33,C16 C23 C07,12,True,0123456789ab,4095
292,14 23 32,C16 C25 X35,12,True,0123456789ab,4095
293,14 24 31,C16 C24 C20,12,True,0123456789ab,4095
294,14 25 39,C16 C34 C21,12,True,0123456789ab,4095
295,14 26 38,C16 C12 X36,12,True,0123456789ab,4095
296,14 27 37,C16 C37 C09,12,True,0123456789ab,4095
297,15 16 20,C26 C14 C32,9,False,0126789ab,4039
298,15 17 19,C26 C06 F35,12,True,0123456789ab,4095
299,15 18 21,C26 C33 C10,12,True,0123456789ab,4095
300,15 22 32,C26 C23 X35,12,True,0123456789ab,4095
301,15 23 31,C26 C25 C20,12,True,0123456789ab,4095
302,15 24 33,C26 C24 C07,12,True,0123456789ab,4095
303,15 28 35,C26 C05 C29,12,True,0123456789ab,4095
304,15 29 34,C26 C11 C19,12,True,0123456789ab,4095
305,15 30 36,C26 C18 C15,12,True,0123456789ab,4095
306,16 17 18,C14 C06 C33,12,True,0123456789ab,4095
307,16 22 37,C14 C23 C09,12,True,0123456789ab,4095
308,16 24 38,C14 C24 X36,12,True,0123456789ab,4095
309,16 25 34,C14 C34 C19,12,True,0123456789ab,4095
310,16 27 35,C14 C37 C29,12,True,0123456789ab,4095
311,16 28 31,C14 C05 C20,12,True,0123456789ab,4095
312,16 30 32,C14 C18 X35,12,True,0123456789ab,4095
313,17 22 39,C06 C23 C21,12,True,0123456789ab,4095
314,17 24 37,C06 C24 C09,12,True,0123456789ab,4095
315,17 25 36,C06 C34 C15,12,True,0123456789ab,4095
316,17 26 35,C06 C12 C29,12,True,0123456789ab,4095
317,17 29 32,C06 C11 X35,6,False,3459ab,3640
318,17 30 31,C06 C18 C20,12,True,0123456789ab,4095
319,18 22 38,C33 C23 X36,12,True,0123456789ab,4095
320,18 24 39,C33 C24 C21,12,True,0123456789ab,4095
321,18 26 34,C33 C12 C19,12,True,0123456789ab,4095
322,18 27 36,C33 C37 C15,9,False,3456789ab,4088
323,18 28 32,C33 C05 X35,12,True,0123456789ab,4095
324,18 29 31,C33 C11 C20,12,True,0123456789ab,4095
