triad_index,w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,cover12,mask
116,4,21,39,C18,C28,C02,12,True,4095
117,4,21,30,C18,C28,X36,12,True,4095
118,4,22,31,C18,F36,C32,12,True,4095
119,4,23,32,C18,C27,C24,9,False,4088
120,4,24,33,C18,C10,C07,9,False,4088
121,4,25,34,C18,C37,C31,12,True,4095
122,4,26,35,C18,C23,C08,9,False,511
123,4,27,36,C18,C00,C15,9,False,511
124,4,28,37,C18,C14,C30,12,True,4095
125,4,29,38,C18,C06,X35,9,False,4088
126,4,30,39,C18,X36,C02,12,True,4095
127,5,7,12,C16,C03,C13,12,True,4095
128,5,8,11,C16,C04,C29,12,True,4095
129,5,9,10,C16,C11,C25,12,True,4095
130,5,13,33,C16,C20,C07,12,True,4095
131,5,13,23,C16,C20,C27,9,False,511
132,5,14,24,C16,C12,C10,9,False,511
133,5,14,31,C16,C12,C32,12,True,4095
134,5,15,32,C16,C01,C24,12,True,4095
135,5,15,22,C16,C01,F36,12,True,4095
136,5,19,39,C16,C09,C02,9,False,4039
137,5,19,29,C16,C09,C06,12,True,4095
138,5,20,37,C16,C22,C30,9,False,511
139,5,20,30,C16,C22,X36,12,True,4095
140,5,21,38,C16,C28,X35,12,True,4095
141,5,21,28,C16,C28,C14,9,False,4039
142,5,22,32,C16,F36,C24,12,True,4095
143,5,23,33,C16,C27,C07,12,True,4095
144,5,24,31,C16,C10,C32,12,True,4095
145,5,28,38,C16,C14,X35,12,True,4095
146,5,29,39,C16,C06,C02,12,True,4095
147,5,30,37,C16,X36,C30,12,True,4095
148,6,7,11,C17,C03,C29,12,True,4095
149,6,8,10,C17,C04,C25,12,True,4095
150,6,9,12,C17,C11,C13,12,True,4095
151,6,13,32,C17,C20,C24,12,True,4095
152,6,13,24,C17,C20,C10,12,True,4095
153,6,14,33,C17,C12,C07,12,True,4095
154,6,14,22,C17,C12,F36,12,True,4095
155,6,15,23,C17,C01,C27,12,True,4095
156,6,15,31,C17,C01,C32,12,True,4095
157,6,16,35,C17,C05,C08,12,True,4095
158,6,16,27,C17,C05,C00,12,True,4095
159,6,17,36,C17,C26,C15,12,True,4095
160,6,17,25,C17,C26,C37,12,True,4095
161,6,18,34,C17,C34,C31,9,False,3647
162,6,18,26,C17,C34,C23,12,True,4095
163,6,22,33,C17,F36,C07,12,True,4095
164,6,23,31,C17,C27,C32,12,True,4095
165,6,24,32,C17,C10,C24,12,True,4095
166,6,25,36,C17,C37,C15,12,True,4095
167,6,26,34,C17,C23,C31,12,True,4095
168,6,27,35,C17,C00,C08,12,True,4095
169,7,8,9,C03,C04,C11,12,True,4095
170,7,13,37,C03,C20,C30,12,True,4095
171,7,13,25,C03,C20,C37,12,True,4095
172,7,14,38,C03,C12,X35,12,True,4095
173,7,14,26,C03,C12,C23,12,True,4095
174,7,16,28,C03,C05,C14,12,True,4095
175,7,16,31,C03,C05,C32,12,True,4095
176,7,17,32,C03,C26,C24,12,True,4095
177,7,17,29,C03,C26,C06,12,True,4095
178,7,19,34,C03,C09,C31,12,True,4095
179,7,19,22,C03,C09,F36,12,True,4095
180,7,20,35,C03,C22,C08,12,True,4095
181,7,20,23,C03,C22,C27,12,True,4095
182,7,22,34,C03,F36,C31,12,True,4095
183,7,23,35,C03,C27,C08,12,True,4095
184,7,25,37,C03,C37,C30,12,True,4095
185,7,26,38,C03,C23,X35,12,True,4095
186,7,28,31,C03,C14,C32,12,True,4095
187,7,29,32,C03,C06,C24,9,False,4088
188,8,13,39,C04,C20,C02,12,True,4095
189,8,13,26,C04,C20,C23,12,True,4095
190,8,14,37,C04,C12,C30,12,True,4095
191,8,14,27,C04,C12,C00,12,True,4095
192,8,17,30,C04,C26,X36,6,False,3591
193,8,17,31,C04,C26,C32,9,False,4039
194,8,18,32,C04,C34,C24,12,True,4095
195,8,18,28,C04,C34,C14,9,False,3647
196,8,19,36,C04,C09,C15,12,True,4095
197,8,19,23,C04,C09,C27,12,True,4095
198,8,21,35,C04,C28,C08,9,False,3647
199,8,21,22,C04,C28,F36,6,False,3591
200,8,22,35,C04,F36,C08,9,False,3647
201,8,23,36,C04,C27,C15,12,True,4095
202,8,26,39,C04,C23,C02,12,True,4095
203,8,27,37,C04,C00,C30,12,True,4095
204,8,28,32,C04,C14,C24,12,True,4095
205,8,30,31,C04,X36,C32,9,False,4039
206,9,13,38,C11,C20,X35,12,True,4095
207,9,13,27,C11,C20,C00,12,True,4095
208,9,14,39,C11,C12,C02,12,True,4095
209,9,14,25,C11,C12,C37,12,True,4095
210,9,16,32,C11,C05,C24,12,True,4095
211,9,16,30,C11,C05,X36,12,True,4095
212,9,18,29,C11,C34,C06,9,False,3647
213,9,18,31,C11,C34,C32,12,True,4095
214,9,20,36,C11,C22,C15,12,True,4095
215,9,20,22,C11,C22,F36,9,False,3647
216,9,21,34,C11,C28,C31,9,False,3647
217,9,21,23,C11,C28,C27,12,True,4095
218,9,22,36,C11,F36,C15,12,True,4095
219,9,23,34,C11,C27,C31,12,True,4095
220,9,25,39,C11,C37,C02,12,True,4095
221,9,27,38,C11,C00,X35,12,True,4095
222,9,29,31,C11,C06,C32,12,True,4095
223,9,30,32,C11,X36,C24,9,False,4088
224,10,11,12,C25,C29,C13,12,True,4095
225,10,13,34,C25,C20,C31,12,True,4095
226,10,13,28,C25,C20,C14,12,True,4095
227,10,15,36,C25,C01,C15,12,True,4095
228,10,15,30,C25,C01,X36,12,True,4095
229,10,16,37,C25,C05,C30,12,True,4095
230,10,16,22,C25,C05,F36,12,True,4095
231,10,18,39,C25,C34,C02,12,True,4095
232,10,18,24,C25,C34,C10,12,True,4095
233,10,19,25,C25,C09,C37,12,True,4095
234,10,19,31,C25,C09,C32,9,False,4039
235,10,21,33,C25,C28,C07,9,False,4039
236,10,21,27,C25,C28,C00,12,True,4095
237,10,22,37,C25,F36,C30,12,True,4095
238,10,24,39,C25,C10,C02,12,True,4095
239,10,25,31,C25,C37,C32,12,True,4095
240,10,27,33,C25,C00,C07,12,True,4095
241,10,28,34,C25,C14,C31,12,True,4095
242,10,30,36,C25,X36,C15,9,False,4088
243,11,13,36,C29,C20,C15,9,False,511
244,11,13,29,C29,C20,C06,12,True,4095
245,11,15,35,C29,C01,C08,12,True,4095
246,11,15,28,C29,C01,C14,12,True,4095
247,11,17,37,C29,C26,C30,12,True,4095
248,11,17,24,C29,C26,C10,12,True,4095
249,11,18,38,C29,C34,X35,12,True,4095
250,11,18,22,C29,C34,F36,12,True,4095
251,11,19,33,C29,C09,C07,12,True,4095
252,11,19,26,C29,C09,C23,12,True,4095
253,11,20,27,C29,C22,C00,9,False,511
254,11,20,31,C29,C22,C32,12,True,4095
255,11,22,38,C29,F36,X35,9,False,511
256,11,24,37,C29,C10,C30,9,False,511
257,11,26,33,C29,C23,C07,12,True,4095
258,11,27,31,C29,C00,C32,12,True,4095
259,11,28,35,C29,C14,C08,12,True,4095
260,11,29,36,C29,C06,C15,9,False,4088
261,12,13,35,C13,C20,C08,12,True,4095
262,12,13,30,C13,C20,X36,12,True,4095
263,12,15,34,C13,C01,C31,12,True,4095
264,12,15,29,C13,C01,C06,12,True,4095
265,12,16,38,C13,C05,X35,12,True,4095
266,12,16,24,C13,C05,C10,12,True,4095
267,12,17,39,C13,C26,C02,9,False,4039
268,12,17,22,C13,C26,F36,9,False,4039
269,12,20,33,C13,C22,C07,12,True,4095
270,12,20,25,C13,C22,C37,12,True,4095
271,12,21,26,C13,C28,C23,12,True,4095
272,12,21,31,C13,C28,C32,9,False,4039
273,12,22,39,C13,F36,C02,9,False,4039
274,12,24,38,C13,C10,X35,12,True,4095
275,12,25,33,C13,C37,C07,12,True,4095
276,12,26,31,C13,C23,C32,12,True,4095
277,12,29,34,C13,C06,C31,12,True,4095
278,12,30,35,C13,X36,C08,12,True,4095
279,13,22,31,C20,F36,C32,12,True,4095
280,13,23,33,C20,C27,C07,12,True,4095
281,13,24,32,C20,C10,C24,12,True,4095
282,13,25,37,C20,C37,C30,12,True,4095
283,13,26,39,C20,C23,C02,12,True,4095
284,13,27,38,C20,C00,X35,9,False,511
285,13,28,34,C20,C14,C31,12,True,4095
286,13,29,36,C20,C06,C15,12,True,4095
287,13,30,35,C20,X36,C08,12,True,4095
288,14,16,21,C12,C05,C28,12,True,4095
289,14,17,20,C12,C26,C22,12,True,4095
290,14,18,19,C12,C34,C09,12,True,4095
291,14,22,33,C12,F36,C07,12,True,4095
292,14,23,32,C12,C27,C24,12,True,4095
293,14,24,31,C12,C10,C32,12,True,4095
294,14,25,39,C12,C37,C02,12,True,4095
295,14,26,38,C12,C23,X35,9,False,511
296,14,27,37,C12,C00,C30,9,False,511
297,15,16,20,C01,C05,C22,12,True,4095
298,15,17,19,C01,C26,C09,12,True,4095
299,15,18,21,C01,C34,C28,9,False,3647
300,15,22,32,C01,F36,C24,12,True,4095
301,15,23,31,C01,C27,C32,12,True,4095
302,15,24,33,C01,C10,C07,12,True,4095
303,15,28,35,C01,C14,C08,9,False,3647
304,15,29,34,C01,C06,C31,9,False,3647
305,15,30,36,C01,X36,C15,12,True,4095
306,16,17,18,C05,C26,C34,12,True,4095
307,16,22,37,C05,F36,C30,9,False,511
308,16,24,38,C05,C10,X35,9,False,511
309,16,25,34,C05,C37,C31,12,True,4095
310,16,27,35,C05,C00,C08,9,False,511
311,16,28,31,C05,C14,C32,12,True,4095
312,16,30,32,C05,X36,C24,12,True,4095
313,17,22,39,C26,F36,C02,9,False,4039
314,17,24,37,C26,C10,C30,12,True,4095
315,17,25,36,C26,C37,C15,12,True,4095
316,17,26,35,C26,C23,C08,12,True,4095
317,17,29,32,C26,C06,C24,12,True,4095
318,17,30,31,C26,X36,C32,9,False,4039
319,18,22,38,C34,F36,X35,9,False,3647
320,18,24,39,C34,C10,C02,12,True,4095
321,18,26,34,C34,C23,C31,12,True,4095
322,18,27,36,C34,C00,C15,12,True,4095
323,18,28,32,C34,C14,C24,12,True,4095
324,18,29,31,C34,C06,C32,12,True,4095
325,19,20,21,C09,C22,C28,12,True,4095
326,19,22,34,C09,F36,C31,12,True,4095
327,19,23,36,C09,C27,C15,12,True,4095
328,19,25,31,C09,C37,C32,12,True,4095
329,19,26,33,C09,C23,C07,12,True,4095
330,19,28,37,C09,C14,C30,12,True,4095
331,19,29,39,C09,C06,C02,12,True,4095
332,20,22,36,C22,F36,C15,9,False,511
333,20,23,35,C22,C27,C08,9,False,511
334,20,25,33,C22,C37,C07,12,True,4095
335,20,27,31,C22,C00,C32,12,True,4095
336,20,29,38,C22,C06,X35,9,False,3647
337,20,30,37,C22,X36,C30,9,False,3647
338,21,22,35,C28,F36,C08,9,False,3647
339,21,23,34,C28,C27,C31,12,True,4095
340,21,26,31,C28,C23,C32,12,True,4095
341,21,27,33,C28,C00,C07,12,True,4095
342,21,28,38,C28,C14,X35,9,False,3647
343,21,30,39,C28,X36,C02,9,False,4039
344,23,25,30,C27,C37,X36,9,False,4088
345,23,26,29,C27,C23,C06,12,True,4095
346,23,27,28,C27,C00,C14,12,True,4095
347,24,25,29,C10,C37,C06,9,False,4088
348,24,26,28,C10,C23,C14,12,True,4095
349,24,27,30,C10,C00,X36,12,True,4095
350,25,26,27,C37,C23,C00,12,True,4095
351,28,29,30,C14,C06,X36,9,False,3647
352,32,34,39,C24,C31,C02,12,True,4095
353,32,35,38,C24,C08,X35,12,True,4095
354,32,36,37,C24,C15,C30,12,True,4095
355,33,34,38,C07,C31,X35,12,True,4095
356,33,35,37,C07,C08,C30,12,True,4095
357,33,36,39,C07,C15,C02,12,True,4095
358,34,35,36,C31,C08,C15,12,True,4095
359,37,38,39,C30,X35,C02,12,True,4095
