tetra_id,Pi_family_S6,Pi_type_single_double,rank_block,rank_block_P1F9,rank_block_triads,points,points_rank_suit,suits_by_rank_order,suit_pattern_sorted
10,duad,single,"[0, 1, 8, 9]","['∞', '0', '1a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[1, 6, 18, 30]","['0:1', '1:2', '8:2', '9:2']","[1, 2, 2, 2]","[1, 2, 2, 2]"
11,duad,single,"[0, 1, 8, 9]","['∞', '0', '1a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[2, 5, 17, 29]","['0:2', '1:1', '8:1', '9:1']","[2, 1, 1, 1]","[1, 1, 1, 2]"
12,syntheme,double,"[0, 2, 3, 9]","['∞', '1', '2+1a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 5, 6], [2, 3, 4]]]","[0, 9, 25, 29]","['0:0', '2:1', '3:1', '9:1']","[0, 1, 1, 1]","[0, 1, 1, 1]"
13,syntheme,double,"[0, 2, 3, 9]","['∞', '1', '2+1a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 5, 6], [2, 3, 4]]]","[1, 8, 24, 28]","['0:1', '2:0', '3:0', '9:0']","[1, 0, 0, 0]","[0, 0, 0, 1]"
14,syntheme,double,"[0, 2, 3, 9]","['∞', '1', '2+1a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 5, 6], [2, 3, 4]]]","[2, 19, 23, 27]","['0:2', '2:3', '3:3', '9:3']","[2, 3, 3, 3]","[2, 3, 3, 3]"
15,syntheme,double,"[0, 2, 3, 9]","['∞', '1', '2+1a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 5, 6], [2, 3, 4]]]","[3, 18, 22, 26]","['0:3', '2:2', '3:2', '9:2']","[3, 2, 2, 2]","[2, 2, 2, 3]"
16,syntheme,double,"[0, 2, 4, 8]","['∞', '1', '2+2a', '1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 4], [2, 5, 6]]]","[0, 10, 26, 30]","['0:0', '2:2', '4:2', '8:2']","[0, 2, 2, 2]","[0, 2, 2, 2]"
17,syntheme,double,"[0, 2, 4, 8]","['∞', '1', '2+2a', '1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 4], [2, 5, 6]]]","[1, 11, 23, 35]","['0:1', '2:3', '4:3', '8:3']","[1, 3, 3, 3]","[1, 3, 3, 3]"
18,syntheme,double,"[0, 2, 4, 8]","['∞', '1', '2+2a', '1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 4], [2, 5, 6]]]","[2, 8, 20, 32]","['0:2', '2:0', '4:0', '8:0']","[2, 0, 0, 0]","[0, 0, 0, 2]"
19,syntheme,double,"[0, 2, 4, 8]","['∞', '1', '2+2a', '1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 4], [2, 5, 6]]]","[3, 17, 21, 25]","['0:3', '2:1', '4:1', '8:1']","[3, 1, 1, 1]","[1, 1, 1, 3]"
20,duad,single,"[0, 2, 6, 7]","['∞', '1', '1+2a', '1+1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]]]","[1, 14, 26, 38]","['0:1', '2:2', '6:2', '7:2']","[1, 2, 2, 2]","[1, 2, 2, 2]"
21,duad,single,"[0, 2, 6, 7]","['∞', '1', '1+2a', '1+1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]]]","[2, 13, 25, 37]","['0:2', '2:1', '6:1', '7:1']","[2, 1, 1, 1]","[1, 1, 1, 2]"
22,duad,single,"[0, 3, 4, 5]","['∞', '2+1a', '2+2a', '2']","[[[1, 2, 3], [4, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]]]","[1, 10, 22, 34]","['0:1', '3:2', '4:2', '5:2']","[1, 2, 2, 2]","[1, 2, 2, 2]"
23,duad,single,"[0, 3, 4, 5]","['∞', '2+1a', '2+2a', '2']","[[[1, 2, 3], [4, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]]]","[2, 9, 21, 33]","['0:2', '3:1', '4:1', '5:1']","[2, 1, 1, 1]","[1, 1, 1, 2]"
24,duad,single,"[0, 3, 7, 8]","['∞', '2+1a', '1+1a', '1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]]]","[0, 15, 19, 35]","['0:0', '3:3', '7:3', '8:3']","[0, 3, 3, 3]","[0, 3, 3, 3]"
25,duad,single,"[0, 3, 7, 8]","['∞', '2+1a', '1+1a', '1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]]]","[3, 28, 32, 36]","['0:3', '3:0', '7:0', '8:0']","[3, 0, 0, 0]","[0, 0, 0, 3]"
26,duad,single,"[0, 4, 6, 9]","['∞', '2+2a', '1+2a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 5, 6], [2, 3, 4]]]","[0, 11, 27, 31]","['0:0', '4:3', '6:3', '9:3']","[0, 3, 3, 3]","[0, 3, 3, 3]"
27,duad,single,"[0, 4, 6, 9]","['∞', '2+2a', '1+2a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 5, 6], [2, 3, 4]]]","[3, 16, 20, 24]","['0:3', '4:0', '6:0', '9:0']","[3, 0, 0, 0]","[0, 0, 0, 3]"
28,syntheme,double,"[0, 5, 6, 8]","['∞', '2', '1+2a', '1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 4], [2, 5, 6]]]","[0, 13, 17, 33]","['0:0', '5:1', '6:1', '8:1']","[0, 1, 1, 1]","[0, 1, 1, 1]"
29,syntheme,double,"[0, 5, 6, 8]","['∞', '2', '1+2a', '1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 4], [2, 5, 6]]]","[1, 12, 16, 32]","['0:1', '5:0', '6:0', '8:0']","[1, 0, 0, 0]","[0, 0, 0, 1]"
30,syntheme,double,"[0, 5, 6, 8]","['∞', '2', '1+2a', '1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 4], [2, 5, 6]]]","[2, 31, 35, 39]","['0:2', '5:3', '6:3', '8:3']","[2, 3, 3, 3]","[2, 3, 3, 3]"
