cycle_index,step,u,v,support,support_mask,delta,rem_sum,add_sum,node_req_hol,triad,triad_hol,triad_cover_size,triad_cover12,transition_rule_from_prev_edge,transition_ok,node_ok,outer_quad
3,3,15,53,1 4 6 10,1106,0,0,0,,13 29 36,9,12,1,delta2(no trans rule),1,1,3 14 16 21
3,4,53,39,0 1 4 8,275,2,6,0,9,11 13 36,9,9,0,delta0(rem=add=0),1,1,3 14 16 21
3,5,39,11,3 6 10 11,3144,6,0,6,3,11 29 36,3,9,0,delta2(no trans rule),1,1,3 14 16 21
3,6,11,50,3 5 9 10,1576,0,6,6,,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21
3,7,50,34,0 1 4 8,275,6,0,6,3,11 13 29,3,12,1,delta0(rem=add=6),1,1,3 14 16 21
3,8,34,38,1 4 5 10,1074,0,0,0,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21
3,9,38,56,0 3 8 9,777,0,6,6,,13 29 36,9,12,1,delta0(rem=add=0),1,1,3 14 16 21
3,10,56,47,1 3 8 10,1290,0,6,6,,13 29 36,9,12,1,delta0(rem=add=6),1,1,3 14 16 21
3,11,47,5,1 2 7 8,390,2,6,0,9,11 13 36,9,9,0,delta0(rem=add=6),1,1,3 14 16 21
3,12,5,46,3 6 10 11,3144,6,0,6,3,11 29 36,3,9,0,delta2(no trans rule),1,1,3 14 16 21
3,13,46,36,4 5 6 10,1136,0,0,0,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21
3,14,36,43,4 6 7 8,464,2,6,0,9,11 13 36,9,9,0,delta0(rem=add=0),1,1,3 14 16 21
3,15,43,57,0 4 8 9,785,0,6,6,,11 13 29,3,12,1,delta2(no trans rule),1,1,3 14 16 21
3,16,57,45,4 5 9 10,1584,6,0,6,3,11 29 36,3,9,0,delta0(rem=add=6),1,1,3 14 16 21
4,0,26,27,3 7 10 11,3208,4,0,4,,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21
4,1,27,12,4 5 6 9,624,0,0,0,,13 29 36,9,12,1,delta4(0->4),1,1,3 14 16 21
4,2,12,15,1 2 7 10,1158,2,6,0,9,13 29 36,9,12,1,delta0(rem=add=0),1,1,3 14 16 21
4,3,15,53,1 4 6 10,1106,0,0,0,,13 29 36,9,12,1,delta2(no trans rule),1,1,3 14 16 21
4,4,53,39,0 1 4 8,275,2,6,0,9,11 13 36,9,9,0,delta0(rem=add=0),1,1,3 14 16 21
4,5,39,11,3 6 10 11,3144,6,0,6,3,11 29 36,3,9,0,delta2(no trans rule),1,1,3 14 16 21
4,6,11,50,3 5 9 10,1576,0,6,6,,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21
4,7,50,34,0 1 4 8,275,6,0,6,3,11 13 29,3,12,1,delta0(rem=add=6),1,1,3 14 16 21
4,8,34,38,1 4 5 10,1074,0,0,0,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21
4,9,38,56,0 3 8 9,777,0,6,6,,13 29 36,9,12,1,delta0(rem=add=0),1,1,3 14 16 21
