p,q,k_mod12,abs_inner
6,22,10,0.5773502691897193
6,23,6,0.57735026919
6,24,2,0.5773502691897193
6,25,1,0.5773502691897193
6,26,9,0.57735026919
6,27,5,0.5773502691897193
6,31,2,0.5773502691897193
6,32,10,0.5773502691897193
6,33,6,0.57735026919
6,34,1,0.5773502691897193
6,35,9,0.57735026919
6,36,5,0.5773502691897193
7,0,0,0.57735026919
7,2,1,0.5773502691900001
7,3,11,0.57735026919
7,5,2,0.5773502691897193
7,6,1,0.5773502691897193
7,8,9,0.57735026919
7,9,3,0.57735026919
7,11,11,0.5773502691902808
7,12,1,0.5773502691902808
7,13,8,0.57735026919
7,14,2,0.5773502691897193
7,16,1,0.57735026919
7,17,11,0.5773502691902807
7,19,11,0.57735026919
7,20,1,0.5773502691902807
7,22,0,0.57735026919
7,23,6,0.57735026919
7,25,1,0.57735026919
7,26,11,0.5773502691902807
7,28,11,0.57735026919
7,29,1,0.5773502691902807
7,31,4,0.57735026919
7,32,10,0.5773502691897193
7,34,1,0.57735026919
7,35,11,0.5773502691902807
7,37,11,0.57735026919
7,38,1,0.5773502691902807
8,0,0,0.57735026919
8,1,11,0.57735026919
8,3,1,0.5773502691905614
8,5,6,0.57735026919
8,6,5,0.5773502691897193
8,7,3,0.57735026919
8,9,9,0.57735026919
8,10,11,0.5773502691902807
8,11,1,0.57735026919
8,13,0,0.57735026919
8,14,6,0.57735026919
8,17,1,0.5773502691902807
8,18,11,0.57735026919
8,19,1,0.5773502691902807
8,21,11,0.5773502691902807
8,22,4,0.57735026919
8,23,10,0.5773502691902807
8,26,1,0.5773502691902807
8,27,11,0.57735026919
8,28,1,0.5773502691902807
8,30,11,0.5773502691902807
8,31,8,0.57735026919
8,32,2,0.57735026919
8,35,1,0.5773502691902807
8,36,11,0.57735026919
8,37,1,0.5773502691902807
8,39,11,0.5773502691902807
9,0,0,0.57735026919
9,1,1,0.5773502691900001
9,2,11,0.5773502691905614
9,5,10,0.5773502691897193
9,6,9,0.57735026919
9,7,9,0.57735026919
9,8,3,0.57735026919
9,10,1,0.5773502691902807
9,12,11,0.5773502691900001
9,13,4,0.57735026919
9,14,10,0.57735026919
9,16,11,0.5773502691902807
9,18,1,0.5773502691902807
9,20,11,0.5773502691902807
9,21,1,0.57735026919
9,22,8,0.57735026919
9,23,2,0.5773502691902807
9,25,11,0.5773502691902807
9,27,1,0.5773502691902807
9,29,11,0.5773502691902807
9,30,1,0.57735026919
9,31,0,0.57735026919
9,32,6,0.57735026919
9,34,11,0.5773502691902807
9,36,1,0.5773502691902807
9,38,11,0.5773502691902807
9,39,1,0.57735026919
10,0,0,0.57735026919
10,2,1,0.5773502691902807
10,3,11,0.5773502691902807
10,5,6,0.57735026919
10,6,9,0.57735026919
10,8,1,0.5773502691902807
10,9,11,0.5773502691902807
10,11,3,0.57735026919
10,12,9,0.57735026919
10,13,2,0.5773502691902807
10,15,8,0.5773502691902807
10,16,11,0.5773502691902807
10,18,1,0.5773502691902807
10,19,1,0.5773502691902807
10,21,11,0.5773502691902807
10,22,6,0.57735026919
10,24,0,0.57735026919
10,25,11,0.5773502691902807
10,27,1,0.5773502691902807
10,28,1,0.5773502691902807
10,30,11,0.5773502691902807
10,31,10,0.5773502691902807
10,33,4,0.5773502691902807
10,34,11,0.5773502691902807
10,36,1,0.5773502691902807
10,37,1,0.5773502691902807
