p,q,k_mod12,abs_inner
37,0,0,0.57735026919
37,2,1,0.57735026919
37,3,11,0.5773502691902807
37,4,1,0.5773502691897193
37,5,4,0.5773502691897193
37,7,1,0.57735026919
37,8,11,0.5773502691902807
37,10,11,0.5773502691902807
37,11,1,0.57735026919
37,13,0,0.57735026919
37,14,2,0.57735026919
37,16,1,0.57735026919
37,17,11,0.5773502691902807
37,19,11,0.5773502691902808
37,20,1,0.57735026919
37,22,2,0.57735026919
37,24,0,0.57735026919
37,25,11,0.5773502691902807
37,27,1,0.57735026919
37,28,1,0.5773502691900001
37,30,11,0.5773502691902808
37,32,0,0.57735026919
37,33,2,0.57735026919
37,35,1,0.57735026919
37,36,11,0.5773502691902807
37,38,3,0.57735026919
37,39,9,0.57735026919
38,0,0,0.57735026919
38,1,1,0.5773502691902807
38,2,11,0.5773502691902807
38,4,9,0.57735026919
38,5,0,0.57735026919
38,7,11,0.5773502691902807
38,9,1,0.5773502691902807
38,11,11,0.5773502691902807
38,12,1,0.5773502691902807
38,13,8,0.5773502691902807
38,14,10,0.5773502691902807
38,16,11,0.5773502691902807
38,18,1,0.5773502691902807
38,20,11,0.5773502691902807
38,21,1,0.5773502691902807
38,22,10,0.5773502691902807
38,24,8,0.5773502691902807
38,26,1,0.5773502691902807
38,27,11,0.5773502691902807
38,28,11,0.5773502691902807
38,29,1,0.5773502691902807
38,32,8,0.5773502691902807
38,33,10,0.5773502691902807
38,34,1,0.5773502691902807
38,35,11,0.5773502691902807
38,37,9,0.57735026919
38,39,3,0.57735026919
39,0,0,0.57735026919
39,1,11,0.57735026919
39,3,1,0.5773502691902807
39,4,5,0.5773502691897193
39,5,8,0.5773502691897193
39,8,1,0.5773502691902807
39,9,11,0.57735026919
39,10,1,0.5773502691902807
39,12,11,0.57735026919
39,13,4,0.57735026919
39,14,6,0.57735026919
39,17,1,0.5773502691902807
39,18,11,0.57735026919
39,19,1,0.5773502691902808
39,21,11,0.5773502691900001
39,22,6,0.57735026919
39,24,4,0.57735026919
39,25,1,0.5773502691902807
39,26,11,0.57735026919
39,29,11,0.57735026919
39,30,1,0.5773502691902808
39,32,4,0.57735026919
39,33,6,0.57735026919
39,34,11,0.57735026919
39,36,1,0.5773502691902807
39,37,3,0.57735026919
39,38,9,0.57735026919
