triad_index,triad,center_quad,triad_hol_mod12,cover12
111,4 18 36,3 5 7 12,9,1
112,4 19 28,1 6 9 12,3,1
113,4 19 37,1 6 9 12,9,1
114,4 20 29,3 6 8 10,3,1
115,4 20 38,3 6 8 10,9,1
116,4 21 30,2 6 7 11,3,1
117,4 21 39,2 6 7 11,9,1
118,4 22 31,0 1 2 3,3,1
119,4 23 32,0 10 11 12,3,1
120,4 24 33,0 7 8 9,3,1
121,4 25 34,1 5 8 11,3,1
122,4 26 35,2 5 9 10,3,1
123,4 27 36,3 5 7 12,3,1
124,4 28 37,1 6 9 12,3,1
125,4 29 38,3 6 8 10,3,0
126,4 30 39,2 6 7 11,3,1
127,5 7 12,4 18 27 36,9,1
128,5 8 11,4 16 25 34,9,1
129,5 9 10,4 17 26 35,9,0
130,5 13 23,0 16 17 18,3,1
131,5 13 33,0 16 17 18,9,1
132,5 14 24,0 34 35 36,3,1
133,5 14 31,0 34 35 36,9,1
134,5 15 22,0 25 26 27,3,1
135,5 15 32,0 25 26 27,9,1
136,5 19 29,6 16 27 35,9,1
137,5 19 39,6 16 27 35,3,1
138,5 20 30,6 18 26 34,9,1
139,5 20 37,6 18 26 34,3,0
140,5 21 28,6 17 25 36,9,1
141,5 21 38,6 17 25 36,3,1
142,5 22 32,0 25 26 27,3,1
143,5 23 33,0 16 17 18,3,0
144,5 24 31,0 34 35 36,3,1
145,5 28 38,6 17 25 36,9,1
146,5 29 39,6 16 27 35,9,1
147,5 30 37,6 18 26 34,9,1
148,6 7 11,4 21 30 39,3,1
149,6 8 10,4 20 29 38,3,1
150,6 9 12,4 19 28 37,3,1
151,6 13 24,0 19 20 21,3,1
152,6 13 32,0 19 20 21,9,0
153,6 14 22,0 28 29 30,3,0
154,6 14 33,0 28 29 30,9,1
155,6 15 23,0 37 38 39,3,1
156,6 15 31,0 37 38 39,9,1
157,6 16 27,5 19 29 39,9,1
158,6 16 35,5 19 29 39,3,1
159,6 17 25,5 21 28 38,9,0
160,6 17 36,5 21 28 38,3,1
161,6 18 26,5 20 30 37,9,1
162,6 18 34,5 20 30 37,3,1
163,6 22 33,0 28 29 30,3,1
164,6 23 31,0 37 38 39,3,1
165,6 24 32,0 19 20 21,3,1
166,6 25 36,5 21 28 38,9,1
167,6 26 34,5 20 30 37,9,1
168,6 27 35,5 19 29 39,9,1
169,7 8 9,4 15 24 33,3,1
170,7 13 25,1 15 18 21,3,1
171,7 13 37,1 15 18 21,9,1
172,7 14 26,10 15 30 36,9,0
173,7 14 38,10 15 30 36,3,1
174,7 16 28,1 33 36 39,3,1
175,7 16 31,1 33 36 39,9,1
176,7 17 29,10 21 27 33,9,0
177,7 17 32,10 21 27 33,3,0
178,7 19 22,1 24 27 30,3,0
179,7 19 34,1 24 27 30,9,0
180,7 20 23,10 18 24 39,9,1
181,7 20 35,10 18 24 39,3,1
182,7 22 34,1 24 27 30,3,1
183,7 23 35,10 18 24 39,9,0
184,7 25 37,1 15 18 21,3,1
185,7 26 38,10 15 30 36,9,1
186,7 28 31,1 33 36 39,3,0
187,7 29 32,10 21 27 33,9,0
188,8 13 26,2 15 16 20,3,1
189,8 13 39,2 15 16 20,9,1
190,8 14 27,12 15 29 34,9,1
191,8 14 37,12 15 29 34,3,0
192,8 17 30,2 33 34 38,3,1
193,8 17 31,2 33 34 38,9,1
194,8 18 28,12 20 25 33,9,1
195,8 18 32,12 20 25 33,3,1
