u,v,z2_voltage,s3_perm,s3_class,s3_sign
8,26,1,"(0, 2, 1)",transposition,1
8,28,1,"(0, 2, 1)",transposition,1
8,29,1,"(1, 0, 2)",transposition,1
8,31,0,"(0, 1, 2)",id,0
8,32,0,"(0, 1, 2)",id,0
8,33,1,"(0, 1, 2)",id,0
8,34,1,"(2, 0, 1)",3-cycle,0
8,35,1,"(0, 2, 1)",transposition,1
8,36,0,"(0, 1, 2)",id,0
8,38,1,"(0, 1, 2)",id,0
8,39,0,"(0, 1, 2)",id,0
8,41,1,"(0, 2, 1)",transposition,1
8,42,0,"(0, 1, 2)",id,0
8,44,1,"(0, 1, 2)",id,0
9,0,0,"(0, 1, 2)",id,0
9,1,0,"(0, 1, 2)",id,0
9,2,0,"(0, 1, 2)",id,0
9,3,1,"(0, 2, 1)",transposition,1
9,5,1,"(0, 2, 1)",transposition,1
9,7,1,"(1, 2, 0)",3-cycle,0
9,10,0,"(0, 1, 2)",id,0
9,11,0,"(0, 1, 2)",id,0
9,12,0,"(0, 2, 1)",transposition,1
9,13,0,"(0, 1, 2)",id,0
9,14,0,"(0, 1, 2)",id,0
9,15,0,"(0, 1, 2)",id,0
9,16,0,"(0, 1, 2)",id,0
9,17,0,"(0, 1, 2)",id,0
9,18,0,"(0, 1, 2)",id,0
9,20,1,"(2, 1, 0)",transposition,1
9,22,1,"(2, 0, 1)",3-cycle,0
9,24,1,"(1, 0, 2)",transposition,1
9,25,0,"(0, 1, 2)",id,0
9,26,0,"(0, 1, 2)",id,0
9,27,1,"(1, 0, 2)",transposition,1
9,29,1,"(0, 1, 2)",id,0
9,31,1,"(0, 2, 1)",transposition,1
9,33,1,"(0, 2, 1)",transposition,1
9,34,1,"(0, 2, 1)",transposition,1
9,35,1,"(0, 1, 2)",id,0
9,39,0,"(0, 1, 2)",id,0
9,40,0,"(0, 1, 2)",id,0
9,41,0,"(2, 1, 0)",transposition,1
9,42,1,"(0, 1, 2)",id,0
9,43,1,"(0, 1, 2)",id,0
9,44,1,"(0, 1, 2)",id,0
10,0,0,"(0, 1, 2)",id,0
10,1,0,"(0, 1, 2)",id,0
10,2,0,"(0, 1, 2)",id,0
10,4,1,"(0, 2, 1)",transposition,1
10,6,1,"(0, 2, 1)",transposition,1
10,8,1,"(1, 2, 0)",3-cycle,0
10,9,0,"(0, 1, 2)",id,0
10,11,0,"(0, 1, 2)",id,0
10,12,0,"(1, 0, 2)",transposition,1
10,13,0,"(1, 0, 2)",transposition,1
10,14,0,"(1, 2, 0)",3-cycle,0
10,15,0,"(0, 2, 1)",transposition,1
10,16,0,"(2, 0, 1)",3-cycle,0
10,17,0,"(0, 1, 2)",id,0
10,18,0,"(0, 1, 2)",id,0
10,19,1,"(2, 1, 0)",transposition,1
10,21,1,"(2, 1, 0)",transposition,1
10,23,1,"(1, 0, 2)",transposition,1
10,25,0,"(0, 1, 2)",id,0
10,26,0,"(0, 1, 2)",id,0
10,28,1,"(2, 0, 1)",3-cycle,0
10,30,1,"(2, 0, 1)",3-cycle,0
10,32,1,"(0, 1, 2)",id,0
10,33,0,"(0, 1, 2)",id,0
10,34,0,"(0, 1, 2)",id,0
10,35,0,"(0, 1, 2)",id,0
10,39,1,"(2, 1, 0)",transposition,1
10,40,1,"(0, 1, 2)",id,0
10,41,1,"(0, 1, 2)",id,0
10,42,0,"(0, 1, 2)",id,0
10,43,0,"(0, 1, 2)",id,0
10,44,0,"(0, 1, 2)",id,0
11,0,0,"(0, 1, 2)",id,0
11,2,1,"(0, 2, 1)",transposition,1
11,3,0,"(0, 1, 2)",id,0
11,4,0,"(0, 1, 2)",id,0
11,6,1,"(1, 0, 2)",transposition,1
11,7,1,"(1, 0, 2)",transposition,1
11,9,0,"(0, 1, 2)",id,0
11,10,0,"(0, 1, 2)",id,0
11,12,0,"(0, 1, 2)",id,0
11,13,0,"(0, 1, 2)",id,0
11,14,0,"(0, 1, 2)",id,0
11,15,0,"(2, 1, 0)",transposition,1
11,16,0,"(2, 1, 0)",transposition,1
11,17,1,"(2, 1, 0)",transposition,1
11,19,0,"(0, 1, 2)",id,0
11,20,0,"(0, 1, 2)",id,0
11,21,1,"(0, 2, 1)",transposition,1
11,24,1,"(2, 0, 1)",3-cycle,0
11,26,1,"(1, 0, 2)",transposition,1
11,27,0,"(0, 1, 2)",id,0
11,28,0,"(0, 1, 2)",id,0
11,30,1,"(0, 2, 1)",transposition,1
11,31,1,"(2, 1, 0)",transposition,1
11,34,1,"(0, 1, 2)",id,0
11,35,0,"(0, 2, 1)",transposition,1
11,36,0,"(0, 2, 1)",transposition,1
11,37,0,"(2, 0, 1)",3-cycle,0
11,38,0,"(0, 1, 2)",id,0
11,39,0,"(0, 1, 2)",id,0
11,40,1,"(2, 1, 0)",transposition,1
11,42,0,"(0, 1, 2)",id,0
11,44,1,"(1, 0, 2)",transposition,1
12,0,0,"(0, 1, 2)",id,0
12,1,1,"(0, 1, 2)",id,0
12,3,0,"(0, 1, 2)",id,0
12,4,0,"(0, 1, 2)",id,0
12,5,1,"(0, 1, 2)",id,0
12,8,1,"(1, 0, 2)",transposition,1
12,9,0,"(0, 2, 1)",transposition,1
12,10,0,"(1, 0, 2)",transposition,1
12,11,0,"(0, 1, 2)",id,0
12,13,0,"(0, 1, 2)",id,0
12,14,0,"(0, 1, 2)",id,0
12,15,0,"(2, 1, 0)",transposition,1
12,16,0,"(2, 1, 0)",transposition,1
12,18,1,"(2, 1, 0)",transposition,1
12,19,0,"(0, 1, 2)",id,0
12,20,0,"(0, 1, 2)",id,0
12,22,1,"(1, 2, 0)",3-cycle,0
12,23,1,"(0, 1, 2)",id,0
12,25,1,"(0, 1, 2)",id,0
12,27,0,"(0, 1, 2)",id,0
12,28,0,"(0, 1, 2)",id,0
12,29,1,"(1, 0, 2)",transposition,1
12,32,1,"(0, 2, 1)",transposition,1
12,34,0,"(0, 1, 2)",id,0
12,35,1,"(2, 1, 0)",transposition,1
12,36,1,"(0, 1, 2)",id,0
12,37,1,"(2, 1, 0)",transposition,1
12,38,1,"(0, 1, 2)",id,0
12,39,1,"(0, 1, 2)",id,0
12,40,0,"(2, 1, 0)",transposition,1
12,42,1,"(0, 1, 2)",id,0
12,44,0,"(1, 0, 2)",transposition,1
13,0,0,"(0, 1, 2)",id,0
13,2,1,"(1, 0, 2)",transposition,1
13,3,1,"(2, 1, 0)",transposition,1
