lambda,mu,m,base_rank,branch,eigval,base_eigval,coin_slope,defect_mass,ipr,mult,defect_localized
0.0,-2.0,5,3,anti,3.50519857651901,3.50519857651901,-1.0,0.01945039509354293,0.047424422961558986,3,0
0.0,-2.0,0,3,sym,3.5034309287960843,3.5034309287960843,3.0,0.01902363178035524,0.04839207340720931,1,0
0.0,-2.0,0,3,anti,3.5034309287960843,3.5034309287960843,-1.0,0.01902363178035524,0.04839207340720931,3,0
0.0,-2.0,0,4,anti,3.1305438964074654,3.1305438964074654,-1.0,0.027017745616268216,0.0492294650892175,3,0
0.0,-2.0,0,4,sym,3.1305438964074654,3.1305438964074654,3.0,0.027017745616268216,0.0492294650892175,1,0
0.0,-2.0,1,4,sym,3.1268023420623057,3.1268023420623057,3.0,0.022144910671475525,0.04823818650625751,1,0
0.0,-2.0,1,4,anti,3.1268023420623057,3.1268023420623057,-1.0,0.022144910671475525,0.04823818650625751,3,0
0.0,-1.0,0,1,sym,4.7100246772870875,4.7100246772870875,3.0,0.0601994646311257,0.03698424162854403,1,0
0.0,-1.0,0,1,anti,4.7100246772870875,4.7100246772870875,-1.0,0.0601994646311257,0.03698424162854403,3,0
0.0,-1.0,1,1,sym,4.693332263556147,4.693332263556147,3.0,0.0505548497526339,0.037409535397263084,1,0
0.0,-1.0,5,1,anti,4.693332263556147,4.693332263556147,-1.0,0.0505548497526339,0.037409535397263084,3,0
0.0,-1.0,5,1,sym,4.693332263556147,4.693332263556147,3.0,0.0505548497526339,0.037409535397263084,1,0
0.0,-1.0,1,1,anti,4.693332263556147,4.693332263556147,-1.0,0.0505548497526339,0.037409535397263084,3,0
0.0,-1.0,4,1,anti,4.6598634384090305,4.6598634384090305,-1.0,0.03075845492259083,0.038491237587976686,3,0
0.0,-1.0,4,1,sym,4.6598634384090305,4.6598634384090305,3.0,0.03075845492259083,0.038491237587976686,1,0
0.0,-1.0,2,1,anti,4.6598634384090305,4.6598634384090305,-1.0,0.030758454922590817,0.038491237587976665,3,0
0.0,-1.0,2,1,sym,4.6598634384090305,4.6598634384090305,3.0,0.030758454922590817,0.038491237587976665,1,0
0.0,-1.0,3,1,anti,4.643114852705058,4.643114852705058,-1.0,0.020645161752733315,0.039155282749212095,3,0
0.0,-1.0,3,1,sym,4.643114852705058,4.643114852705058,3.0,0.020645161752733315,0.039155282749212095,1,0
0.0,-1.0,0,2,anti,3.668233438320644,3.668233438320644,-1.0,0.019012724203726527,0.04855608095506845,3,0
0.0,-1.0,0,2,sym,3.668233438320644,3.668233438320644,3.0,0.019012724203726527,0.04855608095506845,1,0
0.0,-1.0,1,2,anti,3.6680311835081074,3.6680311835081074,-1.0,0.01917810103070573,0.04816465129121656,3,0
0.0,-1.0,1,2,sym,3.6680311835081074,3.6680311835081074,3.0,0.01917810103070573,0.04816465129121656,1,0
0.0,-1.0,5,2,sym,3.6680311835081074,3.6680311835081074,3.0,0.01917810103070573,0.04816465129121656,1,0
0.0,-1.0,5,2,anti,3.6680311835081074,3.6680311835081074,-1.0,0.01917810103070573,0.04816465129121656,3,0
