potential,m,branch,mu_cross_mass0p6,max_defect_mass,max_ipr,eigval_mu_minus2,eigval_mu_plus2,defect_mass_mu_plus2,O6_mass_mu_plus2,O12_mass_mu_plus2,bias_mu_plus2,slope_mu_ge_1p5,localized_mass0p6,min_overlap,median_overlap
V_O6_4,3,2,,0.2944944101747501,0.04596221223537075,3.568456293683322,3.7141927990745085,0.07012468489804148,0.030729561682926204,0.04103104972146394,O12,0.018930913567315293,0,0.9251585895309137,0.9999935717560767
V_O6_4,3,3,,0.3381860299219135,0.05207890903588871,3.147211260599127,3.590196845881963,0.13909812829863924,0.10908171369895944,0.04457425232543342,O6,0.09543116556295776,0,0.9998400705625592,0.9999055132346394
V_O6_4,3,4,,0.2091050276790069,0.04345103437386221,3.0354604010268718,3.2225273619785995,0.11926731174982935,0.1089101511599051,0.06108420171467107,O6,0.08159961484025718,0,0.999840742506126,0.9999592739474326
V_O6_4,3,5,,0.13118593655624186,0.04680835810156065,2.881121798836565,3.0021949490029414,0.13118593655624186,0.07412386011914512,0.1087395559013436,O12,0.06957219623866243,0,0.9999128404439781,0.9999866530586304
V_O6_4,3,6,,0.5811781866896879,0.1000275677449099,2.6675717101664267,2.9732554875469246,0.5811781866896879,0.4152861266839446,0.17383925866764977,O6,0.27465675871698364,0,0.9996264351490945,0.9999640038343925
V_O6_4,3,7,,0.23781252604756975,0.05545048135791733,2.4940263445716764,2.7260815585183127,0.1736653657079844,0.13077381151664222,0.08337188600700894,O6,0.1611684376489303,0,0.9972366324533738,0.9999921099436894
V_O6_4,3,8,,0.2507833948576338,0.05989078742576922,2.1819954611216463,2.6427020527814498,0.11260137461148693,0.09762727032387608,0.02294802984799963,O6,0.08876928645758543,0,0.9972686015809475,0.9999288958574838
V_O6_4,3,9,,0.38267303998996327,0.05159146329405547,1.983202061014925,2.456092676139381,0.1766411796731126,0.1717049270629725,0.05730663608897518,O6,0.2233080089741529,0,0.9997874859722209,0.9998811043699808
V_O6_4,3,10,,0.3066627948097207,0.051854921334891876,1.843667953562917,2.054258740149511,0.3066627948097207,0.2418100171770273,0.09151492014937172,O6,0.14847781565036844,0,0.9985232132150731,0.9999356525292386
V_O6_4,3,11,,0.2056000128011074,0.043653961584631605,1.7440385618914338,1.9604626537377956,0.05384054498756701,0.04123053149988425,0.013463246800950398,O6,0.1110258594134578,0,0.9983190223152272,0.9999590829806873
V_O6_4,3,12,,0.2485134486091503,0.05052011666817987,1.5939753287380605,1.9013181709191964,0.12074312534450879,0.08341130979565577,0.03803253255651327,O6,0.1174987448562473,0,0.9992182846336746,0.9998680039885787
V_O6_4,3,13,,0.15478726959371047,0.05873915406136871,1.5047836645699044,1.73991098485401,0.12629392434037198,0.0885283754948688,0.09922019125132943,O12,0.0811276657692975,0,0.9931302624631817,0.9999014387483987
V_O6_4,3,14,,0.148659802435777,0.0531285973367837,1.393796481913571,1.6474669515359082,0.07406896849364161,0.021543158183459477,0.06236284873915446,O12,0.025041696689384635,0,0.9935171533187778,0.9999152974646074
V_O6_4,3,15,,0.21169367924966204,0.051004534538012465,1.2263367882493963,1.494782213115389,0.21169367924966204,0.10063113777594107,0.16527355677395203,O12,0.10084878242380312,0,0.9998495611272972,0.9999279283673949
V_O6_4,3,16,,0.10184654576879086,0.05182317052443366,1.1196126773304715,1.2966427580142206,0.10184654576879086,0.0899277585893933,0.026543907428665827,O6,0.0837294415119802,0,0.9997409534423684,0.9999629500941184
V_O6_4,3,17,,0.1255634263585818,0.05889880400651781,1.0802120652432352,1.258492551940773,0.1255634263585818,0.07295300354509801,0.06455194009168902,O6,0.06711455122879306,0,0.9996952454908026,0.9998439835451212
V_O6_4,3,18,,0.28535366711561494,0.05826957488489909,0.9353015906014733,1.1192690681599697,0.0901457518745796,0.04549995772172274,0.05164451077897906,O12,0.0418151498532857,0,0.9663786100087741,0.9998721554696363
V_O6_4,3,19,,0.2588946631164443,0.0647231984317188,0.8805458963030098,1.0539359218307336,0.14807014239667793,0.05243798916567305,0.09566359008591346,O12,0.06318211580187323,0,0.9662590571916616,0.9998134843361568
V_O6_4,4,0,,0.49017757756921015,0.06023325825861673,4.679660042901759,4.914468528044029,0.49017757756921015,0.39732116088786495,0.24236613940604465,O6,0.24926299781789765,0,0.9997745743944971,0.9999984474344332
V_O6_4,4,1,0.9500000000000002,0.6395227433371251,0.08854278746301447,3.691393703638266,4.4764064149675855,0.4220996813682974,0.38236731605698554,0.14379010166521347,O6,0.48176678599191536,1,0.9963854870050468,0.9999316662503064
V_O6_4,4,2,,0.2298321318312422,0.0448554248592024,3.562512190769592,3.7202437306739653,0.08704777857378126,0.037680756104241764,0.05078009043051188,O12,0.02506380292604733,0,0.9963917031235262,0.9999886912354989
V_O6_4,4,3,,0.2926141766784017,0.040190366036594,3.161733335164868,3.559201780198565,0.12094839277201791,0.09504691074722456,0.03735050853825966,O6,0.08021632250882703,0,0.9998985021217195,0.9999434813798235
V_O6_4,4,4,,0.14676929434674751,0.03419484657271018,3.0981640321951835,3.2065375225749277,0.1312430768291275,0.09974955649952906,0.0621468720361159,O6,0.06827238514321819,0,0.9999117705913593,0.9999822828600216
