lambda,lambda_step,top1,top2,gap12,median,min,max
1.1,0.025,8.10249331204302,8.070531255977423,0.031962056065596656,-0.21891109823737515,-5.74197593816136,8.10249331204302
1.125,0.025,8.177493312043019,8.145531255977422,0.031962056065596656,-0.24391109823737434,-5.766975938161361,8.177493312043019
1.1500000000000001,0.025,8.252493312043018,8.220531255977424,0.03196205606559488,-0.26050556341606057,-5.791975938161361,8.252493312043018
1.175,0.025,8.32749331204302,8.295531255977423,0.031962056065596656,-0.2765406760286381,-5.81697593816136,8.32749331204302
1.2000000000000002,0.025,8.40249331204302,8.370531255977422,0.03196205606559843,-0.2755488441047844,-5.841975938161361,8.40249331204302
1.225,0.025,8.47749331204302,8.445531255977423,0.031962056065596656,-0.30054884410478433,-5.86697593816136,8.47749331204302
1.25,0.025,8.552493312043019,8.520531255977422,0.031962056065596656,-0.32554884410478424,-5.891975938161361,8.552493312043019
1.2750000000000001,0.025,8.627493312043018,8.595531255977424,0.03196205606559488,-0.3505488441047844,-5.916975938161361,8.627493312043018
1.3,0.025,8.70249331204302,8.670531255977423,0.031962056065596656,-0.3755488441047843,-5.94197593816136,8.70249331204302
1.3250000000000002,0.025,8.77749331204302,8.745531255977422,0.03196205606559843,-0.4005488441047844,-5.966975938161361,8.77749331204302
1.35,0.025,8.85249331204302,8.820531255977423,0.031962056065596656,-0.42554884410478433,-5.99197593816136,8.85249331204302
1.375,0.025,8.927493312043019,8.895531255977422,0.031962056065596656,-0.4255906696563805,-6.016975938161361,8.927493312043019
1.4000000000000001,0.025,9.002493312043018,8.970531255977424,0.03196205606559488,-0.444151668840559,-6.041975938161361,9.002493312043018
1.425,0.025,9.07749331204302,9.045531255977423,0.031962056065596656,-0.4691516688405589,-6.06697593816136,9.07749331204302
1.4500000000000002,0.025,9.15249331204302,9.120531255977422,0.03196205606559843,-0.49415166884055906,-6.091975938161361,9.15249331204302
1.475,0.025,9.22749331204302,9.195531255977423,0.031962056065596656,-0.519151668840559,-6.11697593816136,9.22749331204302
1.5,0.025,9.302493312043019,9.270531255977422,0.031962056065596656,-0.5441516688405589,-6.141975938161361,9.302493312043019
1.5250000000000001,0.025,9.377493312043018,9.345531255977424,0.03196205606559488,-0.569151668840559,-6.166975938161361,9.377493312043018
1.55,0.025,9.45249331204302,9.420531255977423,0.031962056065596656,-0.5941516688405589,-6.19197593816136,9.45249331204302
1.5750000000000002,0.025,9.52749331204302,9.495531255977422,0.03196205606559843,-0.619151668840559,-6.216975938161361,9.52749331204302
1.6,0.025,9.60249331204302,9.570531255977423,0.031962056065596656,-0.644151668840559,-6.24197593816136,9.60249331204302
1.625,0.025,9.677493312043019,9.645531255977422,0.031962056065596656,-0.6691516688405589,-6.266975938161361,9.677493312043019
1.6500000000000001,0.025,9.752493312043018,9.720531255977424,0.03196205606559488,-0.694151668840559,-6.291975938161361,9.752493312043018
1.675,0.025,9.82749331204302,9.795531255977423,0.031962056065596656,-0.7191516688405589,-6.31697593816136,9.82749331204302
1.7000000000000002,0.025,9.90249331204302,9.870531255977422,0.03196205606559843,-0.744151668840559,-6.341975938161361,9.90249331204302
1.725,0.025,9.97749331204302,9.945531255977423,0.031962056065596656,-0.769151668840559,-6.36697593816136,9.97749331204302
1.75,0.025,10.052493312043019,10.020531255977422,0.031962056065596656,-0.7941516688405589,-6.391975938161361,10.052493312043019
1.7750000000000001,0.025,10.127493312043018,10.095531255977424,0.03196205606559488,-0.819151668840559,-6.416975938161361,10.127493312043018
1.8,0.025,10.20249331204302,10.170531255977423,0.031962056065596656,-0.8441516688405589,-6.44197593816136,10.20249331204302
1.8250000000000002,0.025,10.27749331204302,10.245531255977422,0.03196205606559843,-0.869151668840559,-6.466975938161361,10.27749331204302
1.85,0.025,10.35249331204302,10.320531255977423,0.031962056065596656,-0.894151668840559,-6.49197593816136,10.35249331204302
1.875,0.025,10.427493312043019,10.395531255977422,0.031962056065596656,-0.9191516688405589,-6.516975938161361,10.427493312043019
1.9000000000000001,0.025,10.502493312043018,10.470531255977424,0.03196205606559488,-0.944151668840559,-6.541975938161361,10.502493312043018
1.925,0.025,10.57749331204302,10.545531255977423,0.031962056065596656,-0.9691516688405589,-6.56697593816136,10.57749331204302
1.9500000000000002,0.025,10.65249331204302,10.620531255977422,0.03196205606559843,-0.994151668840559,-6.591975938161361,10.65249331204302
1.975,0.025,10.72749331204302,10.695531255977423,0.031962056065596656,-1.0191516688405589,-6.61697593816136,10.72749331204302
2.0,0.025,10.802493312043019,10.770531255977422,0.031962056065596656,-1.0441516688405588,-6.641975938161361,10.802493312043019
