potential,m,branch,family_bias,mu_cross_mass0p6,q6,q12,q_total,q_diff,lambda,alpha6,alpha12,E1,E2,E3,E4,gap12,gap23,gap34
V_O6_minus_O12,2,1,O6,1.4000000000000004,0.678034535326872,0.0866980742300519,0.7647326095569239,0.59133646109682,0.25,1.0,1.0,1.1028707036406509,0.41871485872221137,-0.5740679635682274,-0.9475175987946347,0.6841558449184395,0.9927828222904388,0.3734496352264073
V_O6_minus_O12,2,1,O6,1.4000000000000004,0.678034535326872,0.0866980742300519,0.7647326095569239,0.59133646109682,1.0,1.0,1.0,3.113785075990751,-0.3201663026207173,-1.1064022049339306,-1.6872165684361031,3.4339513786114684,0.7862359023132133,0.5808143635021725
V_O6_minus_O12,2,1,O6,1.4000000000000004,0.678034535326872,0.0866980742300519,0.7647326095569239,0.59133646109682,0.25,1.0,-1.0,1.1028707036406507,0.4187148587222111,-0.5740679635682273,-0.9475175987946349,0.6841558449184395,0.9927828222904385,0.3734496352264076
V_O6_minus_O12,3,1,O6,-2.0,0.809127346024712,0.1128514010046801,0.9219787470293921,0.696275945020032,0.25,1.0,1.0,1.2194219802746156,0.5420501867602161,-0.6715835857890712,-1.0898885812457604,0.6773717935143995,1.2136337725492874,0.4183049954566892
V_O6_minus_O12,3,1,O6,-2.0,0.809127346024712,0.1128514010046801,0.9219787470293921,0.696275945020032,1.0,1.0,1.0,3.1608854884862874,-0.1893398925200197,-1.148428965596287,-1.8231166303699815,3.350225381006307,0.9590890730762672,0.6746876647736946
V_O6_minus_O12,3,1,O6,-2.0,0.809127346024712,0.1128514010046801,0.9219787470293921,0.696275945020032,0.25,1.0,-1.0,1.2194219802746153,0.5420501867602161,-0.6715835857890715,-1.0898885812457602,0.6773717935143992,1.2136337725492876,0.41830499545668864
V_O6_minus_O12,4,1,O6,1.4000000000000004,0.6780345353268705,0.0866980742300515,0.764732609556922,0.591336461096819,0.25,1.0,1.0,1.1028707036406495,0.41871485872221004,-0.5740679635682263,-0.9475175987946332,0.6841558449184395,0.9927828222904364,0.37344963522640684
V_O6_minus_O12,4,1,O6,1.4000000000000004,0.6780345353268705,0.0866980742300515,0.764732609556922,0.591336461096819,1.0,1.0,1.0,3.1137850759907515,-0.32016630262071843,-1.10640220493393,-1.6872165684361011,3.4339513786114697,0.7862359023132115,0.5808143635021712
V_O6_minus_O12,4,1,O6,1.4000000000000004,0.6780345353268705,0.0866980742300515,0.764732609556922,0.591336461096819,0.25,1.0,-1.0,1.1028707036406493,0.4187148587222098,-0.5740679635682264,-0.9475175987946332,0.6841558449184395,0.9927828222904362,0.37344963522640673
V_defect7,2,0,O12,1.725,0.3755525402811734,0.5208865035861739,0.8964390438673473,-0.14533396330500054,0.25,1.0,1.0,1.125146240701003,0.17331633720884218,-0.2883610271597329,-1.0101015507501123,0.9518299034921609,0.4616773643685751,0.7217405235903794
V_defect7,2,0,O12,1.725,0.3755525402811734,0.5208865035861739,0.8964390438673473,-0.14533396330500054,1.0,1.0,1.0,3.1027801416107916,-0.4089871005045687,-1.0102406793666583,-1.683552361739563,3.5117672421153605,0.6012535788620896,0.6733116823729046
V_defect7,2,0,O12,1.725,0.3755525402811734,0.5208865035861739,0.8964390438673473,-0.14533396330500054,0.25,1.0,-1.0,1.1251462407010036,0.17331633720884196,-0.2883610271597327,-1.0101015507501125,0.9518299034921616,0.46167736436857465,0.7217405235903798
V_defect7,3,0,O12,1.6500000000000004,0.4743426130423986,0.6070705191705128,1.0814131322129115,-0.1327279061281142,0.25,1.0,1.0,1.2684573016708858,0.19605992093992847,-0.2826402438245046,-1.1818769787863108,1.0723973807309573,0.47870016476443306,0.8992367349618062
V_defect7,3,0,O12,1.6500000000000004,0.4743426130423986,0.6070705191705128,1.0814131322129115,-0.1327279061281142,1.0,1.0,1.0,3.14790652938425,-0.30830430108755036,-1.0086413812631077,-1.8309608470335919,3.4562108304718,0.7003370801755573,0.8223194657704842
V_defect7,3,0,O12,1.6500000000000004,0.4743426130423986,0.6070705191705128,1.0814131322129115,-0.1327279061281142,0.25,1.0,-1.0,1.2684573016708858,0.19605992093992836,-0.2826402438245044,-1.18187697878631,1.0723973807309575,0.4787001647644328,0.8992367349618056
V_defect7,3,1,O12,0.4750000000000001,0.0641525583046648,0.0946491386917657,0.15880169699643049,-0.03049658038710089,0.25,1.0,1.0,0.7630492818336225,-0.14169956434132935,-0.2517879671092966,-0.3695617503829963,0.9047488461749519,0.11008840276796722,0.11777378327369975
V_defect7,3,1,O12,0.4750000000000001,0.0641525583046648,0.0946491386917657,0.15880169699643049,-0.03049658038710089,1.0,1.0,1.0,3.0032681348014236,-0.887094290693447,-1.0004483870682583,-1.1157254570397162,3.8903624254948705,0.11335409637481131,0.11527706997145781
V_defect7,3,1,O12,0.4750000000000001,0.0641525583046648,0.0946491386917657,0.15880169699643049,-0.03049658038710089,0.25,1.0,-1.0,0.7630492818336225,-0.1416995643413294,-0.25178796710929685,-0.3695617503829963,0.904748846174952,0.11008840276796744,0.11777378327369947
V_defect7,3,4,O6,1.75,0.3812726069418469,0.2885138352028115,0.6697864421446584,0.0927587717390354,0.25,1.0,1.0,0.9690947469634702,0.09998315240240727,-0.2663682029394931,-0.8027096964263845,0.8691115945610629,0.36635135534190033,0.5363414934868913
V_defect7,3,4,O6,1.75,0.3812726069418469,0.2885138352028115,0.6697864421446584,0.0927587717390354,1.0,1.0,1.0,3.0570831425962965,-0.5504641027478947,-1.004212589990391,-1.5024064498580119,3.6075472453441915,0.4537484872424964,0.49819385986762077
V_defect7,3,4,O6,1.75,0.3812726069418469,0.2885138352028115,0.6697864421446584,0.0927587717390354,0.25,1.0,-1.0,0.9690947469634703,0.09998315240240734,-0.26636820293949304,-0.8027096964263845,0.869111594561063,0.3663513553419004,0.5363414934868914
V_defect7,4,0,O12,1.725,0.3755525402811734,0.520886503586174,0.8964390438673475,-0.14533396330500065,0.25,1.0,1.0,1.1251462407010036,0.17331633720884218,-0.28836102715973283,-1.010101550750112,0.9518299034921613,0.461677364368575,0.7217405235903793
V_defect7,4,0,O12,1.725,0.3755525402811734,0.520886503586174,0.8964390438673475,-0.14533396330500065,1.0,1.0,1.0,3.102780141610791,-0.4089871005045685,-1.010240679366658,-1.6835523617395642,3.5117672421153596,0.6012535788620896,0.6733116823729062
V_defect7,4,0,O12,1.725,0.3755525402811734,0.520886503586174,0.8964390438673475,-0.14533396330500065,0.25,1.0,-1.0,1.1251462407010036,0.173316337208842,-0.28836102715973283,-1.0101015507501125,0.9518299034921616,0.4616773643685748,0.7217405235903798
