u,v,sig_u,sig_v,sig_pair,delta_sum_mod8,sigma_flip
29,52,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
30,41,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
30,55,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
30,56,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
31,43,"0,0,0,0,2,6","0,0,0,2,6,6","0,0,0,0,2,6 | 0,0,0,2,6,6",6,True
31,48,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
32,56,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
33,35,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0 | 0,0,0,0,0,0",0,False
33,51,"0,0,0,0,0,0","0,0,0,0,0,6","0,0,0,0,0,0 | 0,0,0,0,0,6",6,True
34,38,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
34,50,"0,0,0,0,2,6","0,0,0,2,6,6","0,0,0,0,2,6 | 0,0,0,2,6,6",6,True
34,54,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
36,43,"0,0,0,0,6,6","0,0,0,2,6,6","0,0,0,0,6,6 | 0,0,0,2,6,6",2,True
36,46,"0,0,0,0,6,6","0,0,0,0,6,6","0,0,0,0,6,6 | 0,0,0,0,6,6",0,False
37,51,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
38,56,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
39,53,"0,0,0,0,6,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,6,6",2,True
40,41,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
40,49,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
40,56,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
41,47,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
41,58,"0,0,0,0,2,6","0,0,0,0,0,2","0,0,0,0,0,2 | 0,0,0,0,2,6",2,True
42,44,"0,0,0,0,0,2","0,0,0,0,2,6","0,0,0,0,0,2 | 0,0,0,0,2,6",6,True
42,58,"0,0,0,0,0,2","0,0,0,0,0,2","0,0,0,0,0,2 | 0,0,0,0,0,2",0,False
43,57,"0,0,0,2,6,6","0,0,0,2,6,6","0,0,0,2,6,6 | 0,0,0,2,6,6",0,False
44,45,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
44,49,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
45,57,"0,0,0,0,2,6","0,0,0,2,6,6","0,0,0,0,2,6 | 0,0,0,2,6,6",6,True
47,56,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
48,54,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
48,57,"0,0,0,0,2,6","0,0,0,2,6,6","0,0,0,0,2,6 | 0,0,0,2,6,6",6,True
49,58,"0,0,0,0,2,6","0,0,0,0,0,2","0,0,0,0,0,2 | 0,0,0,0,2,6",2,True
52,53,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
