m,idx,eigenvalue
3,41,-1.0876370148943124
3,42,-1.259791200803138
3,43,-1.2700980891017941
3,44,-1.4058630201559599
3,45,-1.5290400362813883
3,46,-1.8380422521835291
3,47,-1.9615094797581938
3,48,-2.079660397239122
3,49,-2.189914673040608
3,50,-2.2436967858634524
3,51,-2.3074369481561354
3,52,-2.629674006763314
3,53,-2.8444977216965652
3,54,-3.2180718790783245
3,55,-3.2884899297163144
3,56,-3.6891857164306305
3,57,-3.822207825049789
3,58,-4.514932249374896
4,0,4.704072668327499
4,1,3.7015892187557564
4,2,3.6651490330616014
4,3,3.355550267247677
4,4,3.136473031839231
4,5,2.890086080176547
4,6,2.6890945974154428
4,7,2.5462636278187136
4,8,2.308204332973884
4,9,2.03999312308892
4,10,1.9492859878394613
4,11,1.8195924655650424
4,12,1.6640467916365833
4,13,1.5364347905146065
4,14,1.4859106519662086
4,15,1.284713683931284
4,16,1.178351991095198
4,17,1.119607292428223
4,18,1.0291913383838343
4,19,0.9558483311594411
4,20,0.8810889017626257
4,21,0.8398135958824198
4,22,0.7531538764020773
4,23,0.5834018557724562
4,24,0.4812666422466678
4,25,0.3490769931980955
4,26,0.23628310631322452
4,27,0.10397965549932507
4,28,0.02130636903816758
4,29,-8.410204726375513e-18
4,30,-0.08143818975911878
4,31,-0.13450764541076388
4,32,-0.31327635686219646
4,33,-0.4375364331018045
4,34,-0.5518191924768396
4,35,-0.5952055224672402
4,36,-0.6431909173937003
4,37,-0.7485420543883807
4,38,-0.8357787300440271
4,39,-0.8724188034012872
4,40,-0.9814125983379145
4,41,-1.0879973852139146
4,42,-1.2550566678501907
4,43,-1.2649781957106936
4,44,-1.379179853663801
4,45,-1.4856643359015416
4,46,-1.8905678847444505
4,47,-1.9660633078455125
4,48,-2.073996387491046
4,49,-2.1753099891307865
4,50,-2.245469082011707
4,51,-2.307502676688866
4,52,-2.5649390999209634
4,53,-2.7463063040630007
4,54,-3.217141566650246
4,55,-3.4098676126887613
4,56,-3.690498504960997
4,57,-3.8054450861095654
4,58,-4.5477199170509035
5,0,4.7705312559774224
5,1,3.70544123059467
5,2,3.6785893249853663
5,3,3.4023190984133276
5,4,3.1473282962384235
5,5,2.875886724925563
5,6,2.6688440390531647
5,7,2.5572522909040956
5,8,2.1161160421274006
5,9,2.0240041655053114
5,10,1.9519975450480165
5,11,1.8483411710038684
5,12,1.7079873167985742
5,13,1.4567791323350563
5,14,1.3914449814298604
5,15,1.2681063152077585
5,16,1.2101625540918062
5,17,1.1111547760509781
