u,v,flip_support_4set,delta_from_nodes,removed_pairs,added_pairs,removed_phase_sum_mod8,added_phase_sum_mod8,delta_from_pair_phase_diff_mod8,ok,support_list,rem_idx,add_idx
16,55,2 3 7 8,0,"[(2, 7), (3, 8)]","[(2, 3), (7, 8)]",6,6,0,1,"[2, 3, 7, 8]",1,0
16,56,1 4 5 10,0,"[(1, 4), (5, 10)]","[(1, 10), (4, 5)]",0,0,0,1,"[1, 4, 5, 10]",0,2
17,55,0 1 4 9,2,"[(0, 1), (4, 9)]","[(0, 9), (1, 4)]",6,0,2,1,"[0, 1, 4, 9]",0,2
18,21,2 3 7 8,0,"[(2, 7), (3, 8)]","[(2, 3), (7, 8)]",6,6,0,1,"[2, 3, 7, 8]",1,0
18,32,6 9 10 11,2,"[(6, 9), (10, 11)]","[(6, 11), (9, 10)]",0,2,2,1,"[6, 9, 10, 11]",0,2
18,35,0 1 3 8,2,"[(0, 1), (3, 8)]","[(0, 8), (1, 3)]",6,0,2,1,"[0, 1, 3, 8]",0,2
18,51,4 5 6 9,0,"[(4, 5), (6, 9)]","[(4, 6), (5, 9)]",0,0,0,1,"[4, 5, 6, 9]",0,1
19,20,1 2 3 9,6,"[(1, 9), (2, 3)]","[(1, 2), (3, 9)]",0,6,6,1,"[1, 2, 3, 9]",2,0
19,22,1 4 5 9,0,"[(1, 9), (4, 5)]","[(1, 4), (5, 9)]",0,0,0,1,"[1, 4, 5, 9]",2,0
19,24,2 3 7 10,0,"[(2, 3), (7, 10)]","[(2, 7), (3, 10)]",6,6,0,1,"[2, 3, 7, 10]",0,1
19,41,0 1 8 9,0,"[(0, 8), (1, 9)]","[(0, 9), (1, 8)]",0,0,0,1,"[0, 1, 8, 9]",1,2
19,42,6 7 10 11,2,"[(6, 11), (7, 10)]","[(6, 7), (10, 11)]",0,2,2,1,"[6, 7, 10, 11]",2,0
20,27,3 6 9 11,6,"[(3, 9), (6, 11)]","[(3, 11), (6, 9)]",0,6,6,1,"[3, 6, 9, 11]",1,2
