component_id,center_quad,outer_quad,triad_a,triad_b,triad_a_idx,triad_b_idx,excluded_a,excluded_b,edge_matching_idx,matching_pairs
2,0 10 11 12,4 14 23 32,4 23 32,14 23 32,119,292,14,4,0,"((4, 14), (23, 32))"
3,0 16 17 18,5 13 23 33,5 13 23,5 13 33,130,131,33,23,0,"((5, 13), (23, 33))"
3,0 16 17 18,5 13 23 33,5 13 23,5 23 33,130,143,33,13,1,"((5, 23), (13, 33))"
3,0 16 17 18,5 13 23 33,5 13 23,13 23 33,130,280,33,5,2,"((5, 33), (13, 23))"
3,0 16 17 18,5 13 23 33,5 13 33,5 23 33,131,143,23,13,2,"((5, 33), (13, 23))"
3,0 16 17 18,5 13 23 33,5 13 33,13 23 33,131,280,23,5,1,"((5, 23), (13, 33))"
3,0 16 17 18,5 13 23 33,5 23 33,13 23 33,143,280,13,5,0,"((5, 13), (23, 33))"
4,0 19 20 21,6 13 24 32,6 13 24,6 13 32,151,152,32,24,0,"((6, 13), (24, 32))"
4,0 19 20 21,6 13 24 32,6 13 24,6 24 32,151,165,32,13,1,"((6, 24), (13, 32))"
4,0 19 20 21,6 13 24 32,6 13 24,13 24 32,151,281,32,6,2,"((6, 32), (13, 24))"
4,0 19 20 21,6 13 24 32,6 13 32,6 24 32,152,165,24,13,2,"((6, 32), (13, 24))"
4,0 19 20 21,6 13 24 32,6 13 32,13 24 32,152,281,24,6,1,"((6, 24), (13, 32))"
4,0 19 20 21,6 13 24 32,6 24 32,13 24 32,165,281,13,6,0,"((6, 13), (24, 32))"
5,0 25 26 27,5 15 22 32,5 15 22,5 15 32,134,135,32,22,0,"((5, 15), (22, 32))"
5,0 25 26 27,5 15 22 32,5 15 22,5 22 32,134,142,32,15,1,"((5, 22), (15, 32))"
5,0 25 26 27,5 15 22 32,5 15 22,15 22 32,134,300,32,5,2,"((5, 32), (15, 22))"
5,0 25 26 27,5 15 22 32,5 15 32,5 22 32,135,142,22,15,2,"((5, 32), (15, 22))"
5,0 25 26 27,5 15 22 32,5 15 32,15 22 32,135,300,22,5,1,"((5, 22), (15, 32))"
5,0 25 26 27,5 15 22 32,5 22 32,15 22 32,142,300,15,5,0,"((5, 15), (22, 32))"
6,0 28 29 30,6 14 22 33,6 14 22,6 14 33,153,154,33,22,0,"((6, 14), (22, 33))"
6,0 28 29 30,6 14 22 33,6 14 22,6 22 33,153,163,33,14,1,"((6, 22), (14, 33))"
6,0 28 29 30,6 14 22 33,6 14 22,14 22 33,153,291,33,6,2,"((6, 33), (14, 22))"
6,0 28 29 30,6 14 22 33,6 14 33,6 22 33,154,163,22,14,2,"((6, 33), (14, 22))"
6,0 28 29 30,6 14 22 33,6 14 33,14 22 33,154,291,22,6,1,"((6, 22), (14, 33))"
6,0 28 29 30,6 14 22 33,6 22 33,14 22 33,163,291,14,6,0,"((6, 14), (22, 33))"
7,0 34 35 36,5 14 24 31,5 14 24,5 14 31,132,133,31,24,0,"((5, 14), (24, 31))"
7,0 34 35 36,5 14 24 31,5 14 24,5 24 31,132,144,31,14,1,"((5, 24), (14, 31))"
7,0 34 35 36,5 14 24 31,5 14 24,14 24 31,132,293,31,5,2,"((5, 31), (14, 24))"
7,0 34 35 36,5 14 24 31,5 14 31,5 24 31,133,144,24,14,2,"((5, 31), (14, 24))"
7,0 34 35 36,5 14 24 31,5 14 31,14 24 31,133,293,24,5,1,"((5, 24), (14, 31))"
7,0 34 35 36,5 14 24 31,5 24 31,14 24 31,144,293,14,5,0,"((5, 14), (24, 31))"
8,0 37 38 39,6 15 23 31,6 15 23,6 15 31,155,156,31,23,0,"((6, 15), (23, 31))"
8,0 37 38 39,6 15 23 31,6 15 23,6 23 31,155,164,31,15,1,"((6, 23), (15, 31))"
8,0 37 38 39,6 15 23 31,6 15 23,15 23 31,155,301,31,6,2,"((6, 31), (15, 23))"
8,0 37 38 39,6 15 23 31,6 15 31,6 23 31,156,164,23,15,2,"((6, 31), (15, 23))"
8,0 37 38 39,6 15 23 31,6 15 31,15 23 31,156,301,23,6,1,"((6, 23), (15, 31))"
8,0 37 38 39,6 15 23 31,6 23 31,15 23 31,164,301,15,6,0,"((6, 15), (23, 31))"
9,1 5 8 11,4 16 25 34,4 16 25,4 16 34,106,107,34,25,0,"((4, 16), (25, 34))"
9,1 5 8 11,4 16 25 34,4 16 25,4 25 34,106,121,34,16,1,"((4, 25), (16, 34))"
9,1 5 8 11,4 16 25 34,4 16 25,16 25 34,106,309,34,4,2,"((4, 34), (16, 25))"
9,1 5 8 11,4 16 25 34,4 16 34,4 25 34,107,121,25,16,2,"((4, 34), (16, 25))"
9,1 5 8 11,4 16 25 34,4 16 34,16 25 34,107,309,25,4,1,"((4, 25), (16, 34))"
9,1 5 8 11,4 16 25 34,4 25 34,16 25 34,121,309,16,4,0,"((4, 16), (25, 34))"
10,1 6 9 12,4 19 28 37,4 19 28,4 19 37,112,113,37,28,0,"((4, 19), (28, 37))"
10,1 6 9 12,4 19 28 37,4 19 28,4 28 37,112,124,37,19,1,"((4, 28), (19, 37))"
10,1 6 9 12,4 19 28 37,4 19 28,19 28 37,112,330,37,4,2,"((4, 37), (19, 28))"
10,1 6 9 12,4 19 28 37,4 19 37,4 28 37,113,124,28,19,2,"((4, 37), (19, 28))"
10,1 6 9 12,4 19 28 37,4 19 37,19 28 37,113,330,28,4,1,"((4, 28), (19, 37))"
10,1 6 9 12,4 19 28 37,4 28 37,19 28 37,124,330,19,4,0,"((4, 19), (28, 37))"
11,1 14 17 20,10 13 28 34,10 13 28,10 13 34,225,226,34,28,0,"((10, 13), (28, 34))"
11,1 14 17 20,10 13 28 34,10 13 28,10 28 34,225,241,34,13,1,"((10, 28), (13, 34))"
11,1 14 17 20,10 13 28 34,10 13 28,13 28 34,225,285,34,10,2,"((10, 34), (13, 28))"
11,1 14 17 20,10 13 28 34,10 13 34,10 28 34,226,241,28,13,2,"((10, 34), (13, 28))"
11,1 14 17 20,10 13 28 34,10 13 34,13 28 34,226,285,28,10,1,"((10, 28), (13, 34))"
11,1 14 17 20,10 13 28 34,10 28 34,13 28 34,241,285,13,10,0,"((10, 13), (28, 34))"
12,1 15 18 21,7 13 25 37,7 13 25,7 13 37,170,171,37,25,0,"((7, 13), (25, 37))"
12,1 15 18 21,7 13 25 37,7 13 25,7 25 37,170,184,37,13,1,"((7, 25), (13, 37))"
12,1 15 18 21,7 13 25 37,7 13 25,13 25 37,170,282,37,7,2,"((7, 37), (13, 25))"
12,1 15 18 21,7 13 25 37,7 13 37,7 25 37,171,184,25,13,2,"((7, 37), (13, 25))"
12,1 15 18 21,7 13 25 37,7 13 37,13 25 37,171,282,25,7,1,"((7, 25), (13, 37))"
12,1 15 18 21,7 13 25 37,7 25 37,13 25 37,184,282,13,7,0,"((7, 13), (25, 37))"
13,1 23 26 29,10 16 22 37,10 16 22,10 16 37,229,230,37,22,0,"((10, 16), (22, 37))"
13,1 23 26 29,10 16 22 37,10 16 22,10 22 37,229,237,37,16,1,"((10, 22), (16, 37))"
13,1 23 26 29,10 16 22 37,10 16 22,16 22 37,229,307,37,10,2,"((10, 37), (16, 22))"
13,1 23 26 29,10 16 22 37,10 16 37,10 22 37,230,237,22,16,2,"((10, 37), (16, 22))"
13,1 23 26 29,10 16 22 37,10 16 37,16 22 37,230,307,22,10,1,"((10, 22), (16, 37))"
13,1 23 26 29,10 16 22 37,10 22 37,16 22 37,237,307,16,10,0,"((10, 16), (22, 37))"
14,1 24 27 30,7 19 22 34,7 19 22,7 19 34,178,179,34,22,0,"((7, 19), (22, 34))"
14,1 24 27 30,7 19 22 34,7 19 22,7 22 34,178,182,34,19,1,"((7, 22), (19, 34))"
14,1 24 27 30,7 19 22 34,7 19 22,19 22 34,178,326,34,7,2,"((7, 34), (19, 22))"
14,1 24 27 30,7 19 22 34,7 19 34,7 22 34,179,182,22,19,2,"((7, 34), (19, 22))"
14,1 24 27 30,7 19 22 34,7 19 34,19 22 34,179,326,22,7,1,"((7, 22), (19, 34))"
14,1 24 27 30,7 19 22 34,7 22 34,19 22 34,182,326,19,7,0,"((7, 19), (22, 34))"
15,1 32 35 38,10 19 25 31,10 19 25,10 19 31,233,234,31,25,0,"((10, 19), (25, 31))"
15,1 32 35 38,10 19 25 31,10 19 25,10 25 31,233,239,31,19,1,"((10, 25), (19, 31))"
15,1 32 35 38,10 19 25 31,10 19 25,19 25 31,233,328,31,10,2,"((10, 31), (19, 25))"
15,1 32 35 38,10 19 25 31,10 19 31,10 25 31,234,239,25,19,2,"((10, 31), (19, 25))"
15,1 32 35 38,10 19 25 31,10 19 31,19 25 31,234,328,25,10,1,"((10, 25), (19, 31))"
15,1 32 35 38,10 19 25 31,10 25 31,19 25 31,239,328,19,10,0,"((10, 19), (25, 31))"
16,1 33 36 39,7 16 28 31,7 16 28,7 16 31,174,175,31,28,0,"((7, 16), (28, 31))"
16,1 33 36 39,7 16 28 31,7 16 28,7 28 31,174,186,31,16,1,"((7, 28), (16, 31))"
16,1 33 36 39,7 16 28 31,7 16 28,16 28 31,174,311,31,7,2,"((7, 31), (16, 28))"
16,1 33 36 39,7 16 28 31,7 16 31,7 28 31,175,186,28,16,2,"((7, 31), (16, 28))"
16,1 33 36 39,7 16 28 31,7 16 31,16 28 31,175,311,28,7,1,"((7, 28), (16, 31))"
16,1 33 36 39,7 16 28 31,7 28 31,16 28 31,186,311,16,7,0,"((7, 16), (28, 31))"
17,2 5 9 10,4 17 26 35,4 17 26,4 17 35,108,109,35,26,0,"((4, 17), (26, 35))"
17,2 5 9 10,4 17 26 35,4 17 26,4 26 35,108,122,35,17,1,"((4, 26), (17, 35))"
17,2 5 9 10,4 17 26 35,4 17 26,17 26 35,108,316,35,4,2,"((4, 35), (17, 26))"
17,2 5 9 10,4 17 26 35,4 17 35,4 26 35,109,122,26,17,2,"((4, 35), (17, 26))"
17,2 5 9 10,4 17 26 35,4 17 35,17 26 35,109,316,26,4,1,"((4, 26), (17, 35))"
17,2 5 9 10,4 17 26 35,4 26 35,17 26 35,122,316,17,4,0,"((4, 17), (26, 35))"
18,2 6 7 11,4 21 30 39,4 21 30,4 21 39,116,117,39,30,0,"((4, 21), (30, 39))"
18,2 6 7 11,4 21 30 39,4 21 30,4 30 39,116,126,39,21,1,"((4, 30), (21, 39))"
18,2 6 7 11,4 21 30 39,4 21 30,21 30 39,116,343,39,4,2,"((4, 39), (21, 30))"
18,2 6 7 11,4 21 30 39,4 21 39,4 30 39,117,126,30,21,2,"((4, 39), (21, 30))"
18,2 6 7 11,4 21 30 39,4 21 39,21 30 39,117,343,30,4,1,"((4, 30), (21, 39))"
18,2 6 7 11,4 21 30 39,4 30 39,21 30 39,126,343,21,4,0,"((4, 21), (30, 39))"
19,2 14 18 19,12 13 30 35,12 13 30,12 13 35,261,262,35,30,0,"((12, 13), (30, 35))"
19,2 14 18 19,12 13 30 35,12 13 30,12 30 35,261,278,35,13,1,"((12, 30), (13, 35))"
19,2 14 18 19,12 13 30 35,12 13 30,13 30 35,261,287,35,12,2,"((12, 35), (13, 30))"
19,2 14 18 19,12 13 30 35,12 13 35,12 30 35,262,278,30,13,2,"((12, 35), (13, 30))"
19,2 14 18 19,12 13 30 35,12 13 35,13 30 35,262,287,30,12,1,"((12, 30), (13, 35))"
19,2 14 18 19,12 13 30 35,12 30 35,13 30 35,278,287,13,12,0,"((12, 13), (30, 35))"
20,2 15 16 20,8 13 26 39,8 13 26,8 13 39,188,189,39,26,0,"((8, 13), (26, 39))"
20,2 15 16 20,8 13 26 39,8 13 26,8 26 39,188,202,39,13,1,"((8, 26), (13, 39))"
20,2 15 16 20,8 13 26 39,8 13 26,13 26 39,188,283,39,8,2,"((8, 39), (13, 26))"
20,2 15 16 20,8 13 26 39,8 13 39,8 26 39,189,202,26,13,2,"((8, 39), (13, 26))"
20,2 15 16 20,8 13 26 39,8 13 39,13 26 39,189,283,26,8,1,"((8, 26), (13, 39))"
20,2 15 16 20,8 13 26 39,8 26 39,13 26 39,202,283,13,8,0,"((8, 13), (26, 39))"
21,2 23 27 28,12 17 22 39,12 17 22,12 17 39,267,268,39,22,0,"((12, 17), (22, 39))"
21,2 23 27 28,12 17 22 39,12 17 22,12 22 39,267,273,39,17,1,"((12, 22), (17, 39))"
21,2 23 27 28,12 17 22 39,12 17 22,17 22 39,267,313,39,12,2,"((12, 39), (17, 22))"
21,2 23 27 28,12 17 22 39,12 17 39,12 22 39,268,273,22,17,2,"((12, 39), (17, 22))"
21,2 23 27 28,12 17 22 39,12 17 39,17 22 39,268,313,22,12,1,"((12, 22), (17, 39))"
21,2 23 27 28,12 17 22 39,12 22 39,17 22 39,273,313,17,12,0,"((12, 17), (22, 39))"
22,2 24 25 29,8 21 22 35,8 21 22,8 21 35,198,199,35,22,0,"((8, 21), (22, 35))"
22,2 24 25 29,8 21 22 35,8 21 22,8 22 35,198,200,35,21,1,"((8, 22), (21, 35))"
22,2 24 25 29,8 21 22 35,8 21 22,21 22 35,198,338,35,8,2,"((8, 35), (21, 22))"
22,2 24 25 29,8 21 22 35,8 21 35,8 22 35,199,200,22,21,2,"((8, 35), (21, 22))"
22,2 24 25 29,8 21 22 35,8 21 35,21 22 35,199,338,22,8,1,"((8, 22), (21, 35))"
22,2 24 25 29,8 21 22 35,8 22 35,21 22 35,200,338,21,8,0,"((8, 21), (22, 35))"
23,2 32 36 37,12 21 26 31,12 21 26,12 21 31,271,272,31,26,0,"((12, 21), (26, 31))"
23,2 32 36 37,12 21 26 31,12 21 26,12 26 31,271,276,31,21,1,"((12, 26), (21, 31))"
23,2 32 36 37,12 21 26 31,12 21 26,21 26 31,271,340,31,12,2,"((12, 31), (21, 26))"
23,2 32 36 37,12 21 26 31,12 21 31,12 26 31,272,276,26,21,2,"((12, 31), (21, 26))"
23,2 32 36 37,12 21 26 31,12 21 31,21 26 31,272,340,26,12,1,"((12, 26), (21, 31))"
23,2 32 36 37,12 21 26 31,12 26 31,21 26 31,276,340,21,12,0,"((12, 21), (26, 31))"
24,2 33 34 38,8 17 30 31,8 17 30,8 17 31,192,193,31,30,0,"((8, 17), (30, 31))"
24,2 33 34 38,8 17 30 31,8 17 30,8 30 31,192,205,31,17,1,"((8, 30), (17, 31))"
24,2 33 34 38,8 17 30 31,8 17 30,17 30 31,192,318,31,8,2,"((8, 31), (17, 30))"
24,2 33 34 38,8 17 30 31,8 17 31,8 30 31,193,205,30,17,2,"((8, 31), (17, 30))"
24,2 33 34 38,8 17 30 31,8 17 31,17 30 31,193,318,30,8,1,"((8, 30), (17, 31))"
24,2 33 34 38,8 17 30 31,8 30 31,17 30 31,205,318,17,8,0,"((8, 17), (30, 31))"
25,3 5 7 12,4 18 27 36,4 18 27,4 18 36,110,111,36,27,0,"((4, 18), (27, 36))"
25,3 5 7 12,4 18 27 36,4 18 27,4 27 36,110,123,36,18,1,"((4, 27), (18, 36))"
25,3 5 7 12,4 18 27 36,4 18 27,18 27 36,110,322,36,4,2,"((4, 36), (18, 27))"
25,3 5 7 12,4 18 27 36,4 18 36,4 27 36,111,123,27,18,2,"((4, 36), (18, 27))"
25,3 5 7 12,4 18 27 36,4 18 36,18 27 36,111,322,27,4,1,"((4, 27), (18, 36))"
25,3 5 7 12,4 18 27 36,4 27 36,18 27 36,123,322,18,4,0,"((4, 18), (27, 36))"
26,3 6 8 10,4 20 29 38,4 20 29,4 20 38,114,115,38,29,0,"((4, 20), (29, 38))"
26,3 6 8 10,4 20 29 38,4 20 29,4 29 38,114,125,38,20,1,"((4, 29), (20, 38))"
26,3 6 8 10,4 20 29 38,4 20 29,20 29 38,114,336,38,4,2,"((4, 38), (20, 29))"
26,3 6 8 10,4 20 29 38,4 20 38,4 29 38,115,125,29,20,2,"((4, 38), (20, 29))"
26,3 6 8 10,4 20 29 38,4 20 38,20 29 38,115,336,29,4,1,"((4, 29), (20, 38))"
26,3 6 8 10,4 20 29 38,4 29 38,20 29 38,125,336,20,4,0,"((4, 20), (29, 38))"
27,3 14 16 21,11 13 29 36,11 13 29,11 13 36,243,244,36,29,0,"((11, 13), (29, 36))"
27,3 14 16 21,11 13 29 36,11 13 29,11 29 36,243,260,36,13,1,"((11, 29), (13, 36))"
27,3 14 16 21,11 13 29 36,11 13 29,13 29 36,243,286,36,11,2,"((11, 36), (13, 29))"
27,3 14 16 21,11 13 29 36,11 13 36,11 29 36,244,260,29,13,2,"((11, 36), (13, 29))"
27,3 14 16 21,11 13 29 36,11 13 36,13 29 36,244,286,29,11,1,"((11, 29), (13, 36))"
27,3 14 16 21,11 13 29 36,11 29 36,13 29 36,260,286,13,11,0,"((11, 13), (29, 36))"
28,3 15 17 19,9 13 27 38,9 13 27,9 13 38,206,207,38,27,0,"((9, 13), (27, 38))"
28,3 15 17 19,9 13 27 38,9 13 27,9 27 38,206,221,38,13,1,"((9, 27), (13, 38))"
28,3 15 17 19,9 13 27 38,9 13 27,13 27 38,206,284,38,9,2,"((9, 38), (13, 27))"
28,3 15 17 19,9 13 27 38,9 13 38,9 27 38,207,221,27,13,2,"((9, 38), (13, 27))"
28,3 15 17 19,9 13 27 38,9 13 38,13 27 38,207,284,27,9,1,"((9, 27), (13, 38))"
28,3 15 17 19,9 13 27 38,9 27 38,13 27 38,221,284,13,9,0,"((9, 13), (27, 38))"
29,3 23 25 30,11 18 22 38,11 18 22,11 18 38,249,250,38,22,0,"((11, 18), (22, 38))"
29,3 23 25 30,11 18 22 38,11 18 22,11 22 38,249,255,38,18,1,"((11, 22), (18, 38))"
29,3 23 25 30,11 18 22 38,11 18 22,18 22 38,249,319,38,11,2,"((11, 38), (18, 22))"
29,3 23 25 30,11 18 22 38,11 18 38,11 22 38,250,255,22,18,2,"((11, 38), (18, 22))"
29,3 23 25 30,11 18 22 38,11 18 38,18 22 38,250,319,22,11,1,"((11, 22), (18, 38))"
29,3 23 25 30,11 18 22 38,11 22 38,18 22 38,255,319,18,11,0,"((11, 18), (22, 38))"
30,3 24 26 28,9 20 22 36,9 20 22,9 20 36,214,215,36,22,0,"((9, 20), (22, 36))"
30,3 24 26 28,9 20 22 36,9 20 22,9 22 36,214,218,36,20,1,"((9, 22), (20, 36))"
30,3 24 26 28,9 20 22 36,9 20 22,20 22 36,214,332,36,9,2,"((9, 36), (20, 22))"
30,3 24 26 28,9 20 22 36,9 20 36,9 22 36,215,218,22,20,2,"((9, 36), (20, 22))"
30,3 24 26 28,9 20 22 36,9 20 36,20 22 36,215,332,22,9,1,"((9, 22), (20, 36))"
30,3 24 26 28,9 20 22 36,9 22 36,20 22 36,218,332,20,9,0,"((9, 20), (22, 36))"
31,3 32 34 39,11 20 27 31,11 20 27,11 20 31,253,254,31,27,0,"((11, 20), (27, 31))"
31,3 32 34 39,11 20 27 31,11 20 27,11 27 31,253,258,31,20,1,"((11, 27), (20, 31))"
31,3 32 34 39,11 20 27 31,11 20 27,20 27 31,253,335,31,11,2,"((11, 31), (20, 27))"
31,3 32 34 39,11 20 27 31,11 20 31,11 27 31,254,258,27,20,2,"((11, 31), (20, 27))"
31,3 32 34 39,11 20 27 31,11 20 31,20 27 31,254,335,27,11,1,"((11, 27), (20, 31))"
31,3 32 34 39,11 20 27 31,11 27 31,20 27 31,258,335,20,11,0,"((11, 20), (27, 31))"
32,3 33 35 37,9 18 29 31,9 18 29,9 18 31,212,213,31,29,0,"((9, 18), (29, 31))"
32,3 33 35 37,9 18 29 31,9 18 29,9 29 31,212,222,31,18,1,"((9, 29), (18, 31))"
32,3 33 35 37,9 18 29 31,9 18 29,18 29 31,212,324,31,9,2,"((9, 31), (18, 29))"
32,3 33 35 37,9 18 29 31,9 18 31,9 29 31,213,222,29,18,2,"((9, 31), (18, 29))"
32,3 33 35 37,9 18 29 31,9 18 31,18 29 31,213,324,29,9,1,"((9, 29), (18, 31))"
32,3 33 35 37,9 18 29 31,9 29 31,18 29 31,222,324,18,9,0,"((9, 18), (29, 31))"
33,4 13 22 31,0 1 2 3,0 1 2,0 1 3,0,1,3,2,0,"((0, 1), (2, 3))"
33,4 13 22 31,0 1 2 3,0 1 2,0 2 3,0,2,3,1,1,"((0, 2), (1, 3))"
33,4 13 22 31,0 1 2 3,0 1 2,1 2 3,0,27,3,0,2,"((0, 3), (1, 2))"
33,4 13 22 31,0 1 2 3,0 1 3,0 2 3,1,2,2,1,2,"((0, 3), (1, 2))"
33,4 13 22 31,0 1 2 3,0 1 3,1 2 3,1,27,2,0,1,"((0, 2), (1, 3))"
33,4 13 22 31,0 1 2 3,0 2 3,1 2 3,2,27,1,0,0,"((0, 1), (2, 3))"
34,4 14 23 32,0 10 11 12,0 10 11,0 10 12,6,7,12,11,0,"((0, 10), (11, 12))"
34,4 14 23 32,0 10 11 12,0 10 11,0 11 12,6,8,12,10,1,"((0, 11), (10, 12))"
34,4 14 23 32,0 10 11 12,0 10 11,10 11 12,6,224,12,0,2,"((0, 12), (10, 11))"
34,4 14 23 32,0 10 11 12,0 10 12,0 11 12,7,8,11,10,2,"((0, 12), (10, 11))"
34,4 14 23 32,0 10 11 12,0 10 12,10 11 12,7,224,11,0,1,"((0, 11), (10, 12))"
34,4 14 23 32,0 10 11 12,0 11 12,10 11 12,8,224,10,0,0,"((0, 10), (11, 12))"
35,4 15 24 33,0 7 8 9,0 7 8,0 7 9,3,4,9,8,0,"((0, 7), (8, 9))"
35,4 15 24 33,0 7 8 9,0 7 8,0 8 9,3,5,9,7,1,"((0, 8), (7, 9))"
35,4 15 24 33,0 7 8 9,0 7 8,7 8 9,3,169,9,0,2,"((0, 9), (7, 8))"
35,4 15 24 33,0 7 8 9,0 7 9,0 8 9,4,5,8,7,2,"((0, 9), (7, 8))"
35,4 15 24 33,0 7 8 9,0 7 9,7 8 9,4,169,8,0,1,"((0, 8), (7, 9))"
35,4 15 24 33,0 7 8 9,0 8 9,7 8 9,5,169,7,0,0,"((0, 7), (8, 9))"
36,4 16 25 34,1 5 8 11,1 5 8,1 5 11,28,29,11,8,0,"((1, 5), (8, 11))"
36,4 16 25 34,1 5 8 11,1 5 8,1 8 11,28,32,11,5,1,"((1, 8), (5, 11))"
36,4 16 25 34,1 5 8 11,1 5 8,5 8 11,28,128,11,1,2,"((1, 11), (5, 8))"
36,4 16 25 34,1 5 8 11,1 5 11,1 8 11,29,32,8,5,2,"((1, 11), (5, 8))"
36,4 16 25 34,1 5 8 11,1 5 11,5 8 11,29,128,8,1,1,"((1, 8), (5, 11))"
36,4 16 25 34,1 5 8 11,1 8 11,5 8 11,32,128,5,1,0,"((1, 5), (8, 11))"
37,4 17 26 35,2 5 9 10,2 5 9,2 5 10,52,53,10,9,0,"((2, 5), (9, 10))"
37,4 17 26 35,2 5 9 10,2 5 9,2 9 10,52,57,10,5,1,"((2, 9), (5, 10))"
37,4 17 26 35,2 5 9 10,2 5 9,5 9 10,52,129,10,2,2,"((2, 10), (5, 9))"
37,4 17 26 35,2 5 9 10,2 5 10,2 9 10,53,57,9,5,2,"((2, 10), (5, 9))"
37,4 17 26 35,2 5 9 10,2 5 10,5 9 10,53,129,9,2,1,"((2, 9), (5, 10))"
37,4 17 26 35,2 5 9 10,2 9 10,5 9 10,57,129,5,2,0,"((2, 5), (9, 10))"
38,4 18 27 36,3 5 7 12,3 5 7,3 5 12,76,77,12,7,0,"((3, 5), (7, 12))"
38,4 18 27 36,3 5 7 12,3 5 7,3 7 12,76,80,12,5,1,"((3, 7), (5, 12))"
38,4 18 27 36,3 5 7 12,3 5 7,5 7 12,76,127,12,3,2,"((3, 12), (5, 7))"
38,4 18 27 36,3 5 7 12,3 5 12,3 7 12,77,80,7,5,2,"((3, 12), (5, 7))"
38,4 18 27 36,3 5 7 12,3 5 12,5 7 12,77,127,7,3,1,"((3, 7), (5, 12))"
38,4 18 27 36,3 5 7 12,3 7 12,5 7 12,80,127,5,3,0,"((3, 5), (7, 12))"
39,4 19 28 37,1 6 9 12,1 6 9,1 6 12,30,31,12,9,0,"((1, 6), (9, 12))"
39,4 19 28 37,1 6 9 12,1 6 9,1 9 12,30,33,12,6,1,"((1, 9), (6, 12))"
39,4 19 28 37,1 6 9 12,1 6 9,6 9 12,30,150,12,1,2,"((1, 12), (6, 9))"
39,4 19 28 37,1 6 9 12,1 6 12,1 9 12,31,33,9,6,2,"((1, 12), (6, 9))"
39,4 19 28 37,1 6 9 12,1 6 12,6 9 12,31,150,9,1,1,"((1, 9), (6, 12))"
39,4 19 28 37,1 6 9 12,1 9 12,6 9 12,33,150,6,1,0,"((1, 6), (9, 12))"
40,4 20 29 38,3 6 8 10,3 6 8,3 6 10,78,79,10,8,0,"((3, 6), (8, 10))"
40,4 20 29 38,3 6 8 10,3 6 8,3 8 10,78,81,10,6,1,"((3, 8), (6, 10))"
40,4 20 29 38,3 6 8 10,3 6 8,6 8 10,78,149,10,3,2,"((3, 10), (6, 8))"
40,4 20 29 38,3 6 8 10,3 6 10,3 8 10,79,81,8,6,2,"((3, 10), (6, 8))"
40,4 20 29 38,3 6 8 10,3 6 10,6 8 10,79,149,8,3,1,"((3, 8), (6, 10))"
40,4 20 29 38,3 6 8 10,3 8 10,6 8 10,81,149,6,3,0,"((3, 6), (8, 10))"
41,4 21 30 39,2 6 7 11,2 6 7,2 6 11,54,55,11,7,0,"((2, 6), (7, 11))"
41,4 21 30 39,2 6 7 11,2 6 7,2 7 11,54,56,11,6,1,"((2, 7), (6, 11))"
41,4 21 30 39,2 6 7 11,2 6 7,6 7 11,54,148,11,2,2,"((2, 11), (6, 7))"
41,4 21 30 39,2 6 7 11,2 6 11,2 7 11,55,56,7,6,2,"((2, 11), (6, 7))"
41,4 21 30 39,2 6 7 11,2 6 11,6 7 11,55,148,7,2,1,"((2, 7), (6, 11))"
41,4 21 30 39,2 6 7 11,2 7 11,6 7 11,56,148,6,2,0,"((2, 6), (7, 11))"
