component_id,center_quad,outer_quad,triad,triad_index,excluded_point
49,6 14 22 33,0 28 29 30,0 28 29,18,30
49,6 14 22 33,0 28 29 30,0 28 30,19,29
49,6 14 22 33,0 28 29 30,0 29 30,20,28
49,6 14 22 33,0 28 29 30,28 29 30,351,0
50,6 15 23 31,0 37 38 39,0 37 38,24,39
50,6 15 23 31,0 37 38 39,0 37 39,25,38
50,6 15 23 31,0 37 38 39,0 38 39,26,37
50,6 15 23 31,0 37 38 39,37 38 39,359,0
51,6 16 27 35,5 19 29 39,5 19 29,136,39
51,6 16 27 35,5 19 29 39,5 19 39,137,29
51,6 16 27 35,5 19 29 39,5 29 39,146,19
51,6 16 27 35,5 19 29 39,19 29 39,331,5
52,6 17 25 36,5 21 28 38,5 21 28,140,38
52,6 17 25 36,5 21 28 38,5 21 38,141,28
52,6 17 25 36,5 21 28 38,5 28 38,145,21
52,6 17 25 36,5 21 28 38,21 28 38,342,5
53,6 18 26 34,5 20 30 37,5 20 30,138,37
53,6 18 26 34,5 20 30 37,5 20 37,139,30
53,6 18 26 34,5 20 30 37,5 30 37,147,20
53,6 18 26 34,5 20 30 37,20 30 37,337,5
54,7 13 25 37,1 15 18 21,1 15 18,36,21
54,7 13 25 37,1 15 18 21,1 15 21,37,18
54,7 13 25 37,1 15 18 21,1 18 21,39,15
54,7 13 25 37,1 15 18 21,15 18 21,299,1
55,7 14 26 38,10 15 30 36,10 15 30,227,36
55,7 14 26 38,10 15 30 36,10 15 36,228,30
55,7 14 26 38,10 15 30 36,10 30 36,242,15
55,7 14 26 38,10 15 30 36,15 30 36,305,10
56,7 16 28 31,1 33 36 39,1 33 36,48,39
56,7 16 28 31,1 33 36 39,1 33 39,49,36
56,7 16 28 31,1 33 36 39,1 36 39,51,33
56,7 16 28 31,1 33 36 39,33 36 39,357,1
57,7 17 29 32,10 21 27 33,10 21 27,235,33
57,7 17 29 32,10 21 27 33,10 21 33,236,27
57,7 17 29 32,10 21 27 33,10 27 33,240,21
57,7 17 29 32,10 21 27 33,21 27 33,341,10
58,7 19 22 34,1 24 27 30,1 24 27,42,30
58,7 19 22 34,1 24 27 30,1 24 30,43,27
58,7 19 22 34,1 24 27 30,1 27 30,45,24
