m,node,top_eigval,top_eigvec,sigma_Z2,sum_phases_mod8,dist_from_base,degree_flip_graph
1,26,4.770531255977426,-0.0562433130130575,1,0,0,5
1,27,4.770531255977426,0.11126512945190148,1,4,1,5
1,28,4.770531255977426,-0.035402627494809116,-1,2,3,3
1,29,4.770531255977426,0.08613379706065645,-1,6,4,4
1,30,4.770531255977426,-0.014589415991168721,1,0,5,5
1,31,4.770531255977426,-0.010592528481056305,1,0,3,3
1,32,4.770531255977426,-0.024865248258084893,1,0,3,5
1,33,4.770531255977426,-0.015762828921087116,1,0,2,4
1,34,4.770531255977426,-0.028043089137296646,1,0,4,6
1,35,4.770531255977426,-0.031474024572564374,1,0,1,5
1,36,4.770531255977426,0.022419786458741396,1,4,5,3
1,37,4.770531255977426,0.01593271573551933,-1,6,4,3
1,38,4.770531255977426,-0.029984112196110694,1,0,3,6
1,39,4.770531255977426,0.05834301517893543,1,4,5,3
1,40,4.770531255977426,0.13012451391322213,-1,6,3,5
1,41,4.770531255977426,-0.013302413143149302,1,0,4,5
1,42,4.770531255977426,-0.07266326846517364,-1,2,2,4
1,43,4.770531255977426,0.015699186323170532,-1,6,4,3
1,44,4.770531255977426,-0.0250255665294129,1,0,1,5
1,45,4.770531255977426,-0.04774342658992835,1,0,2,4
1,46,4.770531255977426,0.042406404783120376,1,4,5,3
1,47,4.770531255977426,-0.01853565066851485,1,0,4,5
1,48,4.770531255977426,-0.027522343033606154,1,0,2,4
1,49,4.770531255977426,-0.009052531673618547,1,0,2,3
1,50,4.770531255977426,0.1058767800678597,-1,6,5,5
1,51,4.770531255977426,0.028923174264192844,-1,6,3,3
1,52,4.770531255977426,0.13758708672751513,-1,6,3,5
1,53,4.770531255977426,0.1168967115706,-1,6,4,5
1,54,4.770531255977426,-0.029232856365091625,1,0,3,5
1,55,4.770531255977426,-0.009316570524096393,1,0,6,3
1,56,4.770531255977426,-0.025230500902010847,1,0,4,6
1,57,4.770531255977426,0.02376475297880985,-1,6,3,3
1,58,4.770531255977426,-0.0560257293946457,-1,2,3,3
2,0,4.704072668327494,-0.09633517601740879,-1,2,1,5
2,1,4.704072668327494,-0.020935317880866444,-1,6,4,5
2,2,4.704072668327494,0.08431276680644495,1,0,4,4
2,3,4.704072668327494,-0.007385782497906668,-1,6,5,3
2,4,4.704072668327494,-0.017328982259325554,-1,6,4,4
2,5,4.704072668327494,-0.020985875032362628,-1,6,4,4
2,6,4.704072668327494,-0.19455203501720914,-1,2,2,6
2,7,4.704072668327494,-0.008826117632581789,-1,6,5,3
2,8,4.704072668327494,-0.06351913760117185,1,4,4,3
2,9,4.704072668327494,0.10607263886710167,1,0,4,4
2,10,4.704072668327494,0.01807458492862051,1,0,1,3
2,11,4.704072668327494,-0.01496663804552288,-1,6,5,4
2,12,4.704072668327494,-0.02687319418950692,1,4,2,3
2,13,4.704072668327494,-0.043433623542935604,-1,6,2,6
2,14,4.704072668327494,0.020702057965899967,1,0,4,3
2,15,4.704072668327494,-0.02568468513519106,-1,6,3,5
2,16,4.704072668327494,0.16541521997865288,1,0,5,5
2,17,4.704072668327494,-0.01001623265556502,-1,6,5,3
2,18,4.704072668327494,-0.008331393797680001,-1,6,2,4
2,19,4.704072668327494,0.15036164950077022,1,0,3,5
2,20,4.704072668327494,-0.05791428988999383,-1,6,2,6
2,21,4.704072668327494,-0.005089206095955752,-1,6,3,3
2,22,4.704072668327494,0.08389776596181009,1,0,4,4
2,23,4.704072668327494,-0.030399396797906375,-1,6,3,5
2,24,4.704072668327494,0.24297460023604506,1,0,3,6
2,25,4.704072668327494,0.16672718127407846,1,0,4,5
2,26,4.704072668327494,0.04768063280502789,1,0,0,5
2,27,4.704072668327494,-0.049100089192548664,1,4,1,5
2,28,4.704072668327494,-0.030251826871659348,-1,2,3,3
2,29,4.704072668327494,-0.020621022806843962,-1,6,4,4
2,30,4.704072668327494,0.13465077483849947,1,0,5,5
2,31,4.704072668327494,0.038263965932360484,1,0,3,3
2,32,4.704072668327494,0.15821884824735621,1,0,3,5
2,33,4.704072668327494,0.06421672233856728,1,0,2,4
2,34,4.704072668327494,0.22541090539818107,1,0,4,6
2,35,4.704072668327494,0.12882229045973204,1,0,1,5
2,36,4.704072668327494,-0.020229411521528948,1,4,5,3
2,37,4.704072668327494,-0.0025158622864232686,-1,6,4,3
2,38,4.704072668327494,0.2721692891336937,1,0,3,6
2,39,4.704072668327494,-0.05378764596227971,1,4,5,3
2,40,4.704072668327494,-0.033481000770807366,-1,6,3,5
2,41,4.704072668327494,0.14101348948706174,1,0,4,5
2,42,4.704072668327494,-0.05748358756332956,-1,2,2,4
2,43,4.704072668327494,0.0009424018976306928,-1,6,4,3
2,44,4.704072668327494,0.07832878738218226,1,0,1,5
2,45,4.704072668327494,0.020730565112032463,1,0,2,4
2,46,4.704072668327494,-0.038477377808454935,1,4,5,3
2,47,4.704072668327494,0.17146100447831747,1,0,4,5
2,48,4.704072668327494,0.05645304662345625,1,0,2,4
2,49,4.704072668327494,0.060626839854403855,1,0,2,3
2,50,4.704072668327494,-0.02162131771908509,-1,6,5,5
2,51,4.704072668327494,-0.003241868555559965,-1,6,3,3
2,52,4.704072668327494,-0.03209259021295314,-1,6,3,5
2,53,4.704072668327494,-0.0275450091934535,-1,6,4,5
2,54,4.704072668327494,0.159005881179996,1,0,3,5
2,55,4.704072668327494,0.0776831297633765,1,0,6,3
2,56,4.704072668327494,0.22349110805950273,1,0,4,6
2,57,4.704072668327494,0.009142620283804692,-1,6,3,3
2,58,4.704072668327494,-0.04695995719523054,-1,2,3,3
3,0,4.669576639044021,-0.04151941344775703,-1,2,1,5
3,1,4.669576639044021,-0.1641393985992039,-1,6,4,5
3,2,4.669576639044021,0.09469373863581285,1,0,4,4
3,3,4.669576639044021,-0.04546702563774474,-1,6,5,3
3,4,4.669576639044021,-0.10195745716326898,-1,6,4,4
3,5,4.669576639044021,-0.11704810254164702,-1,6,4,4
3,6,4.669576639044021,-0.2324199895766262,-1,2,2,6
