m,base_eig_idx,base_eigval,sym_sector_slope,anti_sector_slope
3,32,-0.321564661475877,3.0,-1.0
3,33,-0.38691775694128017,3.0,-1.0
3,34,-0.5751762878893659,3.0,-1.0
3,35,-0.5804719023220223,3.0,-1.0
3,36,-0.643920093048373,3.0,-1.0
3,37,-0.7571389477260212,3.0,-1.0
3,38,-0.8357191126935594,3.0,-1.0
3,39,-0.8742846816593427,3.0,-1.0
3,40,-0.9813118729385053,3.0,-1.0
3,41,-1.0876370148943124,3.0,-1.0
3,42,-1.259791200803138,3.0,-1.0
3,43,-1.2700980891017941,3.0,-1.0
3,44,-1.4058630201559599,3.0,-1.0
3,45,-1.5290400362813883,3.0,-1.0
3,46,-1.8380422521835291,3.0,-1.0
3,47,-1.9615094797581938,3.0,-1.0
3,48,-2.079660397239122,3.0,-1.0
3,49,-2.189914673040608,3.0,-1.0
3,50,-2.2436967858634524,3.0,-1.0
3,51,-2.3074369481561354,3.0,-1.0
3,52,-2.629674006763314,3.0,-1.0
3,53,-2.8444977216965652,3.0,-1.0
3,54,-3.2180718790783245,3.0,-1.0
3,55,-3.2884899297163144,3.0,-1.0
3,56,-3.6891857164306305,3.0,-1.0
3,57,-3.822207825049789,3.0,-1.0
3,58,-4.514932249374896,3.0,-1.0
4,0,4.704072668327499,3.0,-1.0
4,1,3.7015892187557564,3.0,-1.0
4,2,3.6651490330616014,3.0,-1.0
4,3,3.355550267247677,3.0,-1.0
4,4,3.136473031839231,3.0,-1.0
4,5,2.890086080176547,3.0,-1.0
4,6,2.6890945974154428,3.0,-1.0
4,7,2.5462636278187136,3.0,-1.0
4,8,2.308204332973884,3.0,-1.0
4,9,2.03999312308892,3.0,-1.0
4,10,1.9492859878394613,3.0,-1.0
4,11,1.8195924655650424,3.0,-1.0
4,12,1.6640467916365833,3.0,-1.0
4,13,1.5364347905146065,3.0,-1.0
4,14,1.4859106519662086,3.0,-1.0
4,15,1.284713683931284,3.0,-1.0
4,16,1.178351991095198,3.0,-1.0
4,17,1.119607292428223,3.0,-1.0
4,18,1.0291913383838343,3.0,-1.0
4,19,0.9558483311594411,3.0,-1.0
4,20,0.8810889017626257,3.0,-1.0
4,21,0.8398135958824198,3.0,-1.0
4,22,0.7531538764020773,3.0,-1.0
4,23,0.5834018557724562,3.0,-1.0
4,24,0.4812666422466678,3.0,-1.0
4,25,0.3490769931980955,3.0,-1.0
4,26,0.23628310631322452,3.0,-1.0
4,27,0.10397965549932507,3.0,-1.0
4,28,0.02130636903816758,3.0,-1.0
4,29,-8.410204726375513e-18,3.0,-1.0
4,30,-0.08143818975911878,3.0,-1.0
4,31,-0.13450764541076388,3.0,-1.0
4,32,-0.31327635686219646,3.0,-1.0
4,33,-0.4375364331018045,3.0,-1.0
4,34,-0.5518191924768396,3.0,-1.0
4,35,-0.5952055224672402,3.0,-1.0
4,36,-0.6431909173937003,3.0,-1.0
4,37,-0.7485420543883807,3.0,-1.0
4,38,-0.8357787300440271,3.0,-1.0
4,39,-0.8724188034012872,3.0,-1.0
4,40,-0.9814125983379145,3.0,-1.0
4,41,-1.0879973852139146,3.0,-1.0
4,42,-1.2550566678501907,3.0,-1.0
4,43,-1.2649781957106936,3.0,-1.0
4,44,-1.379179853663801,3.0,-1.0
4,45,-1.4856643359015416,3.0,-1.0
4,46,-1.8905678847444505,3.0,-1.0
4,47,-1.9660633078455125,3.0,-1.0
4,48,-2.073996387491046,3.0,-1.0
4,49,-2.1753099891307865,3.0,-1.0
4,50,-2.245469082011707,3.0,-1.0
4,51,-2.307502676688866,3.0,-1.0
4,52,-2.5649390999209634,3.0,-1.0
4,53,-2.7463063040630007,3.0,-1.0
4,54,-3.217141566650246,3.0,-1.0
4,55,-3.4098676126887613,3.0,-1.0
4,56,-3.690498504960997,3.0,-1.0
4,57,-3.8054450861095654,3.0,-1.0
4,58,-4.5477199170509035,3.0,-1.0
5,0,4.7705312559774224,3.0,-1.0
5,1,3.70544123059467,3.0,-1.0
5,2,3.6785893249853663,3.0,-1.0
5,3,3.4023190984133276,3.0,-1.0
5,4,3.1473282962384235,3.0,-1.0
5,5,2.875886724925563,3.0,-1.0
5,6,2.6688440390531647,3.0,-1.0
5,7,2.5572522909040956,3.0,-1.0
5,8,2.1161160421274006,3.0,-1.0
5,9,2.0240041655053114,3.0,-1.0
5,10,1.9519975450480165,3.0,-1.0
5,11,1.8483411710038684,3.0,-1.0
5,12,1.7079873167985742,3.0,-1.0
5,13,1.4567791323350563,3.0,-1.0
5,14,1.3914449814298604,3.0,-1.0
5,15,1.2681063152077585,3.0,-1.0
5,16,1.2101625540918062,3.0,-1.0
5,17,1.1111547760509781,3.0,-1.0
5,18,1.0324683948928635,3.0,-1.0
5,19,0.9718094306063838,3.0,-1.0
5,20,0.8894944365839396,3.0,-1.0
5,21,0.8519423618527051,3.0,-1.0
5,22,0.8216364057480275,3.0,-1.0
5,23,0.5642223503745436,3.0,-1.0
5,24,0.47625043973514053,3.0,-1.0
5,25,0.3453775999434665,3.0,-1.0
5,26,0.19059757007258296,3.0,-1.0
5,27,0.03915757928349661,3.0,-1.0
5,28,0.012090033046431302,3.0,-1.0
5,29,2.427012261393831e-16,3.0,-1.0
5,30,-0.03489493665064215,3.0,-1.0
5,31,-0.08092516068562691,3.0,-1.0
5,32,-0.2863217115387906,3.0,-1.0
5,33,-0.437082517279009,3.0,-1.0
5,34,-0.5591855929819585,3.0,-1.0
5,35,-0.6279501245717377,3.0,-1.0
5,36,-0.6763000805821251,3.0,-1.0
5,37,-0.7435574251370279,3.0,-1.0
5,38,-0.8409814330858908,3.0,-1.0
5,39,-0.8632913783226803,3.0,-1.0
5,40,-0.9812090858076289,3.0,-1.0
5,41,-1.0576767022314406,3.0,-1.0
5,42,-1.2316524182469448,3.0,-1.0
5,43,-1.2675117632517203,3.0,-1.0
5,44,-1.3390945160616445,3.0,-1.0
5,45,-1.4227926484432365,3.0,-1.0
5,46,-1.9532098908891582,3.0,-1.0
5,47,-1.9915416815077585,3.0,-1.0
5,48,-2.05087813460888,3.0,-1.0
5,49,-2.143369252866431,3.0,-1.0
5,50,-2.2483528110062494,3.0,-1.0
5,51,-2.306524099906516,3.0,-1.0
5,52,-2.3851349110619267,3.0,-1.0
5,53,-2.7019949511299424,3.0,-1.0
5,54,-3.2298139080559234,3.0,-1.0
5,55,-3.563868801872043,3.0,-1.0
5,56,-3.6930388723945096,3.0,-1.0
5,57,-3.757930325072964,3.0,-1.0
5,58,-4.611247727579837,3.0,-1.0
