potential,mu,m,top1,top_defect_mass_in_topK,avg_defect_mass_in_topK,top_ipr_in_topK,avg_ipr_in_topK,top_O6_mass_in_topK,top_O12_mass_in_topK
V_O12_4,-1.35,0,4.707494707847306,0.2046896059653398,0.08662818848567362,0.059094042894514795,0.04285079058048901,0.15472993714994396,0.0717464618981864
V_O12_4,-1.35,1,4.690643281705865,0.20771994887084425,0.0893049726927761,0.055190542081723436,0.039529548486258816,0.16053125714404484,0.08121128381551572
V_O12_4,-1.35,2,4.656863399981364,0.2986056990935199,0.09271057328471065,0.05424189407652437,0.04069770138057672,0.278671595037065,0.06558245004977666
V_O12_4,-1.35,3,4.63996662052382,0.35015120409998407,0.09292799772654599,0.06290165773110681,0.045080569088966495,0.32453273346104106,0.09002767584834674
V_O12_4,-1.35,4,4.656863399981373,0.29860569909351875,0.0927105732847107,0.05424189407652442,0.040697701380576656,0.2786715950370637,0.06558245004977688
V_O12_4,-1.35,5,4.690643281705865,0.20771994887084425,0.0893049726927761,0.055190542081723436,0.039529548486258816,0.16053125714404484,0.08121128381551572
V_O12_4,-1.325,0,4.70859658391919,0.20607877471218952,0.0870295631531137,0.05918025753992114,0.042760541074889906,0.154290601808425,0.0733548606704397
V_O12_4,-1.325,1,4.691574124607401,0.20958069902641804,0.08973799620518845,0.05524428498455506,0.03948592393166014,0.16107985569178057,0.08268688137590352
V_O12_4,-1.325,2,4.657442482711199,0.29844035600128,0.09317179700749849,0.05407826038048235,0.040656549174026065,0.27800929527007046,0.06670628008971616
V_O12_4,-1.325,3,4.640365691250089,0.34866628855058635,0.0933831753106781,0.06297395730439428,0.04509499240197276,0.3227691096051667,0.09081671531567992
V_O12_4,-1.325,4,4.6574424827112,0.29844035600127955,0.09317179700749852,0.054078260380482406,0.04065654917402598,0.2780092952700699,0.06670628008971628
V_O12_4,-1.325,5,4.691574124607401,0.20958069902641804,0.08973799620518845,0.05524428498455506,0.03948592393166014,0.16107985569178057,0.08268688137590352
V_O12_4,-1.2999999999999998,0,4.709714608637242,0.20744299661403423,0.08743479905920139,0.05926643104377836,0.04269084960564488,0.153816095544344,0.07498354793378631
V_O12_4,-1.2999999999999998,1,4.692518323460104,0.21143516293869405,0.09017554639467108,0.055297198713813916,0.03944014083878889,0.16159301700904943,0.08409381913992532
V_O12_4,-1.2999999999999998,2,4.658028865074425,0.29823337068557204,0.09363882632721858,0.053905929812040905,0.040613708924214294,0.2772964950625243,0.06784003829565957
V_O12_4,-1.2999999999999998,3,4.64076881182888,0.3470994661378513,0.09384499289022091,0.06304350825910679,0.04510753464416997,0.3209365523345456,0.09157655320365701
V_O12_4,-1.2999999999999998,4,4.658028865074427,0.29823337068557204,0.0936388263272186,0.05390592981204071,0.04061370892421425,0.2772964950625243,0.06784003829565957
V_O12_4,-1.2999999999999998,5,4.692518323460104,0.21143516293869405,0.09017554639467108,0.055297198713813916,0.03944014083878889,0.16159301700904943,0.08409381913992532
V_O12_4,-1.275,0,4.710849121345625,0.20877847947868572,0.08784385397835577,0.059352559309308814,0.042644370860150486,0.15355767017887842,0.07663069324615741
V_O12_4,-1.275,1,4.693476160282621,0.21327971066165793,0.09061759287014377,0.055349252669544304,0.03939237305096464,0.1620678142356995,0.08542456664915657
V_O12_4,-1.275,2,4.658622691768673,0.2979833140250793,0.09411166594878428,0.05372467245514453,0.0405689166885695,0.2765320287517597,0.06898280856770282
V_O12_4,-1.275,3,4.641176046799515,0.34544922781042714,0.0943134989411727,0.06310990946742055,0.04511787280912736,0.31903469531730766,0.0923048715932046
V_O12_4,-1.275,4,4.658622691768677,0.2979833140250786,0.0941116659487841,0.053724672455144666,0.040568916688569455,0.2765320287517589,0.06898280856770281
V_O12_4,-1.275,5,4.693476160282621,0.21327971066165793,0.09061759287014377,0.055349252669544304,0.03939237305096464,0.1620678142356995,0.08542456664915657
V_O12_4,-1.25,0,4.712000470346751,0.21008124650029386,0.08825668321707819,0.05943863813216893,0.04262225333073699,0.15346349864535996,0.07829426800757928
