potential,m,branch,mu,eig_rank,eigval,ipr,mass_defect7,mass_O6,mass_O12,overlap_score,O6_bias_frac
V_O12_4,3,1,-1.15,2,3.669326197239703,0.04823295772435822,0.020349749701423777,0.00916894751223812,0.013887983969972572,0.9999981669799141,0.39766555748819615
V_O12_4,3,1,-1.125,2,3.6696758523957813,0.04820396323484308,0.020544395615806857,0.009177725622436258,0.014085191533839109,0.9999980886528643,0.3945216999393375
V_O12_4,3,1,-1.1,2,3.6700304957070777,0.04817444946396124,0.020742837935026303,0.009185023586792164,0.0142870663681294,0.9999980048947921,0.3913168194242949
V_O12_4,3,1,-1.075,2,3.6703902461540157,0.04814440308972432,0.020945196057343664,0.009190713509041661,0.014493794411284839,0.9999979151547584,0.3880474755722481
V_O12_4,3,1,-1.0499999999999998,2,3.670755227524203,0.04811381017852647,0.02115159681477806,0.009194656574002601,0.01470557451874223,0.9999978188084954,0.3847099443489911
V_O12_4,3,1,-1.025,2,3.671125568752579,0.04808265612648386,0.021362175351196125,0.009196701975854966,0.014922619871954299,0.9999977151464786,0.38130018884875877
V_O12_4,3,1,-1.0,2,3.6715014042992653,0.04805092559190279,0.021577076146054988,0.009196685724262296,0.015145159593182649,0.9999976033597177,0.3778138265176445
V_O12_4,3,1,-0.9749999999999999,2,3.6718828745707786,0.0480186024172238,0.021796454212522125,0.00919442931249877,0.015373440602541352,0.9999974825227601,0.3742460923116423
V_O12_4,3,1,-0.95,2,3.672270126391091,0.04798566953843332,0.02202047650511498,0.00918973822949743,0.015607729761283232,0.9999973515732922,0.37059179721669366
V_O12_4,3,1,-0.925,2,3.672663313530451,0.047952108879500195,0.022249323580017653,0.009182400295151142,0.015848316354591496,0.999997209287542,0.36684528147054507
V_O12_4,3,1,-0.8999999999999999,2,3.67306259730113,0.04791790122884878,0.022483191561280546,0.009172183795235123,0.016095514978625183,0.999997054250498,0.36300036172509864
V_O12_4,3,1,-0.875,2,3.673468147231243,0.047883026094199796,0.022722294478788686,0.009158835388943838,0.01634966891088251,0.9999968848196928,0.35905027127157507
V_O12_4,3,1,-0.8499999999999999,2,3.6738801418298244,0.04784746153125674,0.022966867059934237,0.009142077758186071,0.016611154060854973,0.999996699080939,0.35498759231731647
