lambda,mu,line_id,cards,stability_flux,stability_noflux,delta_stability,meanmax_flux,stdmax_flux,meanmax_noflux,stdmax_noflux
0.43,1.75,35,1♣ 2♣ 5♢ 8♣,5.913794931422683,7.133800568719294,-1.2200056372966106,0.08734220082791672,0.014769230560198809,0.08223091974836141,0.011526944011994443
0.43,1.75,36,1♣ 3♣ 6♡ 10♢,13.765292761374631,11.998697550970649,1.7665952104039828,0.064117246171582,0.004657891937576133,0.059612235737730286,0.004968225549856275
0.43,1.75,37,5♠ 6♢ 9♡ 10♣,7.895133405460107,6.207643399358934,1.6874900061011724,0.07347201451611197,0.009305987719637554,0.06819574585037186,0.010985770519198067
0.43,1.75,38,2♠ 4♡ 9♢ 10♢,13.784314266931213,11.225303236100897,2.559011030830316,0.0638379799382875,0.004631204621577427,0.05992456805934981,0.005338347374584116
0.43,1.75,39,2♠ 3♡ 6♣ 7♣,8.801344380697504,8.962748665387894,-0.1614042846903896,0.0762710818685847,0.008665844508465902,0.07058801738370274,0.007875710902872651
0.44,1.75,0,2♡ 3♠ 8♡ 9♡,10.09853370911665,8.981657793697295,1.1168759154193548,0.07268875137680769,0.0071979510561208,0.06562532600200217,0.007306593894954835
0.44,1.75,1,1♡ 3♠ 6♠ 10♠,13.809575097300238,8.859336340471293,4.950238756828945,0.0639095827514845,0.004627918114872251,0.059731901569755816,0.006742254642358261
0.44,1.75,2,7♠ 7♡ 7♢ 7♣,8.96488958574854,8.6758796623569,0.28900992339164056,0.07611938973855038,0.008490834048816079,0.0703678823192362,0.008110749002726483
0.44,1.75,3,3♢ 4♣ 8♠ 10♡,13.005650536894864,16.486078253645562,-3.4804277167506985,0.05865367459261788,0.004509860881332093,0.05427306947126288,0.003292054583039571
0.44,1.75,4,2♣ 3♢ 6♢ 7♠,5.958695782269649,7.149575457005699,-1.19087967473605,0.08753214166602567,0.014689815500647182,0.08234486894650427,0.011517448755060902
0.44,1.75,5,5♡ 7♣ 8♢ 10♠,8.96488958574854,8.6758796623569,0.28900992339164056,0.07611938973855038,0.008490834048816079,0.0703678823192362,0.008110749002726483
0.44,1.75,6,3♠ 3♡ 3♢ 3♣,9.509990362305542,11.062713215370213,-1.5527228530646706,0.06021234147149474,0.006331482911923503,0.057946135258391304,0.005237967768872706
