line_id,rank,sum1_m_tuple,sum2_m_tuple,sum0_m_tuple,sum1_delta,sum2_delta,sum0_delta,flip_delta_sum2,flip_delta_sum0,sum1_flux_coh,sum2_flux_coh,sum0_flux_coh,flip_flux_coh_sum2,flip_flux_coh_sum0,sum1_def_mass,sum2_def_mass,sum0_def_mass,flip_def_mass_sum2,flip_def_mass_sum0,sum1_mu,sum2_mu,sum0_mu,flip_mu_sum2,flip_mu_sum0,sum1_lambda,sum2_lambda,sum0_lambda,flip_lambda_sum2,flip_lambda_sum0
21,12,"(0, 1, 1, 2)","(1, 2, 0, 2)","(2, 1, 0, 0)",3.577026861578747,-10.532355015373419,3.415468182889175,1,0,-2.5112688932079408,8.985750525872058,-2.3125881706835716,1,0,-0.1361932481901239,0.12312669203716538,-0.2522604275581518,1,0,0.00549116942129207,0.0014181016802616755,0.013983944266872352,0,0,0.04365004138544096,-0.18808283448123528,0.026797538469537554,1,0
32,14,"(1, 2, 1, 0)","(2, 2, 1, 0)","(0, 2, 1, 0)",3.3840390493406076,9.380090740183899,5.487074729023938,0,0,-2.5810217361304724,-4.790648204053247,-5.206847112001675,0,0,-0.4257551234485315,-0.862582861159698,-0.2247677292830475,0,0,0.020846634278781688,0.048480106971080676,0.0032166711387828437,0,0,-0.045922737679389924,0.03611231732064782,0.020541768626101194,1,1
1,15,"(1, 0, 0, 0)","(2, 1, 1, 1)","(0, 2, 2, 2)",-17.106902565660253,-4.58500921774674,-24.18030899768339,0,0,11.846062790164334,4.1396113913892645,16.537163807688287,0,0,0.8602349935034075,0.12673313215892304,1.4596517208383128,0,0,-0.042450160182673766,-0.0033836488815770552,-0.07330006357330335,0,0,-0.19657906633976296,-0.07051400179391215,-0.20233783164927285,0,0
23,19,"(1, 0, 2, 1)","(2, 0, 2, 1)","(0, 0, 2, 1)",-0.7080307579449363,7.270720977355357,2.8405305582590232,1,1,-0.1843028504771277,-5.003124007994328,-1.6758347365699,0,0,0.06664880229653761,-0.36957418888525106,-0.1376850253812646,1,1,-0.009394794099306845,0.019442740150608446,0.004027354992384944,1,1,-0.02872645266651868,0.08594295945680654,0.04429016466769579,1,1
13,20,"(0, 2, 2, 0)","(1, 0, 1, 0)","(2, 2, 1, 1)",-3.3971957789527853,-3.3080961642339655,2.201391408167674,0,1,0.6853571225303314,2.4080038595226556,-0.20842748240934084,0,1,0.43043218109452575,-0.053174123350444163,-0.32304718880571304,1,1,-0.029790053279277844,0.002352599622491301,0.0204614627873892,1,1,-0.029726752608084578,-0.10839579522168188,0.004802080173840461,0,1
5,21,"(1, 1, 1, 1)","(2, 2, 2, 2)","(0, 0, 0, 0)",-9.892774476522709,-19.061832146519734,-12.332880409452597,0,0,6.606496548947015,13.467133225898834,6.868301414333681,0,0,0.5204658531926636,1.1846675406569003,1.0187321175208432,0,0,-0.028893657114797834,-0.055761213956001636,-0.05675259730597809,0,0,-0.15119776746661887,-0.15933374753283105,-0.09612891358365336,0,0
11,22,"(0, 0, 1, 0)","(1, 2, 1, 1)","(2, 2, 2, 0)",-0.8747037595743881,-2.017001362663844,-0.08395082991572811,0,0,0.4099071212132547,-0.16686649052102753,0.7815906022639679,1,0,0.043309688565236745,0.14794914615824267,-0.044632744161856266,0,1,-0.007802857263840921,-0.013601676717782351,0.007004011199151463,0,1,-0.0436508741477294,-0.06347975045139036,-0.005266352656858016,0,0
30,24,"(2, 2, 1, 2)","(0, 2, 0, 0)","(1, 1, 1, 0)",-3.5167804332492496,-0.9953415096618325,4.257272521059638,0,1,4.356320998675947,-2.0564669642867113,-2.51943652979899,1,1,-0.07557781789935042,0.3390732949940371,-0.40917991903305884,1,0,0.010226619580369972,-0.02583852135407847,0.021178401377770956,1,0,-0.0822856544759238,-0.0073568525704071856,-0.019579339026608824,0,0
22,26,"(2, 0, 2, 0)","(0, 0, 1, 1)","(1, 2, 2, 1)",-3.880768295171053,2.4181164497693937,-5.990576603243751,1,0,3.0047403054956665,-1.8913182953366066,3.6765966418659324,1,0,0.15261398407690327,-0.07075184009129781,0.3298471589265294,1,0,-0.0054658633969121625,-0.0009763246678901453,-0.02002317325291459,0,0,-0.0504031713125944,0.043272609167463186,-0.09593146444725327,1,0
16,27,"(1, 1, 0, 2)","(2, 1, 0, 2)","(0, 1, 0, 2)",2.315559515218998,8.848785613998661,6.40129523935933,0,0,0.19741064420735208,-5.75570400308828,-5.037609421258277,1,1,-0.49607746027544103,-0.5269792296139435,-0.2944853195805793,0,0,0.030872282589149078,0.028657704607373734,0.014446381006766533,0,0,-0.03206136650542764,0.07605593458917423,0.06703749692335095,1,1
4,28,"(1, 0, 1, 2)","(2, 2, 0, 1)","(0, 1, 2, 0)",1.26547285137384,10.210852455843465,3.597029914380988,0,0,-0.8703840185326438,-4.985095638836764,-4.157080818419243,0,0,-0.1439642331501733,-0.9382904048351061,-0.008164740458460329,0,0,0.008172155272045126,0.05529499841266367,-0.009935459806168431,0,1,-0.003461395472642588,0.048315218463853636,0.029569538586269047,1,1
6,29,"(2, 1, 1, 0)","(0, 2, 1, 2)","(1, 2, 0, 0)",9.592610761950432,-5.714856470741925,-7.189092878790184,1,1,-5.984520272845368,4.766652371158939,4.718889939651578,1,1,-0.6370004922446191,0.09866946776354847,0.2078161392961892,1,1,0.0338628615627367,-0.0029898389200353247,-0.01045745921248999,1,1,0.06589488643650619,-0.09847435816688838,-0.11848935514245407,1,1
36,30,"(0, 1, 2, 1)","(1, 0, 2, 2)","(2, 0, 0, 1)",-2.777066966363214,-13.394534140149226,6.961606691678095,0,1,2.2568091198525093,9.081945591351868,-4.027562368476537,0,1,0.01561794399510142,0.7744299591951916,-0.40556592042764184,0,1,-0.003448803202402288,-0.04017003171346099,0.025055657449435553,0,1,-0.06699762177075752,-0.10059806655669004,0.07704374358169434,0,1
2,33,"(0, 0, 0, 1)","(1, 1, 2, 1)","(2, 0, 2, 2)",6.622131962026783,-5.664914832614676,-7.110722378516218,1,1,-4.849804625119194,5.003798281068885,3.436594153403247,1,1,-0.2434069953912914,0.01094460717329742,0.8017748142271545,1,1,0.011889173289622416,-0.0019219397867608306,-0.04337947479543824,1,1,0.08005894505913935,-0.14345340956804925,0.01468950056305313,1,0
17,36,"(2, 0, 1, 1)","(0, 2, 2, 1)","(1, 0, 2, 0)",3.927906055194744,-1.0222860741190956,-11.887093012586176,1,1,-2.558908357454575,0.3874692276655237,8.821760048501496,1,1,-0.20190410907677078,0.09827336292913927,0.42292482743651166,1,1,0.010116669373436938,-0.007679649179506952,-0.02147784959857242,1,1,0.05811002353109674,-0.012232497297101535,-0.16986304322632792,1,1
28,38,"(2, 2, 0, 0)","(0, 1, 1, 0)","(1, 2, 1, 2)",-0.022726312172853924,7.780037413663662,-9.54040510620737,1,0,1.019431152968177,-6.942857433777829,7.564146052087349,1,0,-0.19800494236409977,-0.2354324931871627,0.19533777198963576,0,1,0.015102523361322947,0.002469813219487962,-0.004581305063673985,0,1,-0.018601684301337757,0.05756751709481956,-0.16911116926636985,1,0
20,40,"(2, 1, 2, 2)","(0, 0, 0, 2)","(1, 1, 0, 1)",-3.6489565925843164,1.7942976430051227,-1.578039769222403,1,0,1.2851888142508974,-1.2901950802303326,2.3513803469664243,1,0,0.4946326987347692,0.05624751720174283,-0.2738783224273468,0,1,-0.027757379240554096,-0.000803993372961896,0.015116153707473606,0,1,0.015743544561070792,0.05760997862317634,-0.11888335594706595,0,1
