element,node,row_norm
(0 1 2),47,9.591663046625438
(0 1 2),48,9.591663046625438
(0 1 2),49,9.591663046625438
(0 1 2),50,11.74734012447073
(0 1 2),51,6.782329983125269
(0 1 2),52,6.782329983125269
(0 1 2),53,9.591663046625438
(0 1 2),54,9.591663046625438
(0 1 2),55,6.782329983125269
(0 1 2),56,6.782329983125269
(0 1 2),57,9.591663046625438
(0 1 2),58,9.591663046625438
(0 2 1),0,13.638181696985857
(0 2 1),1,11.74734012447073
(0 2 1),2,9.591663046625438
(0 2 1),3,9.591663046625438
(0 2 1),4,9.591663046625438
(0 2 1),5,11.74734012447073
(0 2 1),6,15.165750888103101
(0 2 1),7,6.782329983125269
(0 2 1),8,9.591663046625438
(0 2 1),9,6.782329983125269
(0 2 1),10,6.92820323027551
(0 2 1),11,9.591663046625438
(0 2 1),12,9.695359714832659
(0 2 1),13,11.74734012447073
(0 2 1),14,11.74734012447073
(0 2 1),15,9.591663046625438
(0 2 1),16,6.782329983125269
(0 2 1),17,9.591663046625438
(0 2 1),18,9.591663046625438
(0 2 1),19,9.591663046625438
(0 2 1),20,15.231546211727817
(0 2 1),21,6.782329983125269
(0 2 1),22,9.591663046625438
(0 2 1),23,9.591663046625438
(0 2 1),24,9.591663046625438
(0 2 1),25,9.591663046625438
(0 2 1),26,9.695359714832659
(0 2 1),27,13.71130920080209
(0 2 1),28,9.591663046625438
(0 2 1),29,0.0
(0 2 1),30,6.782329983125269
(0 2 1),31,6.782329983125269
(0 2 1),32,11.74734012447073
(0 2 1),33,9.591663046625438
(0 2 1),34,9.591663046625438
(0 2 1),35,11.74734012447073
(0 2 1),36,9.591663046625438
(0 2 1),37,6.782329983125269
(0 2 1),38,11.74734012447073
(0 2 1),39,9.591663046625438
(0 2 1),40,11.74734012447073
(0 2 1),41,9.591663046625438
(0 2 1),42,9.591663046625438
(0 2 1),43,9.591663046625438
(0 2 1),44,9.591663046625438
(0 2 1),45,11.832159566199232
(0 2 1),46,9.591663046625438
(0 2 1),47,9.591663046625438
(0 2 1),48,9.591663046625438
(0 2 1),49,9.591663046625438
(0 2 1),50,11.74734012447073
(0 2 1),51,6.782329983125269
(0 2 1),52,6.782329983125269
(0 2 1),53,9.591663046625438
(0 2 1),54,9.591663046625438
(0 2 1),55,6.782329983125269
(0 2 1),56,6.782329983125269
(0 2 1),57,9.591663046625438
(0 2 1),58,9.591663046625438
(0 1)(2 3),0,13.114877048604
(0 1)(2 3),1,11.999999999999998
(0 1)(2 3),2,9.797958971132712
(0 1)(2 3),3,9.797958971132712
(0 1)(2 3),4,9.797958971132712
(0 1)(2 3),5,11.999999999999998
(0 1)(2 3),6,15.491933384829668
(0 1)(2 3),7,6.92820323027551
(0 1)(2 3),8,9.797958971132712
(0 1)(2 3),9,6.92820323027551
(0 1)(2 3),10,5.291502622129181
(0 1)(2 3),11,9.797958971132712
(0 1)(2 3),12,8.717797887081348
(0 1)(2 3),13,11.999999999999998
(0 1)(2 3),14,11.999999999999998
(0 1)(2 3),15,9.797958971132712
(0 1)(2 3),16,6.92820323027551
(0 1)(2 3),17,9.797958971132712
(0 1)(2 3),18,9.797958971132712
(0 1)(2 3),19,9.797958971132712
(0 1)(2 3),20,14.832396974191328
(0 1)(2 3),21,6.92820323027551
(0 1)(2 3),22,9.797958971132712
(0 1)(2 3),23,9.797958971132712
(0 1)(2 3),24,9.797958971132712
(0 1)(2 3),25,9.797958971132712
(0 1)(2 3),26,8.717797887081348
(0 1)(2 3),27,12.328828005937952
(0 1)(2 3),28,9.797958971132712
(0 1)(2 3),29,0.0
(0 1)(2 3),30,6.92820323027551
(0 1)(2 3),31,6.92820323027551
(0 1)(2 3),32,11.999999999999998
(0 1)(2 3),33,9.797958971132712
(0 1)(2 3),34,9.797958971132712
(0 1)(2 3),35,11.999999999999998
(0 1)(2 3),36,9.797958971132712
(0 1)(2 3),37,6.92820323027551
(0 1)(2 3),38,11.999999999999998
(0 1)(2 3),39,9.797958971132712
(0 1)(2 3),40,11.999999999999998
(0 1)(2 3),41,9.797958971132712
(0 1)(2 3),42,9.797958971132712
(0 1)(2 3),43,9.797958971132712
(0 1)(2 3),44,9.797958971132712
(0 1)(2 3),45,11.135528725660043
(0 1)(2 3),46,9.797958971132712
(0 1)(2 3),47,9.797958971132712
(0 1)(2 3),48,9.797958971132712
(0 1)(2 3),49,9.797958971132712
(0 1)(2 3),50,11.999999999999998
(0 1)(2 3),51,6.92820323027551
(0 1)(2 3),52,6.92820323027551
(0 1)(2 3),53,9.797958971132712
(0 1)(2 3),54,9.797958971132712
(0 1)(2 3),55,6.92820323027551
(0 1)(2 3),56,6.92820323027551
(0 1)(2 3),57,9.797958971132712
(0 1)(2 3),58,9.797958971132712
