auto_id,delta,line_id_a,line_id_b,is_fixed,corr_delta_stability,sign_opposition_rate
8,1,12,25,0,0.03650649245810395,0.0
8,1,27,27,1,1.0,0.0
8,1,27,29,0,-0.48570884990306407,0.6666666666666666
8,1,9,31,0,0.12877465203081878,0.45098039215686275
8,1,27,33,0,0.7679979511756887,0.19607843137254902
8,1,0,34,0,-0.5752619038351464,0.45098039215686275
8,1,0,37,0,-0.41987125005692766,0.45098039215686275
8,1,12,38,0,-0.8324001777365003,0.0
9,0,0,0,1,1.0,0.0
9,0,1,2,0,-0.515134334290819,0.6078431372549019
9,0,3,32,0,-0.6351245853212173,0.37254901960784315
9,0,4,7,0,-0.2535319699085236,1.0
9,0,5,13,0,0.35049388791609976,0.0
9,0,6,39,0,-0.5990351696677974,0.6862745098039216
9,0,8,8,1,1.0,0.0
9,0,9,9,1,1.0,0.0
9,0,10,10,1,1.0,0.0
9,0,11,35,0,0.8144830371318045,0.0
9,0,12,27,0,-0.21263379709685978,0.6078431372549019
9,0,14,22,0,-0.1489944693701495,0.29411764705882354
9,0,15,23,0,0.14954281007782458,0.6274509803921569
9,0,16,18,0,-0.7705530873443502,0.6470588235294118
9,0,17,28,0,0.47913445503623936,0.7843137254901961
9,0,19,21,0,-0.7609791423136653,0.0196078431372549
9,0,20,20,1,1.0,0.0
9,0,9,24,0,0.13818001631649263,0.6274509803921569
9,0,25,27,0,-0.7327709571730969,0.6078431372549019
9,0,26,36,0,0.5982874267950912,0.3137254901960784
9,0,12,29,0,-0.30262272644307514,0.2549019607843137
9,0,30,30,1,1.0,0.0
9,0,9,31,0,0.12877465203081878,0.45098039215686275
9,0,12,33,0,-0.01819507342341422,0.45098039215686275
9,0,0,34,0,-0.5752619038351464,0.45098039215686275
9,0,0,37,0,-0.41987125005692766,0.45098039215686275
9,0,27,38,0,-0.21455400974955516,0.6078431372549019
10,0,0,0,1,1.0,0.0
10,0,1,21,0,-0.013559743238312813,0.0
10,0,2,5,0,-0.43003722558451185,0.6078431372549019
10,0,3,23,0,0.16447827904904003,0.9607843137254902
10,0,4,11,0,-0.8341291426212835,1.0
10,0,6,8,0,-0.4473842996002887,0.6862745098039216
10,0,7,26,0,0.2954613030325703,0.0
10,0,9,9,1,1.0,0.0
10,0,10,10,1,1.0,0.0
10,0,12,27,0,-0.21263379709685978,0.6078431372549019
10,0,13,19,0,-0.5420007290396338,0.0196078431372549
10,0,14,14,1,1.0,0.0
10,0,15,16,0,0.15567087156361414,0.43137254901960786
10,0,17,17,1,1.0,0.0
10,0,18,32,0,-0.6404578584810873,0.37254901960784315
10,0,20,28,0,-0.08672102216820618,0.3333333333333333
10,0,22,30,0,-0.16028591807482775,0.29411764705882354
10,0,9,24,0,0.13818001631649263,0.6274509803921569
10,0,25,27,0,-0.7327709571730969,0.6078431372549019
10,0,12,29,0,-0.30262272644307514,0.2549019607843137
10,0,9,31,0,0.12877465203081878,0.45098039215686275
10,0,12,33,0,-0.01819507342341422,0.45098039215686275
10,0,0,34,0,-0.5752619038351464,0.45098039215686275
10,0,35,36,0,0.5850999722865162,0.3137254901960784
10,0,0,37,0,-0.41987125005692766,0.45098039215686275
10,0,27,38,0,-0.21455400974955516,0.6078431372549019
10,0,39,39,1,1.0,0.0
11,0,0,0,1,1.0,0.0
11,0,1,13,0,-0.8527495690297395,0.0
11,0,2,19,0,0.44000081726283485,0.5882352941176471
11,0,3,16,0,-0.279890053788622,0.6470588235294118
11,0,4,36,0,-0.656932220574891,0.6862745098039216
11,0,5,21,0,0.7325062532117489,0.0
11,0,6,6,1,1.0,0.0
11,0,7,35,0,0.39061176910485357,0.0
11,0,8,39,0,0.8386043649483318,0.0
11,0,9,9,1,1.0,0.0
11,0,10,10,1,1.0,0.0
11,0,11,26,0,0.7562856008890251,0.0
11,0,12,27,0,-0.21263379709685978,0.6078431372549019
11,0,14,30,0,-0.014685757704161495,0.0
11,0,15,32,0,0.2275567670270691,0.39215686274509803
11,0,17,20,0,-0.6170480302539444,0.7647058823529411
11,0,18,23,0,-0.4503522778947913,0.9607843137254902
11,0,22,22,1,1.0,0.0
11,0,9,24,0,0.13818001631649263,0.6274509803921569
11,0,25,27,0,-0.7327709571730969,0.6078431372549019
11,0,28,28,1,1.0,0.0
11,0,12,29,0,-0.30262272644307514,0.2549019607843137
11,0,9,31,0,0.12877465203081878,0.45098039215686275
11,0,12,33,0,-0.01819507342341422,0.45098039215686275
11,0,0,34,0,-0.5752619038351464,0.45098039215686275
11,0,0,37,0,-0.41987125005692766,0.45098039215686275
11,0,27,38,0,-0.21455400974955516,0.6078431372549019
