quartet_str,m_tuple,sum_m_mod3,z3_orbit_id,orbit_size,orbit_members,is_w33_rainbow,w33_line_id,mean_abs_delta,rank_by_mean_abs_delta,pred_mean_abs_delta
sec0_m1 sec1_m1 sec2_m2 sec3_m1,"(1, 1, 2, 1)",2,1,3,sec0_m0 sec1_m0 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m2,False,,,,0.00419786783717644
sec0_m1 sec1_m1 sec2_m2 sec3_m2,"(1, 1, 2, 2)",0,10,3,sec0_m0 sec1_m1 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m2,False,,,,0.007680142265784732
sec0_m1 sec1_m2 sec2_m0 sec3_m0,"(1, 2, 0, 0)",0,23,3,sec0_m0 sec1_m2 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m0,False,,,,0.011105204909945291
sec0_m1 sec1_m2 sec2_m0 sec3_m1,"(1, 2, 0, 1)",1,5,3,sec0_m0 sec1_m0 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m0,True,35,0.015443508339366788,4,0.012005547364533204
sec0_m1 sec1_m2 sec2_m0 sec3_m2,"(1, 2, 0, 2)",2,14,3,sec0_m0 sec1_m1 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m0,False,,,,0.01671721096404696
sec0_m1 sec1_m2 sec2_m1 sec3_m0,"(1, 2, 1, 0)",1,21,3,sec0_m0 sec1_m2 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m0,True,32,0.010237910224970097,14,0.007490010764791948
sec0_m1 sec1_m2 sec2_m1 sec3_m1,"(1, 2, 1, 1)",2,3,3,sec0_m0 sec1_m0 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m0,False,,,,0.007539617292383156
sec0_m1 sec1_m2 sec2_m1 sec3_m2,"(1, 2, 1, 2)",0,12,3,sec0_m0 sec1_m1 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m0,False,,,,0.010583192001861991
sec0_m1 sec1_m2 sec2_m2 sec3_m0,"(1, 2, 2, 0)",2,22,3,sec0_m0 sec1_m2 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m0,False,,,,0.016590754130129705
sec0_m1 sec1_m2 sec2_m2 sec3_m1,"(1, 2, 2, 1)",0,4,3,sec0_m0 sec1_m0 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m0,False,,,,0.014972271767685992
sec0_m1 sec1_m2 sec2_m2 sec3_m2,"(1, 2, 2, 2)",1,13,3,sec0_m0 sec1_m1 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m0,True,19,0.023527809847628173,2,0.019258567403701396
sec0_m2 sec1_m0 sec2_m0 sec3_m0,"(2, 0, 0, 0)",2,13,3,sec0_m0 sec1_m1 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m0,False,,,,0.011222364425411965
sec0_m2 sec1_m0 sec2_m0 sec3_m1,"(2, 0, 0, 1)",0,16,3,sec0_m0 sec1_m1 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m1,False,,,,0.010722977988548403
sec0_m2 sec1_m0 sec2_m0 sec3_m2,"(2, 0, 0, 2)",1,10,3,sec0_m0 sec1_m1 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m2,True,8,0.02892248524455424,1,0.015981339133087802
sec0_m2 sec1_m0 sec2_m1 sec3_m0,"(2, 0, 1, 0)",0,22,3,sec0_m0 sec1_m2 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m0,False,,,,0.002710927891857614
sec0_m2 sec1_m0 sec2_m1 sec3_m1,"(2, 0, 1, 1)",1,25,3,sec0_m0 sec1_m2 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m1,True,17,0.0012889051225446393,36,0.0034542623815306227
