aut_index,perm,comm_norm
129,"(12,3)(18,9,0,15,6,21)(1,13,7)(2,10,23)(8,16,17)(20,4,11)(22,5,14)",75.41883053985921
45,"(12,0,6,18)(1,20,3,16,23,19,14,9,10,5,13,8,15,4,17)(2,21,22,11,7)",75.41883053985921
48,"(12,19,22,9,6,7,16,15,0,1,10,21,18,13,4,3)(2,5)(8,11,14,23,20,17)",75.41883053985921
112,"(12,1,15,10,0,7,21,16,18,13,3,4)(19,9,22,6)(2,8)(20,14)(5,11)(17,23)",75.47184905645283
68,"(12,9,6,15)(18,21,0,3)(1,5,8,22,13,23,14,10,7,17,2,4,19,11,20,16)",75.63068160475615
76,"(12,8,1,17,22,18,20,19,5,16,6,14,13,23,4)(2,7,11,10,0)(9,15,21)",75.63068160475615
58,"(12,6,0)(1,20,4,17,15,19,14,16,5,9)(13,8,22,23,21)(2,10,11,3,7)",75.63068160475615
55,"(12,20,9,0,2,21,18,14,3,6,8,15)(1,17)(13,5,7,11)(19,23)(4,22,10,16)",75.63068160475615
41,"(12,22,11,2,19,0,16,23,8,7,18,4,17,14,1,6,10,5,20,13)(3,15,9)",75.63068160475615
57,"(12,2,17,9,13,6,14,5,3,1)(18,20,11,15,7,0,8,23,21,19)(4,10,22)",75.63068160475615
103,"(12,8,7,17,6,2,19,11,0,14,1,5,18,20,13,23)(3,21,15,9)(4,16,22)",75.63068160475615
110,"(12,9,7,16,6,15,1,4)(18,3,13,10)(19,22,0,21)(2,5,14,23,20,11)(8,17)",75.63068160475615
66,"(12,13,2,22,17,6,1,8,10,11,18,19,20,4,5)(3,9)(16,23,0,7,14)",75.63068160475615
83,"(12,18)(1,20,4,21,7,8,22,15)(13,14,10,9)(19,2,16,3)(5,11,23,17)",75.63068160475615
75,"(12,20,9,18,2,21,0,8,3)(1,23,10)(13,11,16,7,17,22)(19,5,4)(6,14,15)",75.63068160475615
123,"(12,0)(1,17,3,8,10,7,11,9,2,22)(13,5,15,14,16,19,23,21,20,4)",75.63068160475615
119,"(12,8,3)(18,20,21)(1,13)(19,7)(2,9,0,14,15,6)(4,22,16,10)(11,17,23)",75.63068160475615
104,"(12,10,1,15,14,18,22,13,21,2)(19,9,20,0,16)(8,6,4,7,3)(5,11)(17,23)",75.63068160475615
97,"(12,2,11,4)(18,8,23,22)(1,13,7)(20,17,10,6,14,5,16,0)(3,9,15,21)",75.63068160475615
86,"(12,19,11,22,15,14,0,7,17,10,21,2,6,13,23,16,3,20,18,1,5,4,9,8)",75.63068160475615
71,"(12,22,8,15,17,13,0,16,14,9,5,7,6,10,20,21,23,19,18,4,2,3,11,1)",75.63068160475615
192,"(12,20,16,15,1,18,14,4,3,19)(13,6,2,22,9)(8,10,21,7,0)(5,11,23,17)",75.63068160475615
210,"(12,6,18,0)(1,20,5,21,16,7,14,23,9,22,19,8,11,3,4,13,2,17,15,10)",75.63068160475615
81,"(12,9,5,13,10,20,6,3,23,1,16,14,18,15,11,19,22,2,0,21,17,7,4,8)",75.63068160475615
67,"(12,23,15,1,0,11,9,13)(18,17,21,19)(2,14,20,8)(3,7,6,5)(16,22)",75.63068160475615
74,"(12,3,4,1,0,9,10,13,18,21,16,7,6,15,22,19)(2,23,14,11,8,17,20,5)",75.63068160475615
