orbit_id,orbit_size,quartet_str,orbit_members
12,3,sec0_m1 sec1_m2 sec2_m1 sec3_m2,sec0_m0 sec1_m1 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m0
12,3,sec0_m2 sec1_m2 sec2_m0 sec3_m0,sec0_m0 sec1_m1 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m0
13,3,sec0_m0 sec1_m1 sec2_m1 sec3_m1,sec0_m0 sec1_m1 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m0
13,3,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m0 sec1_m1 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m0
13,3,sec0_m2 sec1_m0 sec2_m0 sec3_m0,sec0_m0 sec1_m1 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m0
14,3,sec0_m0 sec1_m1 sec2_m1 sec3_m2,sec0_m0 sec1_m1 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m0
14,3,sec0_m1 sec1_m2 sec2_m0 sec3_m2,sec0_m0 sec1_m1 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m0
14,3,sec0_m2 sec1_m1 sec2_m0 sec3_m0,sec0_m0 sec1_m1 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m0
15,3,sec0_m0 sec1_m1 sec2_m2 sec3_m0,sec0_m0 sec1_m1 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m1
15,3,sec0_m1 sec1_m0 sec2_m1 sec3_m2,sec0_m0 sec1_m1 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m1
15,3,sec0_m2 sec1_m2 sec2_m0 sec3_m1,sec0_m0 sec1_m1 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m1
16,3,sec0_m0 sec1_m1 sec2_m2 sec3_m1,sec0_m0 sec1_m1 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m1
16,3,sec0_m1 sec1_m0 sec2_m2 sec3_m2,sec0_m0 sec1_m1 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m1
16,3,sec0_m2 sec1_m0 sec2_m0 sec3_m1,sec0_m0 sec1_m1 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m1
17,3,sec0_m0 sec1_m1 sec2_m2 sec3_m2,sec0_m0 sec1_m1 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m1
17,3,sec0_m1 sec1_m0 sec2_m0 sec3_m2,sec0_m0 sec1_m1 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m1
17,3,sec0_m2 sec1_m1 sec2_m0 sec3_m1,sec0_m0 sec1_m1 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m1
18,3,sec0_m0 sec1_m2 sec2_m0 sec3_m0,sec0_m0 sec1_m2 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m2
18,3,sec0_m1 sec1_m1 sec2_m1 sec3_m0,sec0_m0 sec1_m2 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m2
18,3,sec0_m2 sec1_m2 sec2_m1 sec3_m2,sec0_m0 sec1_m2 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m2
