q,tau,count,total_p1_incident,freq
36,"(0, 1, 2)",34,144,0.2361111111111111
36,"(1, 2, 0)",24,144,0.16666666666666666
36,"(2, 0, 1)",23,144,0.1597222222222222
36,"(0, 2, 1)",22,144,0.1527777777777778
36,"(2, 1, 0)",21,144,0.14583333333333334
36,"(1, 0, 2)",20,144,0.1388888888888889
37,"(0, 1, 2)",34,144,0.2361111111111111
37,"(2, 1, 0)",24,144,0.16666666666666666
37,"(1, 2, 0)",24,144,0.16666666666666666
37,"(2, 0, 1)",23,144,0.1597222222222222
37,"(1, 0, 2)",20,144,0.1388888888888889
37,"(0, 2, 1)",19,144,0.13194444444444445
38,"(0, 1, 2)",37,144,0.2569444444444444
38,"(1, 0, 2)",23,144,0.1597222222222222
38,"(2, 0, 1)",23,144,0.1597222222222222
38,"(0, 2, 1)",22,144,0.1527777777777778
38,"(1, 2, 0)",21,144,0.14583333333333334
38,"(2, 1, 0)",18,144,0.125
39,"(0, 1, 2)",34,144,0.2361111111111111
39,"(1, 2, 0)",24,144,0.16666666666666666
39,"(1, 0, 2)",23,144,0.1597222222222222
39,"(2, 0, 1)",23,144,0.1597222222222222
39,"(2, 1, 0)",21,144,0.14583333333333334
39,"(0, 2, 1)",19,144,0.13194444444444445
40,"(0, 1, 2)",34,144,0.2361111111111111
40,"(1, 2, 0)",24,144,0.16666666666666666
40,"(2, 0, 1)",23,144,0.1597222222222222
40,"(0, 2, 1)",22,144,0.1527777777777778
40,"(2, 1, 0)",21,144,0.14583333333333334
40,"(1, 0, 2)",20,144,0.1388888888888889
41,"(0, 1, 2)",35,144,0.24305555555555555
41,"(2, 0, 1)",24,144,0.16666666666666666
41,"(2, 1, 0)",22,144,0.1527777777777778
41,"(1, 2, 0)",22,144,0.1527777777777778
41,"(1, 0, 2)",21,144,0.14583333333333334
41,"(0, 2, 1)",20,144,0.1388888888888889
42,"(0, 1, 2)",34,144,0.2361111111111111
42,"(2, 1, 0)",24,144,0.16666666666666666
42,"(1, 2, 0)",24,144,0.16666666666666666
42,"(2, 0, 1)",23,144,0.1597222222222222
42,"(1, 0, 2)",20,144,0.1388888888888889
42,"(0, 2, 1)",19,144,0.13194444444444445
43,"(0, 1, 2)",34,144,0.2361111111111111
43,"(1, 2, 0)",24,144,0.16666666666666666
43,"(1, 0, 2)",23,144,0.1597222222222222
