node,mu,lam,best_line,stability
0,1.5,0.48,22,2.268192422093366
0,1.5,0.49,8,2.2725756581006027
0,1.5,0.5,8,2.2771595584485667
0,1.5,0.51,8,2.2818858031657667
0,1.5,0.52,8,2.28673683147309
0,1.5,0.53,17,2.2951149488047737
0,1.5,0.54,17,2.305064310754888
0,1.5,0.55,17,2.3150188695277483
0,1.5,0.56,17,2.3248905227992
0,1.5,0.57,17,2.334591925557514
0,1.5,0.58,17,2.3440384238829024
0,1.5,0.59,17,2.353149991918502
0,1.5,0.6,17,2.3618530975731327
0,1.75,0.4,22,2.2498331610971154
0,1.75,0.41,22,2.252420080343813
0,1.75,0.42,22,2.2551418328187323
0,1.75,0.43,22,2.257997056454484
0,1.75,0.44,22,2.260983453369846
0,1.75,0.45,22,2.264097811016885
0,1.75,0.46,22,2.2673360402047122
0,1.75,0.47,22,2.270693229391169
0,1.75,0.48,22,2.274163714211971
0,1.75,0.49,22,2.277741160807974
0,1.75,0.5,8,2.2823392413808743
0,1.75,0.51,8,2.287183965650466
0,1.75,0.52,8,2.2921542127069445
0,1.75,0.53,8,2.297230209506163
0,1.75,0.54,17,2.304658346578325
0,1.75,0.55,17,2.314777594411614
0,1.75,0.56,17,2.3247930554880334
0,1.75,0.57,17,2.3346098602234213
0,1.75,0.58,17,2.3441361457062655
0,1.75,0.59,17,2.353285237783955
0,1.75,0.6,17,2.361977751606128
0,2.0,0.4,22,2.254074794503338
0,2.0,0.41,22,2.2568243722638246
0,2.0,0.42,22,2.2597053830826392
0,2.0,0.43,22,2.2627158621105354
0,2.0,0.44,22,2.265852858162539
0,2.0,0.45,22,2.2691124593205676
0,2.0,0.46,22,2.2724898373195304
0,2.0,0.47,22,2.2759793100373007
0,2.0,0.48,22,2.279574420923358
0,2.0,0.49,22,2.283268033728784
0,2.0,0.5,8,2.2873698534209184
0,2.0,0.51,8,2.292363586426808
0,2.0,0.52,8,2.297480041507628
0,2.0,0.53,8,2.3026976294724624
0,2.0,0.54,8,2.307993951753296
0,2.0,0.55,17,2.3147622402585064
0,2.0,0.56,17,2.324903868611678
0,2.0,0.57,17,2.3348016341306392
0,2.0,0.58,17,2.34435519055287
0,2.0,0.59,17,2.353470337937644
0,2.0,0.6,17,2.3620614229827708
