mu,t,line_id,prob,mask_size,density
0.5,1.5,26,0.35287478160070695,8,0.04410934770008837
0.5,1.5,27,0.08267528111160136,2,0.04133764055580068
0.5,1.5,28,0.32465494618640606,8,0.04058186827330076
0.5,1.5,29,0.07354092434081011,2,0.036770462170405055
0.5,1.5,30,0.34859031765562287,8,0.04357378970695286
0.5,1.5,31,0.14081897737088067,2,0.07040948868544034
0.5,1.5,32,0.2956385664652772,8,0.03695482080815965
0.5,1.5,33,0.07928182389896113,2,0.039640911949480565
0.5,1.5,34,0.04910754569915915,2,0.024553772849579575
0.5,1.5,35,0.30366092875452494,8,0.03795761609431562
0.5,1.5,36,0.3474058357102624,8,0.0434257294637828
0.5,1.5,37,0.07496420079152222,2,0.03748210039576111
0.5,1.5,38,0.11650243028783955,2,0.058251215143919774
0.5,1.5,39,0.3857107772568405,8,0.04821384715710506
0.5,1.75,0,0.053408606664166455,2,0.026704303332083228
0.5,1.75,1,0.30917511355535027,8,0.03864688919441878
0.5,1.75,2,0.3169030093691908,8,0.03961287617114885
0.5,1.75,3,0.29352615126463766,8,0.03669076890807971
0.5,1.75,4,0.31112342151408023,8,0.03889042768926003
0.5,1.75,5,0.2595893689200097,8,0.032448671115001215
0.5,1.75,6,0.30748723178368564,8,0.038435903972960705
0.5,1.75,7,0.3435944026558384,8,0.0429493003319798
0.5,1.75,8,0.3758976821287781,8,0.046987210266097264
0.5,1.75,9,0.10577393513049424,2,0.05288696756524712
0.5,1.75,10,0.9999999999999996,24,0.04166666666666665
0.5,1.75,11,0.30002661161816885,8,0.037503326452271106
0.5,1.75,12,0.07140379867766852,2,0.03570189933883426
0.5,1.75,13,0.36451294895121167,8,0.04556411861890146
0.5,1.75,14,0.3243636295347076,8,0.04054545369183845
0.5,1.75,15,0.29856081041529914,8,0.03732010130191239
0.5,1.75,16,0.30965762031121047,8,0.03870720253890131
0.5,1.75,17,0.3258294307375773,8,0.040728678842197164
0.5,1.75,18,0.38983811501449483,8,0.048729764376811854
0.5,1.75,19,0.375609758847123,8,0.046951219855890375
