u,v,w,z2_triangle_parity,s3_holonomy,s3_class,s3_sign
0,13,14,0,"(0, 1, 2)",id,0
0,13,15,0,"(0, 1, 2)",id,0
0,13,16,0,"(0, 1, 2)",id,0
0,13,17,1,"(0, 1, 2)",id,0
0,13,20,1,"(1, 2, 0)",3-cycle,0
0,13,21,0,"(0, 1, 2)",id,0
0,13,22,0,"(0, 1, 2)",id,0
0,13,23,1,"(2, 1, 0)",transposition,1
0,13,26,1,"(2, 0, 1)",3-cycle,0
0,13,27,1,"(2, 1, 0)",transposition,1
0,13,29,0,"(0, 1, 2)",id,0
0,13,30,0,"(0, 1, 2)",id,0
0,13,32,1,"(2, 1, 0)",transposition,1
0,14,15,0,"(0, 1, 2)",id,0
0,14,16,0,"(0, 1, 2)",id,0
0,14,18,1,"(2, 0, 1)",3-cycle,0
0,14,19,1,"(0, 2, 1)",transposition,1
0,14,21,0,"(0, 1, 2)",id,0
0,14,22,0,"(0, 1, 2)",id,0
0,14,24,1,"(2, 0, 1)",3-cycle,0
0,14,25,1,"(2, 0, 1)",3-cycle,0
0,14,28,1,"(0, 1, 2)",id,0
0,14,29,0,"(0, 1, 2)",id,0
0,14,30,0,"(0, 1, 2)",id,0
0,14,31,1,"(0, 1, 2)",id,0
0,15,16,0,"(0, 1, 2)",id,0
0,15,17,1,"(0, 1, 2)",id,0
0,15,19,1,"(0, 1, 2)",id,0
0,15,22,1,"(0, 1, 2)",id,0
0,15,23,0,"(0, 1, 2)",id,0
0,15,24,0,"(0, 1, 2)",id,0
0,15,26,1,"(0, 2, 1)",transposition,1
0,15,28,1,"(0, 2, 1)",transposition,1
0,15,29,1,"(0, 2, 1)",transposition,1
0,15,31,0,"(0, 1, 2)",id,0
0,15,32,0,"(0, 1, 2)",id,0
0,16,18,1,"(2, 0, 1)",3-cycle,0
0,16,20,1,"(1, 2, 0)",3-cycle,0
0,16,21,1,"(1, 0, 2)",transposition,1
0,16,23,0,"(0, 1, 2)",id,0
0,16,24,0,"(0, 1, 2)",id,0
0,16,25,1,"(2, 1, 0)",transposition,1
0,16,27,1,"(2, 0, 1)",3-cycle,0
0,16,30,1,"(2, 0, 1)",3-cycle,0
0,16,31,0,"(0, 1, 2)",id,0
0,16,32,0,"(0, 1, 2)",id,0
0,17,18,0,"(0, 1, 2)",id,0
0,17,19,0,"(0, 1, 2)",id,0
0,17,20,0,"(0, 1, 2)",id,0
0,17,21,0,"(0, 1, 2)",id,0
0,17,22,0,"(0, 1, 2)",id,0
0,17,23,0,"(0, 1, 2)",id,0
0,17,24,0,"(0, 1, 2)",id,0
0,17,25,0,"(0, 1, 2)",id,0
0,17,26,0,"(0, 1, 2)",id,0
0,17,28,1,"(0, 1, 2)",id,0
0,17,30,1,"(1, 2, 0)",3-cycle,0
0,17,32,1,"(1, 0, 2)",transposition,1
0,18,19,0,"(0, 1, 2)",id,0
0,18,20,0,"(0, 1, 2)",id,0
0,18,21,0,"(1, 2, 0)",3-cycle,0
0,18,22,0,"(0, 1, 2)",id,0
0,18,23,0,"(0, 1, 2)",id,0
0,18,24,0,"(0, 1, 2)",id,0
0,18,25,0,"(0, 1, 2)",id,0
0,18,26,0,"(0, 1, 2)",id,0
0,18,27,1,"(0, 1, 2)",id,0
0,18,29,1,"(1, 0, 2)",transposition,1
0,18,31,1,"(1, 2, 0)",3-cycle,0
0,19,20,0,"(0, 1, 2)",id,0
0,19,21,0,"(0, 1, 2)",id,0
0,19,22,0,"(1, 0, 2)",transposition,1
0,19,23,0,"(0, 1, 2)",id,0
0,19,24,0,"(0, 1, 2)",id,0
0,19,25,1,"(0, 2, 1)",transposition,1
0,19,27,0,"(0, 1, 2)",id,0
0,19,28,0,"(0, 1, 2)",id,0
0,19,29,1,"(1, 0, 2)",transposition,1
0,19,32,1,"(1, 0, 2)",transposition,1
0,20,21,0,"(0, 1, 2)",id,0
0,20,22,0,"(0, 1, 2)",id,0
0,20,23,0,"(0, 1, 2)",id,0
0,20,24,0,"(0, 1, 2)",id,0
0,20,26,1,"(2, 0, 1)",3-cycle,0
0,20,27,0,"(0, 1, 2)",id,0
0,20,28,0,"(0, 1, 2)",id,0
0,20,30,1,"(1, 2, 0)",3-cycle,0
0,20,31,1,"(1, 2, 0)",3-cycle,0
0,21,22,0,"(0, 1, 2)",id,0
0,21,23,0,"(0, 2, 1)",transposition,1
0,21,24,0,"(0, 2, 1)",transposition,1
0,21,25,1,"(1, 2, 0)",3-cycle,0
0,21,28,1,"(2, 1, 0)",transposition,1
0,21,29,0,"(0, 1, 2)",id,0
0,21,30,0,"(0, 1, 2)",id,0
0,21,31,1,"(1, 2, 0)",3-cycle,0
0,22,23,0,"(0, 2, 1)",transposition,1
0,22,24,0,"(0, 2, 1)",transposition,1
0,22,26,1,"(2, 0, 1)",3-cycle,0
0,22,27,1,"(0, 1, 2)",id,0
0,22,29,0,"(0, 1, 2)",id,0
0,22,30,0,"(0, 1, 2)",id,0
0,22,32,1,"(1, 0, 2)",transposition,1
0,23,24,0,"(0, 1, 2)",id,0
0,23,25,1,"(1, 0, 2)",transposition,1
0,23,27,1,"(0, 2, 1)",transposition,1
0,23,30,1,"(0, 2, 1)",transposition,1
0,23,31,0,"(0, 1, 2)",id,0
0,23,32,0,"(0, 1, 2)",id,0
0,24,26,1,"(2, 0, 1)",3-cycle,0
0,24,28,1,"(2, 0, 1)",3-cycle,0
