u,v,z2_voltage,quad_from,quad_to,s3_perm,s3_class,s3_sign
1,43,0,1,68,"(0, 1, 2)",id,0
1,44,0,1,71,"(0, 1, 2)",id,0
2,0,0,2,0,"(0, 1, 2)",id,0
2,1,0,2,1,"(0, 1, 2)",id,0
2,3,0,2,3,"(2, 0, 1)",3-cycle,0
2,4,0,2,4,"(0, 1, 2)",id,0
2,5,0,2,5,"(0, 1, 2)",id,0
2,6,0,2,6,"(1, 2, 0)",3-cycle,0
2,7,0,2,7,"(0, 2, 1)",transposition,1
2,8,0,2,8,"(0, 1, 2)",id,0
2,9,0,2,9,"(0, 1, 2)",id,0
2,10,0,2,10,"(0, 1, 2)",id,0
2,11,1,2,72,"(0, 1, 2)",id,0
2,13,1,2,74,"(1, 0, 2)",transposition,1
2,15,1,2,76,"(1, 2, 0)",3-cycle,0
2,17,0,2,17,"(0, 1, 2)",id,0
2,18,0,2,18,"(0, 1, 2)",id,0
2,19,1,2,84,"(0, 1, 2)",id,0
2,21,1,2,87,"(1, 0, 2)",transposition,1
2,23,1,2,89,"(1, 2, 0)",3-cycle,0
2,25,0,2,25,"(0, 1, 2)",id,0
2,26,0,2,26,"(0, 1, 2)",id,0
2,27,1,2,78,"(0, 1, 2)",id,0
2,29,1,2,81,"(1, 0, 2)",transposition,1
2,31,1,2,83,"(1, 2, 0)",3-cycle,0
2,36,1,2,73,"(0, 1, 2)",id,0
2,37,1,2,77,"(0, 1, 2)",id,0
2,38,1,2,75,"(0, 1, 2)",id,0
2,39,1,2,85,"(0, 1, 2)",id,0
2,40,1,2,88,"(0, 1, 2)",id,0
2,41,1,2,86,"(0, 1, 2)",id,0
2,42,1,2,79,"(0, 1, 2)",id,0
2,43,1,2,82,"(0, 1, 2)",id,0
2,44,1,2,80,"(0, 1, 2)",id,0
3,0,0,3,0,"(0, 1, 2)",id,0
3,1,0,3,1,"(0, 1, 2)",id,0
3,2,0,3,2,"(1, 2, 0)",3-cycle,0
3,4,0,3,4,"(0, 1, 2)",id,0
3,5,0,3,5,"(0, 1, 2)",id,0
3,6,0,3,6,"(1, 0, 2)",transposition,1
3,7,0,3,7,"(0, 1, 2)",id,0
3,8,0,3,8,"(0, 1, 2)",id,0
3,9,1,3,36,"(0, 2, 1)",transposition,1
3,11,0,3,11,"(0, 1, 2)",id,0
3,12,0,3,12,"(0, 1, 2)",id,0
3,13,1,3,74,"(1, 0, 2)",transposition,1
3,16,1,3,56,"(1, 2, 0)",3-cycle,0
3,17,1,3,37,"(0, 2, 1)",transposition,1
3,19,0,3,19,"(0, 1, 2)",id,0
3,20,0,3,20,"(0, 1, 2)",id,0
3,21,1,3,87,"(1, 0, 2)",transposition,1
3,24,1,3,62,"(1, 2, 0)",3-cycle,0
3,25,1,3,38,"(0, 2, 1)",transposition,1
3,27,0,3,27,"(0, 1, 2)",id,0
3,28,0,3,28,"(0, 1, 2)",id,0
3,29,1,3,81,"(1, 0, 2)",transposition,1
3,32,1,3,69,"(1, 2, 0)",3-cycle,0
3,33,0,3,51,"(0, 1, 2)",id,0
3,34,0,3,53,"(0, 1, 2)",id,0
3,35,0,3,52,"(0, 1, 2)",id,0
3,37,0,3,57,"(0, 1, 2)",id,0
3,38,1,3,75,"(0, 1, 2)",id,0
3,40,0,3,63,"(0, 1, 2)",id,0
3,41,1,3,86,"(0, 1, 2)",id,0
3,43,0,3,68,"(0, 1, 2)",id,0
3,44,1,3,80,"(0, 1, 2)",id,0
4,0,0,4,0,"(0, 1, 2)",id,0
4,1,0,4,1,"(0, 1, 2)",id,0
4,2,0,4,2,"(0, 1, 2)",id,0
4,3,0,4,3,"(0, 1, 2)",id,0
4,5,0,4,5,"(0, 1, 2)",id,0
4,6,0,4,6,"(0, 1, 2)",id,0
4,7,0,4,7,"(2, 1, 0)",transposition,1
4,8,0,4,8,"(0, 1, 2)",id,0
4,10,1,4,39,"(0, 2, 1)",transposition,1
4,11,0,4,11,"(0, 1, 2)",id,0
4,12,0,4,12,"(0, 1, 2)",id,0
4,14,1,4,58,"(1, 0, 2)",transposition,1
4,15,1,4,76,"(1, 2, 0)",3-cycle,0
4,18,1,4,41,"(0, 2, 1)",transposition,1
4,19,0,4,19,"(0, 1, 2)",id,0
4,20,0,4,20,"(0, 1, 2)",id,0
4,22,1,4,65,"(1, 0, 2)",transposition,1
4,23,1,4,89,"(1, 2, 0)",3-cycle,0
4,26,1,4,40,"(0, 2, 1)",transposition,1
4,27,0,4,27,"(0, 1, 2)",id,0
4,28,0,4,28,"(0, 1, 2)",id,0
4,30,1,4,70,"(1, 0, 2)",transposition,1
4,31,1,4,83,"(1, 2, 0)",3-cycle,0
4,33,1,4,45,"(0, 1, 2)",id,0
4,34,1,4,46,"(0, 1, 2)",id,0
4,35,1,4,47,"(0, 1, 2)",id,0
4,37,1,4,77,"(0, 1, 2)",id,0
4,38,0,4,59,"(0, 1, 2)",id,0
4,40,1,4,88,"(0, 1, 2)",id,0
4,41,0,4,64,"(0, 1, 2)",id,0
4,43,1,4,82,"(0, 1, 2)",id,0
4,44,0,4,71,"(0, 1, 2)",id,0
5,0,0,5,0,"(0, 2, 1)",transposition,1
5,1,0,5,1,"(0, 1, 2)",id,0
5,2,0,5,2,"(0, 1, 2)",id,0
5,3,0,5,3,"(0, 1, 2)",id,0
5,4,0,5,4,"(0, 1, 2)",id,0
5,6,0,5,6,"(2, 1, 0)",transposition,1
5,7,0,5,7,"(0, 1, 2)",id,0
5,8,0,5,8,"(0, 1, 2)",id,0
5,9,1,5,36,"(0, 2, 1)",transposition,1
5,12,1,5,54,"(0, 1, 2)",id,0
5,13,0,5,13,"(0, 1, 2)",id,0
5,14,0,5,14,"(0, 1, 2)",id,0
5,15,1,5,76,"(1, 2, 0)",3-cycle,0
5,17,1,5,37,"(0, 2, 1)",transposition,1
5,20,1,5,60,"(0, 1, 2)",id,0
5,21,0,5,21,"(0, 1, 2)",id,0
5,22,0,5,22,"(0, 1, 2)",id,0
5,23,1,5,89,"(1, 2, 0)",3-cycle,0
5,25,1,5,38,"(0, 2, 1)",transposition,1
5,28,1,5,66,"(0, 1, 2)",id,0
5,29,0,5,29,"(0, 1, 2)",id,0
5,30,0,5,30,"(0, 1, 2)",id,0
5,31,1,5,83,"(1, 2, 0)",3-cycle,0
5,33,0,5,51,"(0, 1, 2)",id,0
5,34,0,5,53,"(0, 1, 2)",id,0
5,35,0,5,52,"(0, 1, 2)",id,0
5,36,0,5,55,"(0, 1, 2)",id,0
5,37,1,5,77,"(0, 1, 2)",id,0
5,39,0,5,61,"(0, 1, 2)",id,0
5,40,1,5,88,"(0, 1, 2)",id,0
5,42,0,5,67,"(0, 1, 2)",id,0
5,43,1,5,82,"(0, 1, 2)",id,0
6,0,0,6,0,"(0, 1, 2)",id,0
6,1,0,6,1,"(0, 1, 2)",id,0
6,2,0,6,2,"(2, 0, 1)",3-cycle,0
6,3,0,6,3,"(1, 0, 2)",transposition,1
6,4,0,6,4,"(0, 1, 2)",id,0
6,5,0,6,5,"(2, 1, 0)",transposition,1
6,7,0,6,7,"(2, 1, 0)",transposition,1
6,8,0,6,8,"(0, 1, 2)",id,0
6,10,1,6,39,"(0, 2, 1)",transposition,1
6,11,1,6,72,"(0, 1, 2)",id,0
6,13,0,6,13,"(0, 1, 2)",id,0
6,14,0,6,14,"(0, 1, 2)",id,0
6,16,1,6,56,"(1, 2, 0)",3-cycle,0
6,18,1,6,41,"(0, 2, 1)",transposition,1
6,19,1,6,84,"(0, 1, 2)",id,0
6,21,0,6,21,"(0, 1, 2)",id,0
6,22,0,6,22,"(0, 1, 2)",id,0
6,24,1,6,62,"(1, 2, 0)",3-cycle,0
6,26,1,6,40,"(0, 2, 1)",transposition,1
6,27,1,6,78,"(0, 1, 2)",id,0
6,29,0,6,29,"(0, 1, 2)",id,0
6,30,0,6,30,"(0, 1, 2)",id,0
6,32,1,6,69,"(1, 2, 0)",3-cycle,0
6,33,1,6,45,"(0, 1, 2)",id,0
6,34,1,6,46,"(0, 1, 2)",id,0
6,35,1,6,47,"(0, 1, 2)",id,0
6,36,1,6,73,"(0, 1, 2)",id,0
6,37,0,6,57,"(0, 1, 2)",id,0
6,39,1,6,85,"(0, 1, 2)",id,0
6,40,0,6,63,"(0, 1, 2)",id,0
6,42,1,6,79,"(0, 1, 2)",id,0
6,43,0,6,68,"(0, 1, 2)",id,0
7,0,0,7,0,"(0, 1, 2)",id,0
7,1,0,7,1,"(0, 1, 2)",id,0
7,2,0,7,2,"(0, 2, 1)",transposition,1
7,3,0,7,3,"(0, 1, 2)",id,0
7,4,0,7,4,"(2, 1, 0)",transposition,1
7,5,0,7,5,"(0, 1, 2)",id,0
7,6,0,7,6,"(2, 1, 0)",transposition,1
7,8,0,7,8,"(0, 1, 2)",id,0
7,9,1,7,36,"(0, 2, 1)",transposition,1
7,11,1,7,72,"(0, 1, 2)",id,0
7,14,1,7,58,"(1, 0, 2)",transposition,1
7,15,0,7,15,"(0, 1, 2)",id,0
7,16,0,7,16,"(0, 1, 2)",id,0
7,17,1,7,37,"(0, 2, 1)",transposition,1
7,19,1,7,84,"(0, 1, 2)",id,0
7,22,1,7,65,"(1, 0, 2)",transposition,1
7,23,0,7,23,"(0, 1, 2)",id,0
7,24,0,7,24,"(0, 1, 2)",id,0
7,25,1,7,38,"(0, 2, 1)",transposition,1
7,27,1,7,78,"(0, 1, 2)",id,0
7,30,1,7,70,"(1, 0, 2)",transposition,1
7,31,0,7,31,"(0, 1, 2)",id,0
7,32,0,7,32,"(0, 1, 2)",id,0
7,33,0,7,51,"(0, 1, 2)",id,0
7,34,0,7,53,"(0, 1, 2)",id,0
7,35,0,7,52,"(0, 1, 2)",id,0
7,36,1,7,73,"(0, 1, 2)",id,0
7,38,0,7,59,"(0, 1, 2)",id,0
7,39,1,7,85,"(0, 1, 2)",id,0
7,41,0,7,64,"(0, 1, 2)",id,0
7,42,1,7,79,"(0, 1, 2)",id,0
7,44,0,7,71,"(0, 1, 2)",id,0
8,0,0,8,0,"(0, 1, 2)",id,0
8,1,0,8,1,"(0, 1, 2)",id,0
8,2,0,8,2,"(0, 1, 2)",id,0
8,3,0,8,3,"(0, 1, 2)",id,0
8,4,0,8,4,"(0, 1, 2)",id,0
8,5,0,8,5,"(0, 1, 2)",id,0
8,6,0,8,6,"(0, 1, 2)",id,0
8,7,0,8,7,"(0, 1, 2)",id,0
8,10,1,8,39,"(0, 2, 1)",transposition,1
8,12,1,8,54,"(0, 1, 2)",id,0
8,13,1,8,74,"(1, 0, 2)",transposition,1
8,15,0,8,15,"(0, 1, 2)",id,0
8,16,0,8,16,"(0, 1, 2)",id,0
8,18,1,8,41,"(0, 2, 1)",transposition,1
8,20,1,8,60,"(0, 1, 2)",id,0
8,21,1,8,87,"(1, 0, 2)",transposition,1
8,23,0,8,23,"(0, 1, 2)",id,0
8,24,0,8,24,"(0, 1, 2)",id,0
8,26,1,8,40,"(0, 2, 1)",transposition,1
8,28,1,8,66,"(0, 1, 2)",id,0
8,29,1,8,81,"(1, 0, 2)",transposition,1
8,31,0,8,31,"(0, 1, 2)",id,0
8,32,0,8,32,"(0, 1, 2)",id,0
8,33,1,8,45,"(0, 1, 2)",id,0
8,34,1,8,46,"(0, 1, 2)",id,0
8,35,1,8,47,"(0, 1, 2)",id,0
8,36,0,8,55,"(0, 1, 2)",id,0
8,38,1,8,75,"(0, 1, 2)",id,0
8,39,0,8,61,"(0, 1, 2)",id,0
8,41,1,8,86,"(0, 1, 2)",id,0
8,42,0,8,67,"(0, 1, 2)",id,0
8,44,1,8,80,"(0, 1, 2)",id,0
9,0,0,9,0,"(0, 1, 2)",id,0
9,1,0,9,1,"(0, 1, 2)",id,0
9,2,0,9,2,"(0, 1, 2)",id,0
9,3,1,9,42,"(0, 1, 2)",id,0
9,5,1,9,44,"(1, 0, 2)",transposition,1
9,7,1,9,43,"(1, 2, 0)",3-cycle,0
9,10,0,9,10,"(0, 1, 2)",id,0
9,11,0,9,11,"(0, 1, 2)",id,0
9,12,0,9,12,"(0, 2, 1)",transposition,1
9,13,0,9,13,"(0, 1, 2)",id,0
9,14,0,9,14,"(0, 1, 2)",id,0
9,15,0,9,15,"(0, 1, 2)",id,0
9,16,0,9,16,"(0, 1, 2)",id,0
9,17,0,9,17,"(0, 1, 2)",id,0
9,18,0,9,18,"(0, 1, 2)",id,0
9,20,1,9,60,"(1, 0, 2)",transposition,1
9,22,1,9,65,"(0, 1, 2)",id,0
9,24,1,9,62,"(1, 0, 2)",transposition,1
9,25,0,9,25,"(0, 1, 2)",id,0
9,26,0,9,26,"(0, 1, 2)",id,0
9,27,1,9,78,"(1, 0, 2)",transposition,1
9,29,1,9,81,"(0, 1, 2)",id,0
9,31,1,9,83,"(0, 2, 1)",transposition,1
9,33,1,9,45,"(0, 2, 1)",transposition,1
9,34,1,9,46,"(0, 1, 2)",id,0
9,35,1,9,47,"(0, 1, 2)",id,0
9,39,0,9,61,"(0, 1, 2)",id,0
9,40,0,9,63,"(0, 1, 2)",id,0
9,41,0,9,64,"(2, 1, 0)",transposition,1
9,42,1,9,79,"(0, 1, 2)",id,0
9,43,1,9,82,"(0, 1, 2)",id,0
9,44,1,9,80,"(0, 1, 2)",id,0
10,0,0,10,0,"(0, 1, 2)",id,0
10,1,0,10,1,"(0, 1, 2)",id,0
10,2,0,10,2,"(0, 1, 2)",id,0
10,4,1,10,48,"(0, 1, 2)",id,0
10,6,1,10,49,"(2, 1, 0)",transposition,1
10,8,1,10,50,"(1, 2, 0)",3-cycle,0
10,9,0,10,9,"(0, 1, 2)",id,0
10,11,0,10,11,"(0, 1, 2)",id,0
10,12,0,10,12,"(1, 0, 2)",transposition,1
10,13,0,10,13,"(1, 0, 2)",transposition,1
10,14,0,10,14,"(1, 2, 0)",3-cycle,0
10,15,0,10,15,"(0, 2, 1)",transposition,1
10,16,0,10,16,"(2, 0, 1)",3-cycle,0
10,17,0,10,17,"(0, 1, 2)",id,0
10,18,0,10,18,"(0, 1, 2)",id,0
10,19,1,10,84,"(1, 0, 2)",transposition,1
10,21,1,10,87,"(0, 1, 2)",id,0
10,23,1,10,89,"(0, 1, 2)",id,0
10,25,0,10,25,"(0, 1, 2)",id,0
10,26,0,10,26,"(0, 1, 2)",id,0
10,28,1,10,66,"(2, 0, 1)",3-cycle,0
10,30,1,10,70,"(0, 2, 1)",transposition,1
10,32,1,10,69,"(0, 1, 2)",id,0
10,33,0,10,51,"(0, 1, 2)",id,0
10,34,0,10,53,"(0, 1, 2)",id,0
10,35,0,10,52,"(0, 1, 2)",id,0
10,39,1,10,85,"(0, 1, 2)",id,0
10,40,1,10,88,"(0, 1, 2)",id,0
10,41,1,10,86,"(0, 1, 2)",id,0
10,42,0,10,67,"(0, 1, 2)",id,0
10,43,0,10,68,"(0, 1, 2)",id,0
10,44,0,10,71,"(0, 1, 2)",id,0
11,0,0,11,0,"(0, 1, 2)",id,0
11,2,1,11,34,"(0, 2, 1)",transposition,1
11,3,0,11,3,"(0, 1, 2)",id,0
11,4,0,11,4,"(0, 1, 2)",id,0
11,6,1,11,49,"(1, 0, 2)",transposition,1
11,7,1,11,43,"(1, 0, 2)",transposition,1
11,9,0,11,9,"(0, 1, 2)",id,0
11,10,0,11,10,"(0, 1, 2)",id,0
11,12,0,11,12,"(0, 1, 2)",id,0
11,13,0,11,13,"(0, 1, 2)",id,0
11,14,0,11,14,"(0, 1, 2)",id,0
11,15,0,11,15,"(2, 1, 0)",transposition,1
11,16,0,11,16,"(2, 1, 0)",transposition,1
11,17,1,11,37,"(2, 1, 0)",transposition,1
11,19,0,11,19,"(0, 1, 2)",id,0
11,20,0,11,20,"(0, 1, 2)",id,0
11,21,1,11,87,"(0, 2, 1)",transposition,1
11,24,1,11,62,"(0, 2, 1)",transposition,1
11,26,1,11,40,"(2, 1, 0)",transposition,1
11,27,0,11,27,"(0, 1, 2)",id,0
11,28,0,11,28,"(0, 1, 2)",id,0
11,30,1,11,70,"(0, 2, 1)",transposition,1
11,31,1,11,83,"(0, 2, 1)",transposition,1
11,34,1,11,46,"(0, 1, 2)",id,0
11,35,0,11,52,"(0, 2, 1)",transposition,1
11,36,0,11,55,"(0, 2, 1)",transposition,1
11,37,0,11,57,"(2, 0, 1)",3-cycle,0
11,38,0,11,59,"(0, 1, 2)",id,0
11,39,0,11,61,"(0, 1, 2)",id,0
11,40,1,11,88,"(2, 1, 0)",transposition,1
11,42,0,11,67,"(0, 1, 2)",id,0
11,44,1,11,80,"(1, 0, 2)",transposition,1
12,0,0,12,0,"(0, 1, 2)",id,0
12,1,1,12,35,"(0, 2, 1)",transposition,1
12,3,0,12,3,"(0, 1, 2)",id,0
12,4,0,12,4,"(0, 1, 2)",id,0
12,5,1,12,44,"(1, 0, 2)",transposition,1
12,8,1,12,50,"(1, 0, 2)",transposition,1
12,9,0,12,9,"(0, 2, 1)",transposition,1
12,10,0,12,10,"(1, 0, 2)",transposition,1
12,11,0,12,11,"(0, 1, 2)",id,0
12,13,0,12,13,"(0, 1, 2)",id,0
12,14,0,12,14,"(0, 1, 2)",id,0
12,15,0,12,15,"(2, 1, 0)",transposition,1
12,16,0,12,16,"(2, 1, 0)",transposition,1
12,18,1,12,41,"(2, 0, 1)",3-cycle,0
12,19,0,12,19,"(0, 1, 2)",id,0
12,20,0,12,20,"(0, 1, 2)",id,0
12,22,1,12,65,"(0, 1, 2)",id,0
12,23,1,12,89,"(0, 1, 2)",id,0
12,25,1,12,38,"(2, 0, 1)",3-cycle,0
12,27,0,12,27,"(0, 1, 2)",id,0
12,28,0,12,28,"(0, 1, 2)",id,0
12,29,1,12,81,"(0, 1, 2)",id,0
12,32,1,12,69,"(0, 1, 2)",id,0
12,34,0,12,53,"(0, 1, 2)",id,0
12,35,1,12,47,"(2, 1, 0)",transposition,1
12,36,1,12,73,"(0, 2, 1)",transposition,1
12,37,1,12,77,"(2, 0, 1)",3-cycle,0
12,38,1,12,75,"(0, 1, 2)",id,0
12,39,1,12,85,"(0, 1, 2)",id,0
12,40,0,12,63,"(2, 1, 0)",transposition,1
12,42,1,12,79,"(0, 1, 2)",id,0
12,44,0,12,71,"(1, 0, 2)",transposition,1
13,0,0,13,0,"(0, 1, 2)",id,0
13,2,1,13,34,"(2, 0, 1)",3-cycle,0
13,3,1,13,42,"(2, 1, 0)",transposition,1
13,5,0,13,5,"(0, 1, 2)",id,0
13,6,0,13,6,"(0, 1, 2)",id,0
13,8,1,13,50,"(1, 2, 0)",3-cycle,0
13,9,0,13,9,"(0, 1, 2)",id,0
13,10,0,13,10,"(1, 0, 2)",transposition,1
13,11,0,13,11,"(0, 1, 2)",id,0
13,12,0,13,12,"(0, 1, 2)",id,0
13,14,0,13,14,"(0, 1, 2)",id,0
13,15,0,13,15,"(0, 1, 2)",id,0
13,16,0,13,16,"(0, 1, 2)",id,0
13,17,1,13,37,"(2, 1, 0)",transposition,1
13,20,1,13,60,"(1, 0, 2)",transposition,1
13,21,0,13,21,"(0, 1, 2)",id,0
13,22,0,13,22,"(0, 1, 2)",id,0
13,23,1,13,89,"(0, 1, 2)",id,0
13,26,1,13,40,"(1, 2, 0)",3-cycle,0
13,27,1,13,78,"(1, 0, 2)",transposition,1
13,29,0,13,29,"(0, 1, 2)",id,0
13,30,0,13,30,"(0, 1, 2)",id,0
13,32,1,13,69,"(1, 0, 2)",transposition,1
13,33,1,13,45,"(1, 0, 2)",transposition,1
13,34,0,13,53,"(2, 0, 1)",3-cycle,0
13,36,0,13,55,"(0, 1, 2)",id,0
13,37,0,13,57,"(0, 2, 1)",transposition,1
13,38,0,13,59,"(0, 1, 2)",id,0
13,39,1,13,85,"(1, 0, 2)",transposition,1
13,41,0,13,64,"(0, 1, 2)",id,0
13,43,1,13,82,"(0, 2, 1)",transposition,1
13,44,0,13,71,"(0, 1, 2)",id,0
14,0,0,14,0,"(0, 1, 2)",id,0
14,1,1,14,35,"(2, 0, 1)",3-cycle,0
14,4,1,14,48,"(0, 1, 2)",id,0
14,5,0,14,5,"(0, 1, 2)",id,0
14,6,0,14,6,"(0, 1, 2)",id,0
14,7,1,14,43,"(0, 1, 2)",id,0
14,9,0,14,9,"(0, 1, 2)",id,0
14,10,0,14,10,"(2, 0, 1)",3-cycle,0
14,11,0,14,11,"(0, 1, 2)",id,0
14,12,0,14,12,"(0, 1, 2)",id,0
14,13,0,14,13,"(0, 1, 2)",id,0
14,15,0,14,15,"(0, 1, 2)",id,0
14,16,0,14,16,"(0, 1, 2)",id,0
14,18,1,14,41,"(1, 2, 0)",3-cycle,0
14,19,1,14,84,"(2, 0, 1)",3-cycle,0
14,21,0,14,21,"(0, 1, 2)",id,0
14,22,0,14,22,"(0, 1, 2)",id,0
14,24,1,14,62,"(0, 2, 1)",transposition,1
14,25,1,14,38,"(1, 2, 0)",3-cycle,0
14,28,1,14,66,"(2, 0, 1)",3-cycle,0
14,29,0,14,29,"(0, 1, 2)",id,0
14,30,0,14,30,"(0, 1, 2)",id,0
14,31,1,14,83,"(2, 0, 1)",3-cycle,0
14,33,0,14,51,"(2, 1, 0)",transposition,1
14,34,1,14,46,"(1, 2, 0)",3-cycle,0
14,36,1,14,73,"(0, 2, 1)",transposition,1
14,37,1,14,77,"(0, 1, 2)",id,0
14,38,1,14,75,"(0, 1, 2)",id,0
14,39,0,14,61,"(1, 0, 2)",transposition,1
14,41,1,14,86,"(0, 1, 2)",id,0
14,43,0,14,68,"(0, 2, 1)",transposition,1
14,44,1,14,80,"(0, 1, 2)",id,0
15,0,0,15,0,"(0, 1, 2)",id,0
15,2,1,15,34,"(0, 2, 1)",transposition,1
15,4,1,15,48,"(2, 0, 1)",3-cycle,0
15,5,1,15,44,"(1, 0, 2)",transposition,1
15,7,0,15,7,"(0, 1, 2)",id,0
15,8,0,15,8,"(0, 1, 2)",id,0
15,9,0,15,9,"(0, 1, 2)",id,0
15,10,0,15,10,"(0, 2, 1)",transposition,1
15,11,0,15,11,"(2, 1, 0)",transposition,1
15,12,0,15,12,"(2, 1, 0)",transposition,1
15,13,0,15,13,"(0, 1, 2)",id,0
15,14,0,15,14,"(0, 1, 2)",id,0
15,16,0,15,16,"(0, 1, 2)",id,0
15,17,1,15,37,"(2, 1, 0)",transposition,1
15,19,1,15,84,"(2, 1, 0)",transposition,1
15,22,1,15,65,"(2, 1, 0)",transposition,1
15,23,0,15,23,"(0, 1, 2)",id,0
15,24,0,15,24,"(0, 1, 2)",id,0
15,26,1,15,40,"(2, 1, 0)",transposition,1
15,28,1,15,66,"(2, 1, 0)",transposition,1
15,29,1,15,81,"(2, 1, 0)",transposition,1
15,31,0,15,31,"(0, 1, 2)",id,0
15,32,0,15,32,"(0, 1, 2)",id,0
15,33,0,15,51,"(0, 1, 2)",id,0
15,35,1,15,47,"(0, 1, 2)",id,0
15,36,0,15,55,"(1, 2, 0)",3-cycle,0
15,37,0,15,57,"(1, 0, 2)",transposition,1
15,38,0,15,59,"(0, 1, 2)",id,0
15,40,0,15,63,"(0, 1, 2)",id,0
15,41,1,15,86,"(0, 2, 1)",transposition,1
15,42,1,15,79,"(2, 1, 0)",transposition,1
15,43,0,15,68,"(0, 2, 1)",transposition,1
16,0,0,16,0,"(0, 1, 2)",id,0
16,1,1,16,35,"(2, 1, 0)",transposition,1
16,3,1,16,42,"(2, 0, 1)",3-cycle,0
16,6,1,16,49,"(1, 0, 2)",transposition,1
16,7,0,16,7,"(0, 1, 2)",id,0
16,8,0,16,8,"(0, 1, 2)",id,0
16,9,0,16,9,"(0, 1, 2)",id,0
16,10,0,16,10,"(1, 2, 0)",3-cycle,0
16,11,0,16,11,"(2, 1, 0)",transposition,1
16,12,0,16,12,"(2, 1, 0)",transposition,1
16,13,0,16,13,"(0, 1, 2)",id,0
16,14,0,16,14,"(0, 1, 2)",id,0
16,15,0,16,15,"(0, 1, 2)",id,0
16,18,1,16,41,"(1, 2, 0)",3-cycle,0
16,20,1,16,60,"(1, 0, 2)",transposition,1
16,21,1,16,87,"(1, 2, 0)",3-cycle,0
16,23,0,16,23,"(0, 1, 2)",id,0
16,24,0,16,24,"(0, 1, 2)",id,0
16,25,1,16,38,"(1, 0, 2)",transposition,1
16,27,1,16,78,"(1, 2, 0)",3-cycle,0
16,30,1,16,70,"(1, 2, 0)",3-cycle,0
16,31,0,16,31,"(0, 1, 2)",id,0
16,32,0,16,32,"(0, 1, 2)",id,0
16,33,1,16,45,"(0, 1, 2)",id,0
16,35,0,16,52,"(1, 2, 0)",3-cycle,0
16,36,1,16,73,"(1, 2, 0)",3-cycle,0
