cycle_index,cycle_length,step,n12_u,n12_v,support_mask,support_symbols,delta,required_triadhol,triad_index,w33_points,triad_holonomy_z12,phase_node_constraint_ok,phase_transition_constraint_ok,triad_cover12,triad_cover_size,triad_missing_symbols,outer_quad
3,17,0,45,27,1728,6 7 9 10,4,,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
3,17,1,27,12,624,4 5 6 9,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
3,17,2,12,15,1158,1 2 7 10,2,9.0,286,13 29 36,9,True,True,True,12,,11 13 29 36
3,17,3,15,53,1106,1 4 6 10,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
3,17,4,53,39,275,0 1 4 8,2,9.0,244,11 13 36,9,True,True,False,9,9 a b,11 13 29 36
3,17,5,39,11,3144,3 6 10 11,6,3.0,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
3,17,6,11,50,1576,3 5 9 10,0,,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
3,17,7,50,34,275,0 1 4 8,6,3.0,243,11 13 29,3,True,True,True,12,,11 13 29 36
3,17,8,34,38,1074,1 4 5 10,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
3,17,9,38,56,777,0 3 8 9,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
3,17,10,56,47,1290,1 3 8 10,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
3,17,11,47,5,390,1 2 7 8,2,9.0,244,11 13 36,9,True,True,False,9,9 a b,11 13 29 36
3,17,12,5,46,3144,3 6 10 11,6,3.0,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
3,17,13,46,36,1136,4 5 6 10,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
3,17,14,36,43,464,4 6 7 8,2,9.0,244,11 13 36,9,True,True,False,9,9 a b,11 13 29 36
3,17,15,43,57,785,0 4 8 9,0,,243,11 13 29,3,True,True,True,12,,11 13 29 36
3,17,16,57,45,1584,4 5 9 10,6,3.0,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
4,19,0,26,27,3208,3 7 10 11,4,,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
4,19,1,27,12,624,4 5 6 9,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
4,19,2,12,15,1158,1 2 7 10,2,9.0,286,13 29 36,9,True,True,True,12,,11 13 29 36
4,19,3,15,53,1106,1 4 6 10,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
4,19,4,53,39,275,0 1 4 8,2,9.0,244,11 13 36,9,True,True,False,9,9 a b,11 13 29 36
4,19,5,39,11,3144,3 6 10 11,6,3.0,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
4,19,6,11,50,1576,3 5 9 10,0,,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
4,19,7,50,34,275,0 1 4 8,6,3.0,243,11 13 29,3,True,True,True,12,,11 13 29 36
4,19,8,34,38,1074,1 4 5 10,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
4,19,9,38,56,777,0 3 8 9,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
4,19,10,56,47,1290,1 3 8 10,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
4,19,11,47,5,390,1 2 7 8,2,9.0,244,11 13 36,9,True,True,False,9,9 a b,11 13 29 36
4,19,12,5,46,3144,3 6 10 11,6,3.0,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
4,19,13,46,36,1136,4 5 6 10,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
4,19,14,36,43,464,4 6 7 8,2,9.0,244,11 13 36,9,True,True,False,9,9 a b,11 13 29 36
