triad_index,w33_points,holonomy_z12,cover_mask,cover_size,cover12,missing_mask,missing_symbols
349,24 27 30,3,4095,12,True,0,
350,25 26 27,3,4095,12,True,0,
351,28 29 30,9,3647,9,False,448,6 7 8
352,32 34 39,9,4095,12,True,0,
353,32 35 38,9,4095,12,True,0,
354,32 36 37,9,4095,12,True,0,
355,33 34 38,3,4095,12,True,0,
356,33 35 37,3,4095,12,True,0,
357,33 36 39,3,4095,12,True,0,
358,34 35 36,3,4095,12,True,0,
359,37 38 39,9,4095,12,True,0,
