triad_id,triad_points,holonomy_mod12,holonomy_sign,outer_quad_centers,component_id
116,4 21 30,3,i,2 6 7 11,41
117,4 21 39,9,-i,2 6 7 11,41
118,4 22 31,3,i,0 1 2 3,33
119,4 23 32,3,i,0 10 11 12,34
120,4 24 33,3,i,0 7 8 9,35
121,4 25 34,3,i,1 5 8 11,36
122,4 26 35,3,i,2 5 9 10,37
123,4 27 36,3,i,3 5 7 12,38
124,4 28 37,3,i,1 6 9 12,39
125,4 29 38,3,i,3 6 8 10,40
126,4 30 39,3,i,2 6 7 11,41
127,5 7 12,9,-i,4 18 27 36,25
128,5 8 11,9,-i,4 16 25 34,9
129,5 9 10,9,-i,4 17 26 35,17
130,5 13 23,3,i,0 16 17 18,42
131,5 13 33,9,-i,0 16 17 18,42
132,5 14 24,3,i,0 34 35 36,43
133,5 14 31,9,-i,0 34 35 36,43
134,5 15 22,3,i,0 25 26 27,44
135,5 15 32,9,-i,0 25 26 27,44
136,5 19 29,9,-i,6 16 27 35,45
137,5 19 39,3,i,6 16 27 35,45
138,5 20 30,9,-i,6 18 26 34,46
139,5 20 37,3,i,6 18 26 34,46
140,5 21 28,9,-i,6 17 25 36,47
141,5 21 38,3,i,6 17 25 36,47
142,5 22 32,3,i,0 25 26 27,44
143,5 23 33,3,i,0 16 17 18,42
144,5 24 31,3,i,0 34 35 36,43
145,5 28 38,9,-i,6 17 25 36,47
146,5 29 39,9,-i,6 16 27 35,45
147,5 30 37,9,-i,6 18 26 34,46
148,6 7 11,3,i,4 21 30 39,18
149,6 8 10,3,i,4 20 29 38,26
150,6 9 12,3,i,4 19 28 37,10
151,6 13 24,3,i,0 19 20 21,48
152,6 13 32,9,-i,0 19 20 21,48
153,6 14 22,3,i,0 28 29 30,49
154,6 14 33,9,-i,0 28 29 30,49
155,6 15 23,3,i,0 37 38 39,50
156,6 15 31,9,-i,0 37 38 39,50
157,6 16 27,9,-i,5 19 29 39,51
158,6 16 35,3,i,5 19 29 39,51
159,6 17 25,9,-i,5 21 28 38,52
160,6 17 36,3,i,5 21 28 38,52
161,6 18 26,9,-i,5 20 30 37,53
162,6 18 34,3,i,5 20 30 37,53
163,6 22 33,3,i,0 28 29 30,49
164,6 23 31,3,i,0 37 38 39,50
165,6 24 32,3,i,0 19 20 21,48
166,6 25 36,9,-i,5 21 28 38,52
167,6 26 34,9,-i,5 20 30 37,53
168,6 27 35,9,-i,5 19 29 39,51
169,7 8 9,3,i,4 15 24 33,1
170,7 13 25,3,i,1 15 18 21,54
171,7 13 37,9,-i,1 15 18 21,54
172,7 14 26,9,-i,10 15 30 36,55
173,7 14 38,3,i,10 15 30 36,55
174,7 16 28,3,i,1 33 36 39,56
175,7 16 31,9,-i,1 33 36 39,56
176,7 17 29,9,-i,10 21 27 33,57
177,7 17 32,3,i,10 21 27 33,57
178,7 19 22,3,i,1 24 27 30,58
179,7 19 34,9,-i,1 24 27 30,58
180,7 20 23,9,-i,10 18 24 39,59
181,7 20 35,3,i,10 18 24 39,59
182,7 22 34,3,i,1 24 27 30,58
183,7 23 35,9,-i,10 18 24 39,59
