u,v
42,80
42,81
42,86
42,87
43,51
43,52
43,53
43,58
43,59
43,64
43,65
43,70
43,71
43,72
43,73
43,78
43,79
43,84
43,85
44,51
44,52
44,53
44,54
44,55
44,60
44,61
44,66
44,67
44,76
44,77
44,82
44,83
44,88
44,89
45,48
45,49
45,50
45,52
45,53
45,56
45,59
45,61
45,65
45,66
45,68
45,74
45,77
45,79
45,83
45,84
45,86
46,48
46,49
46,50
46,51
46,52
46,55
46,58
46,60
46,63
46,69
46,71
46,72
46,75
46,81
46,82
46,85
46,89
47,48
47,49
47,50
47,51
47,53
47,54
47,57
47,62
47,64
47,67
47,70
47,73
47,76
47,78
47,80
47,87
47,88
48,58
48,59
48,64
48,65
48,70
48,71
48,76
48,77
48,82
48,83
48,88
48,89
49,56
49,57
49,62
49,63
49,68
49,69
49,72
49,73
49,78
49,79
49,84
49,85
50,54
50,55
50,60
50,61
50,66
50,67
50,74
50,75
50,80
50,81
50,86
50,87
51,57
51,58
51,60
51,64
51,67
51,69
51,75
51,76
51,78
51,82
51,85
51,87
52,55
52,56
52,63
52,65
52,66
52,71
52,72
52,77
52,79
52,81
52,86
52,89
53,54
53,59
53,61
53,62
53,68
53,70
53,73
53,74
53,80
53,83
53,84
53,88
54,63
54,65
54,69
54,71
54,73
54,75
54,77
54,79
54,81
54,85
54,89
55,62
55,64
55,68
55,70
55,72
55,74
55,75
55,76
55,77
55,78
55,79
55,84
55,85
56,60
56,64
56,67
56,70
56,73
56,75
56,77
56,78
56,82
56,87
56,88
57,61
57,65
57,66
57,71
57,72
57,73
57,74
57,75
57,76
57,82
57,83
57,88
57,89
58,61
58,62
58,66
58,68
58,73
58,75
58,77
58,80
58,83
58,84
58,86
59,60
59,63
59,67
59,69
59,72
59,73
59,74
59,76
59,77
59,80
59,81
59,86
59,87
60,68
60,70
60,73
60,74
60,79
60,83
60,85
60,86
60,88
61,69
61,71
61,72
61,73
61,78
61,79
61,84
61,86
61,87
61,88
61,89
62,66
62,71
62,72
62,77
62,81
62,82
62,85
62,86
62,88
63,67
63,70
63,76
63,77
63,82
63,83
63,84
63,85
63,86
63,87
63,89
64,66
64,68
64,74
64,75
64,80
64,81
64,84
64,85
64,87
64,88
64,89
65,67
65,69
65,75
65,76
65,78
65,80
65,85
65,86
65,88
66,73
66,76
66,79
66,80
66,82
66,85
66,87
67,72
67,73
67,78
67,80
67,81
67,82
67,83
67,84
67,85
68,76
68,77
68,78
68,79
68,80
68,81
68,83
68,88
68,89
69,74
69,77
69,79
69,80
69,82
69,84
69,88
70,72
70,75
70,79
70,80
70,82
70,86
70,89
71,74
71,75
71,78
71,79
71,81
71,82
71,83
71,86
71,87
72,80
72,83
72,87
72,88
73,81
73,82
73,86
73,89
74,78
74,82
74,85
74,89
75,79
75,83
75,84
75,88
76,79
76,81
76,84
76,86
77,78
77,80
77,85
77,87
78,86
78,89
79,87
79,88
80,85
80,89
81,84
81,88
82,84
82,86
83,85
83,87
