line_id,mean_q,abs_mean_q,sign_mean_q,var_q,unique_k_mod6,unique_k_mod3,canon_mean_abs_delta,canon_mean_delta,native_mean_abs_delta,native_mean_delta
15,0.0,0.0,0,0.11111111111139921,2,1,0.0106318701935504,-0.0040432973400089,1.9558597163507505,1.851650477435544
16,8.103240300982861e-14,8.103240300982861e-14,1,0.11111111111134518,5,3,0.0032006867810644,0.0012078857539475,1.3330604925663916,1.3330604925663916
17,0.0,0.0,0,1.0,1,1,0.0012889051225446,0.0012889051225446,0.8477939069489654,0.8477939069489654
18,3.241018564636988e-13,3.241018564636988e-13,1,0.3333333333335494,6,3,0.0113717331330282,-0.0113717331330282,1.2219684031417335,1.2219684031417335
19,1.3877787807814457e-17,1.3877787807814457e-17,1,0.11111111111129114,4,2,0.0235278098476281,0.0235070460157374,2.520753547194836,1.0673486930604412
20,-3.240602231002754e-13,3.240602231002754e-13,-1,0.3333333333335493,6,3,0.0003427119548401,-0.0002230112587192,0.9117976247813288,0.9117976247813288
21,3.241018564636988e-13,3.241018564636988e-13,1,0.3333333333335494,4,3,0.0104463954959793,0.0104463954959793,5.066053204772975,-4.839152131104147
22,2.4312496460510147e-13,2.4312496460510147e-13,1,0.11111111111134517,4,2,0.0033015429176538,0.0021585904445281,2.077017085231858,1.902328830196189
23,1.3877787807814457e-17,1.3877787807814457e-17,1,0.11111111111129116,4,3,0.0045513787770723,0.0045465785110837,1.3994247654332626,-0.2623472406574003
24,1.6207868380746504e-13,1.6207868380746504e-13,1,0.11111111111129116,5,3,0.0103195017247177,0.0103195017247177,1.4657282192566357,-1.465728219256636
25,3.241018564636988e-13,3.241018564636988e-13,1,0.3333333333335494,4,3,0.0034588123174124,0.0034588123174124,4.12338081202633,-4.12338081202633
26,2.4311108681729365e-13,2.4311108681729365e-13,1,0.11111111111123714,3,3,0.0125386202470556,0.0125386202470556,1.4657282192566357,-1.465728219256636
27,3.2411573425150664e-13,3.2411573425150664e-13,1,0.3333333333335494,6,3,0.0023438753185715,-0.0008769584525988,2.4057363364621795,2.4057363364621795
28,-3.240741008880832e-13,3.240741008880832e-13,-1,0.3333333333335494,6,3,0.0004476633038704,-0.0003112894170259,0.8616403920921244,0.8616403920921245
29,1.6206480601965723e-13,1.6206480601965723e-13,1,0.11111111111129116,4,2,0.003347516264404,0.0020506287057468,2.422133302058729,2.422133302058729
30,2.4311108681729365e-13,2.4311108681729365e-13,1,0.11111111111123714,3,3,0.0034588123174124,0.0034588123174124,1.3286738206009348,1.3286738206009352
31,-3.240602231002754e-13,3.240602231002754e-13,-1,0.3333333333335493,6,3,0.0003705151227652,4.995338799049395e-05,0.7943677678045048,0.7943677678045049
32,3.241018564636988e-13,3.241018564636988e-13,1,0.3333333333335494,4,3,0.01023791022497,0.0009876919133106,2.085963866491658,1.9817546275764508
33,1.6207868380746504e-13,1.6207868380746504e-13,1,0.11111111111129114,5,3,0.0069999206963728,-0.0012504701564998,2.5586625739028515,2.5586625739028515
34,1.3877787807814457e-17,1.3877787807814457e-17,1,0.3333333333333333,6,3,0.0015838462187076,-0.0009410817321979,2.05378337379744,1.4938353607340666
35,2.7755575615628914e-17,2.7755575615628914e-17,1,0.3333333333333333,6,3,0.0154435083393667,0.0154435083393667,1.4657282192566357,-1.465728219256636
36,1.3877787807814457e-17,1.3877787807814457e-17,1,0.3333333333333333,6,3,0.0028638058953718,0.0013566683086913,7.097558018762999,7.097558018762999
37,1.3877787807814457e-17,1.3877787807814457e-17,1,0.11111111111129114,6,3,0.0013504470492692,-0.0007076825627595,3.0620085618114348,3.0620085618114343
38,1.3877787807814457e-17,1.3877787807814457e-17,1,0.11111111111129114,6,3,0.0053258998396304,0.0053258998396304,4.268223125365549,4.26530002094214
39,8.103240300982861e-14,8.103240300982861e-14,1,0.11111111111134518,5,3,0.0194527024535412,-0.0194527024535412,1.918476227290736,1.3585282142273636
