triad_id,w33_points,centers,hol_mod12,hol_phase,n12_points,cover_mask,cover_size,cover12
137,5 19 39,6 16 27 35,3,i,C13 C28 C15,4095,12,1
138,5 20 30,6 18 26 34,9,-i,C13 C21 C01,4095,12,1
139,5 20 37,6 18 26 34,3,i,C13 C21 C03,4095,12,1
140,5 21 28,6 17 25 36,9,-i,C13 C27 C10,4095,12,1
141,5 21 38,6 17 25 36,3,i,C13 C27 C34,4095,12,1
142,5 22 32,0 25 26 27,3,i,C13 C30 C25,4095,12,1
143,5 23 33,0 16 17 18,3,i,C13 C14 C32,4039,9,0
144,5 24 31,0 34 35 36,3,i,C13 C19 C04,4039,9,0
145,5 28 38,6 17 25 36,9,-i,C13 C10 C34,4095,12,1
146,5 29 39,6 16 27 35,9,-i,C13 F35 C15,4095,12,1
147,5 30 37,6 18 26 34,9,-i,C13 C01 C03,4095,12,1
148,6 7 11,4 21 30 39,3,i,C05 C20 C24,4095,12,1
149,6 8 10,4 20 29 38,3,i,C05 C31 C16,4095,12,1
150,6 9 12,4 19 28 37,3,i,C05 C11 C26,4095,12,1
151,6 13 24,0 19 20 21,3,i,C05 C22 C19,4095,12,1
152,6 13 32,0 19 20 21,9,-i,C05 C22 C25,4095,12,1
153,6 14 22,0 28 29 30,3,i,C05 C29 C30,511,9,0
154,6 14 33,0 28 29 30,9,-i,C05 C29 C32,4095,12,1
155,6 15 23,0 37 38 39,3,i,C05 C18 C14,4095,12,1
156,6 15 31,0 37 38 39,9,-i,C05 C18 C04,4095,12,1
157,6 16 27,5 19 29 39,9,-i,C05 X36 F36,4095,12,1
158,6 16 35,5 19 29 39,3,i,C05 X36 C02,4095,12,1
159,6 17 25,5 21 28 38,9,-i,C05 C12 C37,4095,12,1
160,6 17 36,5 21 28 38,3,i,C05 C12 C09,4095,12,1
161,6 18 26,5 20 30 37,9,-i,C05 C06 C07,4095,12,1
162,6 18 34,5 20 30 37,3,i,C05 C06 C17,4095,12,1
163,6 22 33,0 28 29 30,3,i,C05 C30 C32,4095,12,1
164,6 23 31,0 37 38 39,3,i,C05 C14 C04,4095,12,1
165,6 24 32,0 19 20 21,3,i,C05 C19 C25,4095,12,1
166,6 25 36,5 21 28 38,9,-i,C05 C37 C09,4095,12,1
167,6 26 34,5 20 30 37,9,-i,C05 C07 C17,4095,12,1
168,6 27 35,5 19 29 39,9,-i,C05 F36 C02,4095,12,1
169,7 8 9,4 15 24 33,3,i,C20 C31 C11,4095,12,1
170,7 13 25,1 15 18 21,3,i,C20 C22 C37,4095,12,1
171,7 13 37,1 15 18 21,9,-i,C20 C22 C03,4095,12,1
172,7 14 26,10 15 30 36,9,-i,C20 C29 C07,4095,12,1
173,7 14 38,10 15 30 36,3,i,C20 C29 C34,4095,12,1
174,7 16 28,1 33 36 39,3,i,C20 X36 C10,4095,12,1
175,7 16 31,1 33 36 39,9,-i,C20 X36 C04,4095,12,1
176,7 17 29,10 21 27 33,9,-i,C20 C12 F35,511,9,0
