u,v,delta_sum_mod8,abs_delta,sigma_u,sigma_v,sigma_product,flip_support_4set,edge_elem_2T,edge_elem_order,edge_center_class,projective_trivial,img_sec0_m0,img_sec1_m0,img_sec2_m0,img_sec3_m0
19,22,0,0,1,1,1,1 4 5 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
19,24,0,0,1,1,1,2 3 7 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
19,41,0,0,1,1,1,0 1 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
19,42,2,2,1,-1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
20,27,6,2,-1,1,-1,3 6 9 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
20,38,2,2,-1,1,-1,1 2 7 10,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
20,40,0,0,-1,-1,1,0 3 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
20,44,2,2,-1,1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
21,37,0,0,-1,-1,1,4 5 6 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
22,25,0,0,1,1,1,2 3 7 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
22,28,2,2,1,-1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
23,29,0,0,-1,-1,1,1 4 6 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
23,34,2,2,-1,1,-1,3 6 9 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
23,53,0,0,-1,-1,1,5 6 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
24,25,0,0,1,1,1,1 4 5 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
24,38,0,0,1,1,1,1 3 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
24,47,0,0,1,1,1,0 1 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
24,52,6,2,1,-1,-1,3 6 10 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
25,34,0,0,1,1,1,3 5 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
25,53,6,2,1,-1,-1,3 6 10 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
26,27,4,4,1,1,1,3 7 10 11,e*,2,e*,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
26,35,0,0,1,1,1,1 2 3 7,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
