triad_id,w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,cover12,mask_hex
55,2,6,11,C06,C02,C33,12,1,0xfff
56,2,7,11,C06,C24,C33,9,0,0xff8
57,2,9,10,C06,C20,C19,12,1,0xfff
58,2,14,18,C06,C18,C11,9,0,0xff8
59,2,14,19,C06,C18,C00,12,1,0xfff
60,2,15,16,C06,C34,C30,9,0,0xe3f
61,2,15,20,C06,C34,C09,12,1,0xfff
62,2,16,20,C06,C30,C09,12,1,0xfff
63,2,18,19,C06,C11,C00,12,1,0xfff
64,2,23,27,C06,C32,C12,12,1,0xfff
65,2,23,28,C06,C32,F36,12,1,0xfff
66,2,24,25,C06,C23,C28,12,1,0xfff
67,2,24,29,C06,C23,C16,12,1,0xfff
68,2,25,29,C06,C28,C16,12,1,0xfff
69,2,27,28,C06,C12,F36,12,1,0xfff
70,2,32,36,C06,C29,C22,12,1,0xfff
71,2,32,37,C06,C29,C37,9,0,0xff8
72,2,33,34,C06,X35,C15,9,0,0xff8
73,2,33,38,C06,X35,C01,9,0,0xe3f
74,2,34,38,C06,C15,C01,12,1,0xfff
75,2,36,37,C06,C22,C37,12,1,0xfff
76,3,5,7,C08,C14,C24,12,1,0xfff
77,3,5,12,C08,C14,C05,12,1,0xfff
78,3,6,8,C08,C02,C04,12,1,0xfff
79,3,6,10,C08,C02,C19,12,1,0xfff
80,3,7,12,C08,C24,C05,12,1,0xfff
81,3,8,10,C08,C04,C19,12,1,0xfff
82,3,14,16,C08,C18,C30,9,0,0x1ff
83,3,14,21,C08,C18,C25,12,1,0xfff
84,3,15,17,C08,C34,C13,12,1,0xfff
85,3,15,19,C08,C34,C00,12,1,0xfff
86,3,16,21,C08,C30,C25,12,1,0xfff
87,3,17,19,C08,C13,C00,12,1,0xfff
88,3,23,25,C08,C32,C28,12,1,0xfff
89,3,23,30,C08,C32,C03,12,1,0xfff
90,3,24,26,C08,C23,C21,12,1,0xfff
91,3,24,28,C08,C23,F36,9,0,0x1ff
92,3,25,30,C08,C28,C03,12,1,0xfff
93,3,26,28,C08,C21,F36,9,0,0xe3f
94,3,32,34,C08,C29,C15,9,0,0x1ff
95,3,32,39,C08,C29,C31,12,1,0xfff
96,3,33,35,C08,X35,C17,9,0,0xe3f
97,3,33,37,C08,X35,C37,12,1,0xfff
98,3,34,39,C08,C15,C31,12,1,0xfff
99,3,35,37,C08,C17,C37,12,1,0xfff
100,4,13,22,C07,C10,C26,12,1,0xfff
101,4,13,31,C07,C10,X36,9,0,0xff8
102,4,14,23,C07,C18,C32,12,1,0xfff
103,4,14,32,C07,C18,C29,9,0,0xff8
104,4,15,24,C07,C34,C23,12,1,0xfff
105,4,15,33,C07,C34,X35,12,1,0xfff
106,4,16,25,C07,C30,C28,12,1,0xfff
107,4,16,34,C07,C30,C15,12,1,0xfff
108,4,17,26,C07,C13,C21,12,1,0xfff
109,4,17,35,C07,C13,C17,12,1,0xfff
110,4,18,27,C07,C11,C12,12,1,0xfff
111,4,18,36,C07,C11,C22,12,1,0xfff
112,4,19,28,C07,C00,F36,12,1,0xfff
113,4,19,37,C07,C00,C37,12,1,0xfff
114,4,20,29,C07,C09,C16,9,0,0xfc7
115,4,20,38,C07,C09,C01,12,1,0xfff
116,4,21,30,C07,C25,C03,9,0,0xff8
117,4,21,39,C07,C25,C31,12,1,0xfff
118,4,22,31,C07,C26,X36,9,0,0xfc7
119,4,23,32,C07,C32,C29,12,1,0xfff
120,4,24,33,C07,C23,X35,12,1,0xfff
121,4,25,34,C07,C28,C15,12,1,0xfff
122,4,26,35,C07,C21,C17,12,1,0xfff
123,4,27,36,C07,C12,C22,12,1,0xfff
124,4,28,37,C07,F36,C37,12,1,0xfff
125,4,29,38,C07,C16,C01,12,1,0xfff
126,4,30,39,C07,C03,C31,12,1,0xfff
127,5,7,12,C14,C24,C05,12,1,0xfff
128,5,8,11,C14,C04,C33,9,0,0xfc7
129,5,9,10,C14,C20,C19,12,1,0xfff
130,5,13,23,C14,C10,C32,12,1,0xfff
131,5,13,33,C14,C10,X35,12,1,0xfff
132,5,14,24,C14,C18,C23,12,1,0xfff
133,5,14,31,C14,C18,X36,12,1,0xfff
134,5,15,22,C14,C34,C26,9,0,0xe3f
135,5,15,32,C14,C34,C29,12,1,0xfff
136,5,19,29,C14,C00,C16,12,1,0xfff
137,5,19,39,C14,C00,C31,12,1,0xfff
138,5,20,30,C14,C09,C03,12,1,0xfff
139,5,20,37,C14,C09,C37,12,1,0xfff
140,5,21,28,C14,C25,F36,9,0,0xfc7
141,5,21,38,C14,C25,C01,12,1,0xfff
142,5,22,32,C14,C26,C29,12,1,0xfff
143,5,23,33,C14,C32,X35,12,1,0xfff
144,5,24,31,C14,C23,X36,12,1,0xfff
145,5,28,38,C14,F36,C01,9,0,0xe3f
146,5,29,39,C14,C16,C31,12,1,0xfff
147,5,30,37,C14,C03,C37,12,1,0xfff
148,6,7,11,C02,C24,C33,12,1,0xfff
149,6,8,10,C02,C04,C19,9,0,0xfc7
150,6,9,12,C02,C20,C05,12,1,0xfff
151,6,13,24,C02,C10,C23,12,1,0xfff
152,6,13,32,C02,C10,C29,12,1,0xfff
153,6,14,22,C02,C18,C26,12,1,0xfff
154,6,14,33,C02,C18,X35,12,1,0xfff
155,6,15,23,C02,C34,C32,12,1,0xfff
156,6,15,31,C02,C34,X36,12,1,0xfff
157,6,16,27,C02,C30,C12,12,1,0xfff
158,6,16,35,C02,C30,C17,12,1,0xfff
159,6,17,25,C02,C13,C28,9,0,0xfc7
160,6,17,36,C02,C13,C22,12,1,0xfff
161,6,18,26,C02,C11,C21,12,1,0xfff
162,6,18,34,C02,C11,C15,12,1,0xfff
163,6,22,33,C02,C26,X35,12,1,0xfff
164,6,23,31,C02,C32,X36,9,0,0xfc7
165,6,24,32,C02,C23,C29,12,1,0xfff
166,6,25,36,C02,C28,C22,12,1,0xfff
167,6,26,34,C02,C21,C15,12,1,0xfff
168,6,27,35,C02,C12,C17,12,1,0xfff
169,7,8,9,C24,C04,C20,12,1,0xfff
170,7,13,25,C24,C10,C28,12,1,0xfff
171,7,13,37,C24,C10,C37,9,0,0xff8
172,7,14,26,C24,C18,C21,12,1,0xfff
173,7,14,38,C24,C18,C01,12,1,0xfff
174,7,16,28,C24,C30,F36,12,1,0xfff
175,7,16,31,C24,C30,X36,12,1,0xfff
176,7,17,29,C24,C13,C16,12,1,0xfff
177,7,17,32,C24,C13,C29,12,1,0xfff
178,7,19,22,C24,C00,C26,12,1,0xfff
179,7,19,34,C24,C00,C15,12,1,0xfff
180,7,20,23,C24,C09,C32,12,1,0xfff
181,7,20,35,C24,C09,C17,12,1,0xfff
182,7,22,34,C24,C26,C15,12,1,0xfff
183,7,23,35,C24,C32,C17,12,1,0xfff
184,7,25,37,C24,C28,C37,12,1,0xfff
185,7,26,38,C24,C21,C01,12,1,0xfff
186,7,28,31,C24,F36,X36,12,1,0xfff
187,7,29,32,C24,C16,C29,12,1,0xfff
188,8,13,26,C04,C10,C21,12,1,0xfff
189,8,13,39,C04,C10,C31,12,1,0xfff
190,8,14,27,C04,C18,C12,12,1,0xfff
191,8,14,37,C04,C18,C37,12,1,0xfff
192,8,17,30,C04,C13,C03,12,1,0xfff
193,8,17,31,C04,C13,X36,9,0,0xfc7
194,8,18,28,C04,C11,F36,9,0,0xe3f
195,8,18,32,C04,C11,C29,12,1,0xfff
196,8,19,23,C04,C00,C32,12,1,0xfff
197,8,19,36,C04,C00,C22,12,1,0xfff
198,8,21,22,C04,C25,C26,9,0,0xfc7
199,8,21,35,C04,C25,C17,12,1,0xfff
200,8,22,35,C04,C26,C17,9,0,0xe3f
201,8,23,36,C04,C32,C22,12,1,0xfff
202,8,26,39,C04,C21,C31,9,0,0xe3f
203,8,27,37,C04,C12,C37,12,1,0xfff
204,8,28,32,C04,F36,C29,12,1,0xfff
205,8,30,31,C04,C03,X36,12,1,0xfff
206,9,13,27,C20,C10,C12,9,0,0x1ff
207,9,13,38,C20,C10,C01,12,1,0xfff
208,9,14,25,C20,C18,C28,12,1,0xfff
209,9,14,39,C20,C18,C31,12,1,0xfff
210,9,16,30,C20,C30,C03,12,1,0xfff
211,9,16,32,C20,C30,C29,9,0,0x1ff
212,9,18,29,C20,C11,C16,12,1,0xfff
213,9,18,31,C20,C11,X36,12,1,0xfff
214,9,20,22,C20,C09,C26,12,1,0xfff
215,9,20,36,C20,C09,C22,12,1,0xfff
216,9,21,23,C20,C25,C32,12,1,0xfff
217,9,21,34,C20,C25,C15,12,1,0xfff
218,9,22,36,C20,C26,C22,12,1,0xfff
219,9,23,34,C20,C32,C15,12,1,0xfff
220,9,25,39,C20,C28,C31,12,1,0xfff
221,9,27,38,C20,C12,C01,12,1,0xfff
222,9,29,31,C20,C16,X36,12,1,0xfff
223,9,30,32,C20,C03,C29,12,1,0xfff
224,10,11,12,C19,C33,C05,12,1,0xfff
225,10,13,28,C19,C10,F36,12,1,0xfff
226,10,13,34,C19,C10,C15,9,0,0xff8
227,10,15,30,C19,C34,C03,12,1,0xfff
228,10,15,36,C19,C34,C22,12,1,0xfff
229,10,16,22,C19,C30,C26,12,1,0xfff
230,10,16,37,C19,C30,C37,12,1,0xfff
231,10,18,24,C19,C11,C23,12,1,0xfff
232,10,18,39,C19,C11,C31,12,1,0xfff
233,10,19,25,C19,C00,C28,12,1,0xfff
234,10,19,31,C19,C00,X36,12,1,0xfff
235,10,21,27,C19,C25,C12,12,1,0xfff
236,10,21,33,C19,C25,X35,9,0,0xff8
237,10,22,37,C19,C26,C37,12,1,0xfff
238,10,24,39,C19,C23,C31,12,1,0xfff
239,10,25,31,C19,C28,X36,9,0,0xfc7
240,10,27,33,C19,C12,X35,12,1,0xfff
241,10,28,34,C19,F36,C15,12,1,0xfff
242,10,30,36,C19,C03,C22,12,1,0xfff
243,11,13,29,C33,C10,C16,12,1,0xfff
244,11,13,36,C33,C10,C22,12,1,0xfff
245,11,15,28,C33,C34,F36,12,1,0xfff
246,11,15,35,C33,C34,C17,12,1,0xfff
247,11,17,24,C33,C13,C23,12,1,0xfff
248,11,17,37,C33,C13,C37,12,1,0xfff
249,11,18,22,C33,C11,C26,12,1,0xfff
250,11,18,38,C33,C11,C01,12,1,0xfff
251,11,19,26,C33,C00,C21,12,1,0xfff
252,11,19,33,C33,C00,X35,12,1,0xfff
253,11,20,27,C33,C09,C12,12,1,0xfff
254,11,20,31,C33,C09,X36,9,0,0xfc7
255,11,22,38,C33,C26,C01,12,1,0xfff
256,11,24,37,C33,C23,C37,12,1,0xfff
257,11,26,33,C33,C21,X35,12,1,0xfff
258,11,27,31,C33,C12,X36,12,1,0xfff
259,11,28,35,C33,F36,C17,12,1,0xfff
260,11,29,36,C33,C16,C22,12,1,0xfff
261,12,13,30,C05,C10,C03,12,1,0xfff
262,12,13,35,C05,C10,C17,12,1,0xfff
263,12,15,29,C05,C34,C16,12,1,0xfff
264,12,15,34,C05,C34,C15,12,1,0xfff
265,12,16,24,C05,C30,C23,9,0,0x1ff
266,12,16,38,C05,C30,C01,12,1,0xfff
267,12,17,22,C05,C13,C26,12,1,0xfff
268,12,17,39,C05,C13,C31,12,1,0xfff
269,12,20,25,C05,C09,C28,12,1,0xfff
270,12,20,33,C05,C09,X35,12,1,0xfff
271,12,21,26,C05,C25,C21,12,1,0xfff
272,12,21,31,C05,C25,X36,12,1,0xfff
273,12,22,39,C05,C26,C31,12,1,0xfff
274,12,24,38,C05,C23,C01,12,1,0xfff
275,12,25,33,C05,C28,X35,12,1,0xfff
276,12,26,31,C05,C21,X36,12,1,0xfff
277,12,29,34,C05,C16,C15,9,0,0x1ff
278,12,30,35,C05,C03,C17,12,1,0xfff
279,13,22,31,C10,C26,X36,12,1,0xfff
280,13,23,33,C10,C32,X35,12,1,0xfff
281,13,24,32,C10,C23,C29,9,0,0x1ff
282,13,25,37,C10,C28,C37,12,1,0xfff
283,13,26,39,C10,C21,C31,12,1,0xfff
284,13,27,38,C10,C12,C01,12,1,0xfff
285,13,28,34,C10,F36,C15,9,0,0x1ff
286,13,29,36,C10,C16,C22,9,0,0x1ff
287,13,30,35,C10,C03,C17,12,1,0xfff
288,14,16,21,C18,C30,C25,12,1,0xfff
289,14,17,20,C18,C13,C09,12,1,0xfff
290,14,18,19,C18,C11,C00,12,1,0xfff
291,14,22,33,C18,C26,X35,12,1,0xfff
292,14,23,32,C18,C32,C29,12,1,0xfff
293,14,24,31,C18,C23,X36,12,1,0xfff
294,14,25,39,C18,C28,C31,12,1,0xfff
295,14,26,38,C18,C21,C01,12,1,0xfff
296,14,27,37,C18,C12,C37,12,1,0xfff
297,15,16,20,C34,C30,C09,12,1,0xfff
298,15,17,19,C34,C13,C00,12,1,0xfff
299,15,18,21,C34,C11,C25,12,1,0xfff
300,15,22,32,C34,C26,C29,12,1,0xfff
301,15,23,31,C34,C32,X36,12,1,0xfff
302,15,24,33,C34,C23,X35,12,1,0xfff
303,15,28,35,C34,F36,C17,9,0,0xe3f
304,15,29,34,C34,C16,C15,12,1,0xfff
305,15,30,36,C34,C03,C22,12,1,0xfff
306,16,17,18,C30,C13,C11,12,1,0xfff
307,16,22,37,C30,C26,C37,12,1,0xfff
308,16,24,38,C30,C23,C01,12,1,0xfff
309,16,25,34,C30,C28,C15,12,1,0xfff
310,16,27,35,C30,C12,C17,12,1,0xfff
311,16,28,31,C30,F36,X36,9,0,0xe3f
312,16,30,32,C30,C03,C29,12,1,0xfff
313,17,22,39,C13,C26,C31,12,1,0xfff
314,17,24,37,C13,C23,C37,12,1,0xfff
315,17,25,36,C13,C28,C22,12,1,0xfff
316,17,26,35,C13,C21,C17,12,1,0xfff
317,17,29,32,C13,C16,C29,12,1,0xfff
318,17,30,31,C13,C03,X36,12,1,0xfff
319,18,22,38,C11,C26,C01,9,0,0xe3f
320,18,24,39,C11,C23,C31,12,1,0xfff
321,18,26,34,C11,C21,C15,12,1,0xfff
322,18,27,36,C11,C12,C22,12,1,0xfff
323,18,28,32,C11,F36,C29,12,1,0xfff
324,18,29,31,C11,C16,X36,12,1,0xfff
325,19,20,21,C00,C09,C25,12,1,0xfff
326,19,22,34,C00,C26,C15,12,1,0xfff
327,19,23,36,C00,C32,C22,12,1,0xfff
328,19,25,31,C00,C28,X36,12,1,0xfff
329,19,26,33,C00,C21,X35,12,1,0xfff
330,19,28,37,C00,F36,C37,12,1,0xfff
331,19,29,39,C00,C16,C31,12,1,0xfff
332,20,22,36,C09,C26,C22,12,1,0xfff
333,20,23,35,C09,C32,C17,12,1,0xfff
334,20,25,33,C09,C28,X35,12,1,0xfff
335,20,27,31,C09,C12,X36,12,1,0xfff
336,20,29,38,C09,C16,C01,12,1,0xfff
337,20,30,37,C09,C03,C37,12,1,0xfff
338,21,22,35,C25,C26,C17,12,1,0xfff
339,21,23,34,C25,C32,C15,12,1,0xfff
340,21,26,31,C25,C21,X36,12,1,0xfff
341,21,27,33,C25,C12,X35,12,1,0xfff
342,21,28,38,C25,F36,C01,12,1,0xfff
343,21,30,39,C25,C03,C31,12,1,0xfff
344,23,25,30,C32,C28,C03,12,1,0xfff
345,23,26,29,C32,C21,C16,12,1,0xfff
346,23,27,28,C32,C12,F36,12,1,0xfff
347,24,25,29,C23,C28,C16,12,1,0xfff
348,24,26,28,C23,C21,F36,12,1,0xfff
349,24,27,30,C23,C12,C03,12,1,0xfff
350,25,26,27,C28,C21,C12,12,1,0xfff
351,28,29,30,F36,C16,C03,12,1,0xfff
352,32,34,39,C29,C15,C31,12,1,0xfff
353,32,35,38,C29,C17,C01,12,1,0xfff
354,32,36,37,C29,C22,C37,12,1,0xfff
355,33,34,38,X35,C15,C01,12,1,0xfff
356,33,35,37,X35,C17,C37,12,1,0xfff
357,33,36,39,X35,C22,C31,9,0,0xe3f
358,34,35,36,C15,C17,C22,12,1,0xfff
359,37,38,39,C37,C01,C31,12,1,0xfff
