u,v
35,41
35,42
35,43
35,44
35,48
35,49
35,50
35,73
35,75
35,77
35,79
35,80
35,82
35,85
35,86
35,88
36,37
36,38
36,39
36,40
36,41
36,51
36,52
36,53
36,54
36,56
36,58
36,67
36,68
36,71
36,72
36,74
36,76
36,85
36,86
36,88
37,38
37,39
37,40
37,41
37,51
37,52
37,53
37,55
37,57
37,59
37,60
37,62
37,65
37,79
37,80
37,82
37,84
37,87
37,89
38,39
38,40
38,41
38,51
38,52
38,53
38,61
38,63
38,64
38,66
38,69
38,70
38,73
38,75
38,77
38,78
38,81
38,83
39,40
39,41
39,45
39,46
39,47
39,54
39,56
39,58
39,61
39,63
39,64
39,72
39,74
39,76
39,79
39,80
39,82
40,41
40,45
40,46
40,47
40,55
40,57
40,59
40,66
40,69
40,70
40,78
40,81
40,83
40,85
40,86
40,88
41,45
41,46
41,47
41,60
41,62
41,65
41,67
41,68
41,71
41,73
41,75
41,77
41,84
41,87
41,89
42,43
42,44
42,45
42,46
42,47
42,48
42,49
42,50
42,54
42,59
42,60
42,64
42,66
42,71
42,72
42,77
42,78
42,82
42,84
42,88
43,44
43,45
43,46
43,47
43,48
43,49
43,50
43,55
43,56
43,61
43,62
43,67
43,69
43,75
43,76
43,80
43,83
43,86
43,89
44,45
44,46
44,47
44,48
44,49
44,50
44,57
44,58
44,63
44,65
44,68
44,70
44,73
44,74
44,79
44,81
44,85
44,87
45,46
45,47
45,57
45,58
45,60
45,64
45,67
45,69
45,75
45,76
45,78
45,82
45,85
45,87
46,47
46,54
46,59
46,61
46,62
46,68
46,70
46,73
46,74
46,80
46,83
46,84
46,88
47,55
47,56
47,63
47,65
47,66
47,71
47,72
47,77
47,79
47,81
47,86
47,89
48,49
48,50
48,51
48,52
48,53
48,54
48,57
48,60
48,63
48,66
48,68
48,72
48,75
48,78
48,80
48,84
48,86
49,50
49,51
49,52
49,53
49,55
49,58
49,61
49,65
49,67
49,70
49,74
49,77
49,81
49,82
49,87
49,88
50,51
50,52
50,53
50,56
50,59
50,62
50,64
50,69
50,71
50,73
50,76
50,79
50,83
50,85
50,89
51,52
51,53
51,56
51,59
51,61
51,65
51,66
51,68
51,74
51,77
51,79
51,83
51,84
51,86
52,53
52,54
52,57
52,62
52,64
52,67
52,70
52,73
52,76
52,78
52,80
52,87
52,88
53,55
53,58
53,60
53,63
53,69
53,71
53,72
53,75
53,81
53,82
53,85
53,89
54,55
54,56
54,57
54,58
54,59
54,60
54,61
54,66
54,67
54,72
54,74
54,76
54,78
54,80
54,84
54,88
55,56
55,57
55,58
55,59
55,60
55,61
55,66
55,67
55,81
55,82
55,86
55,89
56,57
56,58
56,59
56,62
56,63
56,68
56,69
56,72
56,74
56,76
56,79
56,83
56,86
56,89
57,58
57,59
57,62
57,63
57,68
57,69
57,78
57,80
57,85
57,87
58,59
58,64
58,65
58,70
58,71
58,72
58,74
58,76
58,81
58,82
58,85
58,87
59,64
59,65
59,70
59,71
59,79
59,83
59,84
59,88
60,61
60,62
60,63
60,64
60,65
60,66
60,67
60,72
60,75
60,78
60,82
60,84
60,87
60,89
61,62
61,63
61,64
61,65
61,66
61,67
61,74
61,77
61,80
61,83
62,63
62,64
62,65
62,68
62,69
62,73
62,76
62,80
62,83
62,84
62,87
62,89
63,64
63,65
63,68
63,69
63,72
63,75
63,79
63,81
64,65
64,70
64,71
64,73
64,76
64,78
64,82
65,70
65,71
65,74
65,77
65,79
65,81
65,84
65,87
65,89
66,67
66,68
66,69
66,70
66,71
66,72
66,77
66,78
66,81
66,83
66,84
66,86
67,68
67,69
67,70
67,71
67,75
67,76
67,87
67,88
68,69
68,70
68,71
68,73
68,74
68,84
68,86
69,70
69,71
69,75
69,76
69,78
69,81
69,83
69,85
69,89
70,71
70,73
70,74
70,78
70,81
70,83
70,87
70,88
71,72
71,77
71,85
71,89
72,73
72,74
72,75
72,76
72,77
72,78
72,79
72,84
72,85
73,74
73,75
73,76
73,77
73,78
73,79
73,84
73,85
74,75
74,76
74,77
74,80
74,81
74,86
74,87
75,76
75,77
75,80
75,81
75,86
75,87
76,77
76,82
76,83
76,88
76,89
77,82
77,83
77,88
77,89
78,79
78,80
78,81
78,82
78,83
78,84
78,85
79,80
79,81
79,82
79,83
79,84
79,85
80,81
80,82
80,83
80,86
80,87
81,82
81,83
81,86
81,87
82,83
82,88
82,89
83,88
83,89
84,85
84,86
84,87
84,88
84,89
85,86
85,87
85,88
85,89
86,87
86,88
86,89
87,88
87,89
88,89
