tetra_id,ranks,rays,suit_r0,ray_r0,suit_r1,ray_r1,suit_r2,ray_r2,suit_r5,ray_r5,suit_r3,ray_r3,suit_r6,ray_r6,suit_r4,ray_r4,suit_r7,ray_r7,suit_r8,ray_r8,suit_r9,ray_r9
20,0-2-6-7,1-14-26-38,1.0,1.0,,,2.0,26.0,,,,,2.0,38.0,,,2.0,14.0,,,,
21,0-2-6-7,2-13-25-37,2.0,2.0,,,1.0,25.0,,,,,1.0,13.0,,,1.0,37.0,,,,
22,0-3-4-5,1-10-22-34,1.0,1.0,,,,,2.0,34.0,2.0,22.0,,,2.0,10.0,,,,,,
23,0-3-4-5,2-9-21-33,2.0,2.0,,,,,1.0,33.0,1.0,9.0,,,1.0,21.0,,,,,,
24,0-3-7-8,0-15-19-35,0.0,0.0,,,,,,,3.0,19.0,,,,,3.0,15.0,3.0,35.0,,
25,0-3-7-8,3-28-32-36,3.0,3.0,,,,,,,0.0,28.0,,,,,0.0,36.0,0.0,32.0,,
26,0-4-6-9,0-11-27-31,0.0,0.0,,,,,,,,,3.0,31.0,3.0,11.0,,,,,3.0,27.0
27,0-4-6-9,3-16-20-24,3.0,3.0,,,,,,,,,0.0,16.0,0.0,20.0,,,,,0.0,24.0
28,0-5-6-8,0-13-17-33,0.0,0.0,,,,,1.0,33.0,,,1.0,13.0,,,,,1.0,17.0,,
29,0-5-6-8,1-12-16-32,1.0,1.0,,,,,0.0,12.0,,,0.0,16.0,,,,,0.0,32.0,,
30,0-5-6-8,2-31-35-39,2.0,2.0,,,,,3.0,39.0,,,3.0,31.0,,,,,3.0,35.0,,
31,0-5-6-8,3-30-34-38,3.0,3.0,,,,,2.0,34.0,,,2.0,38.0,,,,,2.0,30.0,,
32,0-5-7-9,0-14-18-34,0.0,0.0,,,,,2.0,34.0,,,,,,,2.0,14.0,,,2.0,18.0
33,0-5-7-9,1-15-27-39,1.0,1.0,,,,,3.0,39.0,,,,,,,3.0,15.0,,,3.0,27.0
34,0-5-7-9,2-12-24-36,2.0,2.0,,,,,0.0,12.0,,,,,,,0.0,36.0,,,0.0,24.0
35,0-5-7-9,3-29-33-37,3.0,3.0,,,,,1.0,33.0,,,,,,,1.0,37.0,,,1.0,29.0
36,1-2-3-4,5-11-26-28,,,1.0,5.0,2.0,26.0,,,0.0,28.0,,,3.0,11.0,,,,,,
37,1-2-3-4,6-19-20-25,,,2.0,6.0,1.0,25.0,,,3.0,19.0,,,0.0,20.0,,,,,,
38,1-2-6-9,4-18-25-31,,,0.0,4.0,1.0,25.0,,,,,3.0,31.0,,,,,,,2.0,18.0
39,1-2-6-9,5-23-24-38,,,1.0,5.0,3.0,23.0,,,,,2.0,38.0,,,,,,,0.0,24.0
40,1-2-6-9,6-8-13-27,,,2.0,6.0,0.0,8.0,,,,,1.0,13.0,,,,,,,3.0,27.0
41,1-2-6-9,7-16-26-29,,,3.0,7.0,2.0,26.0,,,,,0.0,16.0,,,,,,,1.0,29.0
42,1-2-7-8,4-15-17-26,,,0.0,4.0,2.0,26.0,,,,,,,,,3.0,15.0,1.0,17.0,,
43,1-2-7-8,5-8-14-35,,,1.0,5.0,0.0,8.0,,,,,,,,,2.0,14.0,3.0,35.0,,
44,1-2-7-8,6-23-32-37,,,2.0,6.0,3.0,23.0,,,,,,,,,1.0,37.0,0.0,32.0,,
45,1-2-7-8,7-25-30-36,,,3.0,7.0,1.0,25.0,,,,,,,,,0.0,36.0,2.0,30.0,,
46,1-3-5-8,4-19-30-33,,,0.0,4.0,,,1.0,33.0,3.0,19.0,,,,,,,2.0,30.0,,
47,1-3-5-8,5-22-32-39,,,1.0,5.0,,,3.0,39.0,2.0,22.0,,,,,,,0.0,32.0,,
48,1-3-5-8,6-9-12-35,,,2.0,6.0,,,0.0,12.0,1.0,9.0,,,,,,,3.0,35.0,,
49,1-3-5-8,7-17-28-34,,,3.0,7.0,,,2.0,34.0,0.0,28.0,,,,,,,1.0,17.0,,
50,1-3-7-9,4-9-14-27,,,0.0,4.0,,,,,1.0,9.0,,,,,2.0,14.0,,,3.0,27.0
51,1-3-7-9,7-22-24-37,,,3.0,7.0,,,,,2.0,22.0,,,,,1.0,37.0,,,0.0,24.0
